股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1213,大飲,20100803,32.1,32.1,29.25,0.0974358974358974,0,9.743589743589748,20100803,32.1,0.0700934579439252,-0.3707165109034268,14.5,94.24,171.41,0.4353,-0.3205,0.7879,0.6341,63.22,80.65,-17.430000000000007,78.78,73.89,4.890000000000001,-5.764,159.005,152.874,215.128,209.16,167.556,156.357,-45.162000000000006,160.435,221.66199999999998,0.0,0.5482866043613708,71.74,67.83,48400.9,4.651,0.601,1.9294,6.9273,7.0432,5.5795,32.52,-0.012915129151291563,23.685,0.3552881570614314,-10.155
1414,東和,20101018,10.35,10.35,9.61,0.077003121748179,0,7.700312174817901,20101018,10.35,0.7874396135265701,-0.1565217391304347,8.9,46.94,70.68,0.252,2.6387,1.443,1.2049,88.4,89.35,-0.9499999999999886,85.4,78.75,6.650000000000006,24.899,52.051,81.234,67.238,80.503,50.852,52.038,16.848,59.076,66.894,0.0,0.14009661835748785,73.82,62.67,39571.35,0.568,0.164,0.5867,0.9968,1.0826,1.0437,9.376,0.103882252559727,7.838,0.32048992089818823,-53.085
1416,廣豐,20101027,14.2,14.2,13.85,0.0252707581227436,0,2.527075812274365,20101027,14.2,0.1126760563380282,-0.2218309859154928,13.05,10.36,7.5,0.0498,0.6121,1.0095,1.2284,46.93,56.68,-9.75,75.59,72.78,2.8100000000000023,-0.217,5.008,15.535,6.456,4.209,6.223,5.003,-4.308,7.743,5.062,0.0,0.08098591549295765,52.62,42.79,,0.256,0.002,0.1288,2.3108,2.0002,1.6248,13.92,0.020114942528735587,11.561,0.22826745091255077,-10.434999999999999
1507,永大,20100414,29.7,29.7,28.9,0.027681660899654,0,2.7681660899654004,20100414,29.7,0.4511784511784512,-0.1262626262626262,29.5,17.08,32.52,0.1529,0.1912,0.8081,0.8504,82.14,81.05,1.0900000000000034,86.55,75.17,11.379999999999995,8.01,14.084,21.393,21.566,48.469,18.586,14.084,6.945,13.991999999999999,5.555999999999997,0.0,0.00673400673400671,86.66,82.82,67647.95,0.571,0.143,0.7781,1.1265,1.4676,1.1967,28.21,0.052818149592343086,26.655,0.11423747889701737,-11.745000000000001
1569,濱川,20100120,47.9,47.9,45.15,0.0609080841638981,0,6.090808416389812,20100120,47.9,0.5302713987473904,-0.1231732776617953,42.5,16.35,91.15,0.3989,0.5101,0.8693,0.5343,77.98,69.07,8.91000000000001,68.98,63.53,5.450000000000003,16.561,11.885,17.955,145.863,212.904,17.912,11.884999999999998,14.215,11.845,163.25900000000001,0.0,0.11273486430062628,87.15,79.57,37006.4,0.926,0.514,2.1102,2.0907,1.8653,6.9929,43.1,0.11136890951276095,40.055,0.19585569841467979,-50.84
1734,杏輝,20100423,35.45,35.45,34.2,0.0365497076023391,0,3.654970760233918,20100423,35.45,0.1918194640338504,-0.2157968970380818,35.0,20.96,19.29,0.007,1.1145,0.8102,0.5979,79.87,67.9,11.969999999999999,84.22,73.99,10.230000000000004,12.515,15.127,20.313,12.355,-19.899,17.598,15.126999999999999,9.621,6.229000000000001,43.11,0.0,0.012693935119887244,64.7,57.73,138926.15,0.838,0.258,1.8812,1.5096,2.2178,1.9037,32.8,0.08079268292682945,30.99,0.1439173927073251,-5.01
2107,厚生,20100105,30.3,30.3,29.3,0.0341296928327645,0,3.4129692832764507,20100105,30.3,0.1155115511551154,-0.3102310231023103,29.95,13.79,60.44,0.1271,2.0801,1.4343,1.209,76.22,73.47,2.75,90.16,84.04,6.11999999999999,1.11,12.24,35.385,35.172,80.697,19.565,12.239,1.364,13.906,13.796999999999997,0.0,0.011551155115511597,90.71,82.41,429937.5,0.472,-0.001,0.3555,0.9044,1.714,3.688,29.56,0.02503382949932348,28.7475,0.054004696060527074,-8.410000000000002
2373,震旦行,20100402,44.1,44.1,42.2,0.0450236966824644,0,4.502369668246442,20100402,44.1,0.6099773242630385,-0.1224489795918367,37.4,15.28,28.28,0.1111,0.861,0.5135,0.6058,83.14,70.39,12.75,74.27,72.3,1.9699999999999989,16.039,10.059,17.521,17.082,17.219,15.697,10.059999999999999,17.267000000000003,7.347999999999999,21.797,0.0,0.15192743764172342,91.41,89.83,32588.3,0.731,0.451,2.1142,1.939,1.3752,1.377,40.55,0.08754623921085092,37.88,0.16420274551214356,-3.9850000000000003
2380,虹光,20100428,19.7,19.7,18.0,0.0944444444444444,0,9.44444444444444,20100428,19.7,0.2817258883248731,-0.2106598984771573,19.5,25.82,47.29,0.2081,1.8307,1.2023,0.856,89.41,77.46,11.950000000000003,74.27,61.98,12.29,22.279,23.208,17.613,18.134,70.672,25.806,23.207,17.016,31.032999999999998,-18.439,0.0,0.010152284263959355,81.33,76.94,52611.75,0.73,0.516,1.2994,1.2698,1.0167,0.8658,17.59,0.11995451961341669,15.7575,0.2501983182611454,-17.794999999999998
2404,漢唐,20100201,30.7,30.7,28.55,0.0753064798598948,0,7.530647985989487,20100201,30.7,0.4071661237785017,-0.1596091205211726,30.25,17.93,78.61,0.303,0.3017,0.6101,0.7308,76.13,63.45,12.679999999999993,80.19,75.6,4.590000000000003,14.856,19.133,78.073,82.609,125.593,11.031,19.133000000000003,8.006,14.267,82.05,0.0,0.014657980456026036,89.38,78.8,170795.7,0.275,0.083,1.4257,1.0901,2.1317,5.1801,28.47,0.07832806462943451,27.41,0.1200291864283108,-61.739999999999995
2427,三商電,20100630,12.05,12.05,10.9,0.1055045871559633,0,10.550458715596331,20100630,12.05,1.0456431535269708,-0.0954356846473029,11.75,27.51,41.78,0.2625,0.1455,0.5006,0.8733,82.97,66.91,16.060000000000002,82.91,72.8,10.11,30.043,21.954,32.717,23.104,82.304,21.349,21.896,32.7,8.805000000000001,-23.863,0.0,0.024896265560166032,74.75,66.62,42799.85,0.317,0.146,0.8059,0.6878,0.7733,0.7699,10.89,0.10651974288337926,10.0785,0.19561442675001248,-11.540000000000001
2430,燦坤,20100406,63.9,63.9,62.1,0.0289855072463767,0,2.8985507246376767,20100406,63.9,0.2425665101721441,-0.1205007824726134,63.5,11.82,72.71,0.5112,1.0484,0.7746,1.0216,76.81,69.09,7.719999999999999,77.26,66.83,10.430000000000007,8.276,4.16,12.348,96.916,216.73,9.683,4.16,9.669,7.846,51.648999999999994,0.0,0.006259780907668209,85.59,81.18,120901.55,0.643,0.279,2.5263,2.0037,2.3009,11.0563,59.76,0.06927710843373495,57.175,0.11762133799737651,-3.42
2443,億麗,20100120,10.3,10.3,9.06,0.1368653421633554,0,13.68653421633554,20100120,10.3,0.0,-0.4077669902912622,9.28,30.06,84.99,0.4378,0.2479,0.4219,0.7191,72.44,60.86,11.579999999999998,80.66,79.25,1.4099999999999966,20.169,23.139,43.971,80.132,217.716,29.166,23.139,18.982,17.088,33.295,0.0,0.09902912621359236,81.73,71.46,68430.0,1.164,0.353,0.6291,0.5489,0.7916,1.6689,8.844,0.1646313885119857,8.11,0.2700369913686808,-14.965
2459,敦吉,20100812,28.9,28.9,27.1,0.0664206642066419,0,6.642066420664196,20100812,28.9,0.314878892733564,-0.0622837370242213,28.3,23.17,34.02,0.172,0.4885,0.6613,0.8803,85.25,79.98,5.269999999999996,84.53,74.24,10.290000000000006,17.946,21.721,22.259,35.909,51.667,24.211,19.599999999999998,14.473000000000003,21.844,25.036,0.0,0.02076124567474041,75.84,75.92,28160.9,0.695,0.308,0.8224,1.9736,1.2212,1.1059,27.31,0.05822043207616258,24.01,0.20366513952519769,-5.369999999999999
2465,麗臺,20100114,16.4,16.4,15.6,0.0512820512820512,0,5.1282051282051215,20100114,16.4,0.2134146341463415,-0.3628048780487805,15.35,84.63,156.22,0.4574,0.2153,0.8196,1.0056,94.06,85.82,8.240000000000009,89.01,77.68,11.329999999999998,38.346,70.323,129.273,190.524,307.675,76.345,70.323,39.370999999999995,38.705,183.946,0.0,0.06402439024390238,82.34,69.51,65485.2,4.443,0.952,1.3448,1.8246,2.4864,2.1091,14.43,0.13652113652113645,11.899,0.3782670812673334,-27.385
2468,華經,20100426,21.95,21.95,20.05,0.0947630922693266,0,9.476309226932662,20100426,21.95,0.1070615034168565,-0.3097949886104783,16.85,34.97,58.36,0.2295,-1.3092,0.5348,0.6819,80.89,76.2,4.689999999999998,79.64,70.0,9.64,6.268,17.514,35.7,40.867,68.673,21.085,17.514,-14.341000000000001,-3.7620000000000005,33.384,0.0,0.23234624145785868,71.09,69.36,35403.15,0.774,0.264,0.9876,1.5891,1.9461,1.6875,19.24,0.1408523908523909,16.855,0.30228418866805096,-28.060000000000002
2471,資通,20100125,22.6,22.6,21.15,0.0685579196217495,0,6.855791962174955,20100125,22.6,0.8097345132743361,-0.263274336283186,21.95,49.1,147.39,0.5147,-0.5866,0.6857,0.8492,88.12,75.31,12.810000000000002,85.14,77.55,7.590000000000003,29.751,22.104,126.515,190.451,351.479,20.855,22.104,19.616,-39.866,186.149,0.0,0.028761061946902748,87.45,79.85,64129.5,0.517,0.133,1.294,1.5102,4.0341,4.1485,20.49,0.10297706198145452,18.42,0.22692725298588487,-30.82
2516,新建,20101108,12.1,12.1,11.65,0.03862660944206,0,3.8626609442060023,20101108,12.1,0.3553719008264462,-0.1280991735537189,9.4,31.16,60.26,0.188,1.4707,1.0096,0.8441,88.32,83.48,4.839999999999989,89.66,85.12,4.539999999999992,10.505,17.739,77.901,62.503,54.633,20.0,17.737000000000002,5.4990000000000006,12.853000000000002,65.282,0.0,0.22314049586776855,79.2,63.35,38205.6,0.395,0.092,0.3919,0.692,1.2901,1.7498,11.33,0.06796116504854365,10.3035,0.17435822778667442,-17.634999999999998
