,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1338,廣華-KY,20151119,140.5,,,0.028469750889679714,-0.16370106761565836,1142644.0,1.395,-4.535,5.93,53.62,48.24,54.34,40.38,0.403,31.19,39.32,0.2072,1.3705,1.3632,1.2066,69.58,58.46,88.17,84.35,7.23,20.753,64.694,35.014,60.396,3.8200000000000074,11.119999999999997,18.966,20.75,135.0,3.236,4.145,17.224000000000004,76.507,64.926,0.027000000000000024,1.9300000000000068,1.4099999999999966,10.769999999999996,-9.589999999999996,0.040740740740740744
1452,宏益,20151007,28.7,,,0.0,-0.289198606271777,97494.0,-12.52,3.08,-15.6,42.15,57.26,69.36,53.73,0.535,-4.92,27.3,0.4284,0.8336,0.9064,0.8514,12.98,19.87,42.09,40.21,-7.08,-8.442,7.222,21.081,150.798,1.8800000000000026,-6.890000000000001,-2.073,-8.482,13.1,-0.5410000000000004,-14.437000000000001,-77.21,-28.064,134.373,0.369,-3.979999999999997,-0.0799999999999983,-28.04,-20.270000000000003,1.1908396946564885
1457,宜進,20151007,14.4,,,0.0034722222222221483,-0.24652777777777782,62864.0,10.8,-13.86,24.66,30.95,54.84,62.19,44.95,0.446,7.85,42.11,0.2756,0.2096,1.189,0.7535,35.71,44.24,74.66,73.47,-6.559,-4.226,18.414,73.208,80.602,1.1899999999999977,-8.530000000000001,2.143,-4.266,9.35,-12.084,-37.921,66.712,-29.238999999999997,84.795,0.28,-9.310000000000002,-1.6700000000000017,-40.519999999999996,-10.939999999999998,0.5401069518716578
1464,得力,20151007,36.5,,,0.1342465753424657,-0.1671232876712329,608389.0,21.0,23.6,-2.6000000000000014,63.23,64.27,62.67,51.63,0.511,30.62,90.11,0.5294,0.053,0.9658,0.855,80.18,81.89,84.59,74.06,-4.258,38.733,40.472,129.927,234.008,10.530000000000001,-1.7099999999999937,45.102,38.693,14.2,-15.622,32.69,85.99799999999999,-19.186999999999998,235.221,0.253,0.5600000000000023,4.340000000000003,-0.5200000000000031,-3.3200000000000074,1.5704225352112677
1476,儒鴻,20151007,505.0,,,0.007920792079207921,-0.20693069306930692,841644.0,25.5,41.81,-16.310000000000002,41.83,51.96,55.33,42.95,0.428,4.31,30.28,0.3022,0.3885,0.9569,1.0243,29.48,32.83,71.05,74.24,-6.723,-9.995,18.822,35.886,99.848,-3.1899999999999977,-3.349999999999998,-3.626,-10.035,407.0,-6.872,-29.301000000000002,-17.602999999999994,-2.969000000000001,111.493,-0.07300000000000001,-7.090000000000003,-1.5900000000000034,-19.0,0.9399999999999977,0.24078624078624078
1477,聚陽,20151007,278.5,,,0.0,-0.31597845601436264,282074.0,19.009999999999998,12.865,6.144999999999998,21.83,46.36,41.23,32.44,0.323,4.46,32.33,0.2891,0.463,0.7986,0.7187,57.44,51.03,60.13,63.88,-2.174,-7.448,16.882,40.968,91.479,-3.75,6.409999999999997,-1.079,-7.4879999999999995,189.0,-4.014,-26.196,3.5500000000000043,-6.913,104.576,0.064,-2.25,-2.210000000000001,-40.15,20.05,0.47354497354497355
1521,大億,20151007,93.3,,,0.0,-0.15112540192926038,34478.0,11.125,6.344999999999999,4.780000000000001,54.98,53.8,52.53,38.52,0.385,15.83,19.21,0.186,0.9385,1.2817,1.1124,83.8,81.33,72.6,55.11,2.254,24.739,4.811,18.947,33.791,17.489999999999995,2.469999999999999,31.108,24.699,93.1,-10.882,23.810000000000002,7.536,-11.632000000000001,2.7529999999999966,0.040000000000000036,7.159999999999997,8.269999999999996,4.789999999999999,7.919999999999995,0.0021482277121375173
1522,堤維西,20151125,23.25,,,0.2451612903225806,-0.09247311827956983,49638.0,-22.405,-15.745,-6.660000000000002,53.49,41.98,45.77,35.99,0.359,4.27,15.19,0.1781,1.4684,1.1935,1.0152,42.27,51.98,69.97,78.62,-2.923,2.657,39.919,39.52,38.235,-8.650000000000006,-9.709999999999994,-0.659,2.6559999999999997,22.8,-7.621,-3.8259999999999996,40.008,27.467,32.859,0.02799999999999997,-6.019999999999996,-3.4200000000000017,27.520000000000003,-4.810000000000002,0.019736842105263126
1527,鑽全,20151007,61.7,,,0.23176661264181517,-0.08752025931928696,346219.0,6.1899999999999995,12.385,-6.195,55.74,52.1,47.5,34.17,0.339,46.21,49.66,0.2381,0.8357,1.0344,0.93,89.76,81.23,89.95,80.4,19.489,33.08,67.107,41.625,65.754,9.549999999999997,8.530000000000001,39.45,33.041000000000004,49.7,13.998000000000001,5.389999999999997,16.105,85.032,41.324000000000005,0.04600000000000004,3.280000000000001,4.730000000000004,7.109999999999999,24.43,0.2414486921529175
1536,和大,20151007,114.0,,,0.3508771929824561,-0.07894736842105263,382215.0,28.375,28.835,-0.46000000000000085,53.41,55.65,59.47,43.31,0.43,13.7,52.03,0.3447,0.8355,1.4276,1.2322,70.29,67.29,75.36,70.42,2.829,5.074,19.052,81.675,94.589,4.939999999999998,3.0,11.443,5.034,62.5,-2.32,-17.705,68.726,-18.224000000000004,78.17099999999999,0.08699999999999997,5.3799999999999955,4.070000000000007,-5.700000000000003,-2.9299999999999997,0.824
