,120天最高價,120天最低價,120天最高價預測
1213_20100803,0.0700934579439252,-0.3707165109034268,0.42249751106259464
1414_20101018,0.7874396135265701,-0.1565217391304347,0.481216097326591
1416_20101027,0.1126760563380282,-0.2218309859154928,0.19446434054485784
1507_20100414,0.4511784511784512,-0.1262626262626262,0.20017014208321718
1569_20100120,0.5302713987473904,-0.1231732776617953,0.3351558551298179
1734_20100423,0.1918194640338504,-0.2157968970380818,0.026348528642404587
2107_20100105,0.1155115511551154,-0.3102310231023103,0.10042955934855788
2373_20100402,0.6099773242630385,-0.1224489795918367,0.14571623565954703
2380_20100428,0.2817258883248731,-0.2106598984771573,0.3257817121922399
2404_20100201,0.4071661237785017,-0.1596091205211726,0.25353893072493583
2427_20100630,1.0456431535269708,-0.0954356846473029,0.26313536916564534
2430_20100406,0.2425665101721441,-0.1205007824726134,0.10548216009020042
2443_20100120,0.0,-0.4077669902912622,0.30900527597873606
2459_20100812,0.314878892733564,-0.0622837370242213,0.25639516713835503
2465_20100114,0.2134146341463415,-0.3628048780487805,0.5658642972622238
2468_20100426,0.1070615034168565,-0.3097949886104783,0.29656823032744845
2471_20100125,0.8097345132743361,-0.263274336283186,0.26657055448840156
2516_20101108,0.3553719008264462,-0.1280991735537189,0.40993814924598565
2887_20101229,0.0608695652173913,-0.1710144927536231,0.08783395072201115
2908_20100415,0.2235294117647059,-0.2282352941176471,0.08889788565767281
2915_20100115,0.5238095238095238,-0.2674603174603175,0.09811842018425129
3013_20100119,0.8980263157894739,-0.0460526315789473,0.34419567479359264
3050_20100105,0.2175324675324675,-0.2045454545454545,0.11920980476955048
3078_20100106,0.3890577507598786,-0.2522796352583586,0.26448910849742674
3162_20100105,0.09,-0.3724999999999999,0.4050830177423238
3232_20101221,0.0551181102362205,-0.3307086614173228,0.46253555112042966
3266_20100902,0.0,-0.3044871794871795,0.4641035870844184
3290_20100408,0.5197368421052633,-0.0822368421052631,0.3401024185552236
3494_20100119,0.6117216117216117,-0.0512820512820513,0.3425323154559728
3504_20100105,0.1263157894736842,-0.2771929824561403,0.14444140480576834
3535_20100115,0.4905956112852664,-0.0579937304075234,0.13184189102642502
4109_20100423,0.081180811808118,-0.2066420664206642,0.19058549599793126
4417_20100511,0.0689655172413792,-0.3238380809595202,0.399144694184387
4609_20100719,2.586826347305389,-0.0311377245508981,0.4631535502990962
5202_20100521,0.1197411003236247,-0.3462783171521035,0.5563467477144552
5403_20100114,0.2527472527472528,-0.2307692307692307,0.26901897495597216
5426_20100121,0.0,-0.2302483069977425,0.13059129707933795
5493_20100419,0.2090225563909775,-0.3052631578947368,0.3452782861527534
5905_20100609,0.0626185958254268,-0.2675521821631879,0.25886595565224374
6126_20100118,0.0338645418326692,-0.2629482071713148,0.047848429005714954
6136_20100112,0.1443850267379678,-0.2219251336898395,0.24929046455522463
6148_20100729,0.0681818181818182,-0.5227272727272727,0.5386833463134139
6169_20100120,0.1304347826086956,-0.3565217391304348,0.2503749620723317
6172_20100513,0.0,-0.6040100250626567,0.6397226762598732
6176_20101126,1.1555118110236222,-0.0590551181102362,0.08968636298715338
6195_20100513,0.2068230277185501,-0.3358208955223881,0.2975429356487988
6246_20100924,0.7371937639198218,-0.242761692650334,0.4093201921084757
6248_20100105,0.3012295081967214,-0.4467213114754098,0.6186386289759943
8099_20100120,0.0,-0.4678492239467849,0.20609022768658447
8937_20100824,0.0166666666666666,-0.5018518518518519,0.5798387667844294
9905_20100805,0.2929824561403509,-0.0842105263157894,0.09685044485913806
9928_20101022,0.0762081784386617,-0.1821561338289962,0.17726254083186468
9941_20100406,0.476997578692494,-0.1452784503631961,0.2281686289172718
