股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1102,亞泥,20070117,33.5,33.5,32.0,0.046875,0,4.6875,20070117,33.5,0.391044776119403,-0.1089552238805969,33.0,9.9,41.84,0.1971,1.3575,1.1994,1.0521,77.96,68.33,9.629999999999995,78.8,75.5,3.299999999999997,4.161,5.688,15.37,41.795,72.962,9.603,5.688,3.4349999999999996,2.7689999999999997,24.080000000000002,0.0,0.014925373134328358,85.25,76.61,190234.55,0.157,0.042,0.6771,0.786,1.6366,3.7005,31.96,0.04818523153942425,31.12,0.07647814910025703,-9.295
1104,環泥,20070628,15.6,15.6,15.1,0.0331125827814569,0,3.3112582781456954,20070628,15.6,0.3333333333333334,-0.1794871794871794,15.0,19.42,28.58,0.0934,0.1112,0.6661,0.7759,90.91,81.96,8.950000000000003,64.95,47.37,17.580000000000005,17.72,11.907,11.622,1.418,18.649,20.93,11.132,20.538,16.043,-14.101,0.0,0.03846153846153844,70.19,59.94,55657.5,0.175,0.101,0.7984,0.712,0.4825,0.4861,14.21,0.09781843771991545,13.225,0.17958412098298676,-8.6
1108,幸福,20070418,14.85,14.85,14.6,0.0171232876712328,0,1.7123287671232876,20070418,14.85,0.2020202020202021,-0.2424242424242424,10.7,52.23,69.8,0.2918,-1.0642,0.7345,0.8195,97.77,92.95,4.819999999999993,75.13,54.1,21.029999999999994,49.504,62.994,48.178,50.954,100.099,66.666,62.992999999999995,45.236999999999995,67.66,17.567,0.0,0.27946127946127947,78.23,68.9,77193.55,0.714,0.355,1.2245,1.687,1.1304,0.8968,13.06,0.13705972434915767,10.4215,0.42493882838362995,-20.245
1210,大成,20070103,21.9,21.9,20.65,0.0605326876513317,0,6.053268765133173,20070103,21.9,0.6666666666666667,-0.1232876712328766,21.25,19.71,59.87,0.2212,2.0135,0.9955,0.8144,81.61,77.06,4.549999999999997,79.93,77.16,2.7700000000000102,10.357,10.611,34.239,50.833,93.122,14.601,10.611,6.635999999999999,4.648000000000001,32.652,0.0,0.02968036529680359,88.3,83.21,113634.1,0.192,0.093,1.1039,1.1751,1.3845,2.3233,19.78,0.10717896865520714,18.1625,0.2057811424638677,-3.08
1215,卜蜂,20070103,10.2,10.2,9.64,0.0580912863070538,0,5.809128630705381,20070103,10.2,0.5098039215686276,-0.1901960784313725,9.63,20.7,73.98,0.2666,1.7604,0.3626,0.7627,71.42,63.61,7.810000000000002,81.35,81.28,0.06999999999999318,7.29,5.932,42.183,82.577,89.916,9.921,5.930999999999999,5.711,-10.985000000000001,80.321,0.0,0.05588235294117633,86.22,75.25,50402.6,0.141,0.038,0.3854,0.4001,0.7556,1.5492,9.172,0.11208024422154368,8.656,0.1783733826247688,-16.68
1217,愛之味,20070103,10.1,10.1,9.6,0.0520833333333333,0,5.208333333333334,20070103,10.1,0.0841584158415841,-0.2841584158415841,9.46,24.75,39.36,0.1094,1.4211,0.8917,0.6808,74.79,65.39,9.400000000000006,76.48,71.65,4.829999999999998,7.381,16.735,30.739,23.946,24.435,20.724,16.734,6.048,12.466,24.155,0.0,0.06336633663366324,67.67,50.31,56638.15,0.389,0.065,0.3713,0.4018,0.7389,0.801,9.118,0.10769905681070402,8.664,0.1657433056325023,-20.045
1231,聯華食,20070717,15.8,15.8,15.0,0.0533333333333333,0,5.3333333333333375,20070717,15.8,0.0601265822784809,-0.3765822784810127,12.3,30.98,52.6,0.1336,-0.3866,0.6372,0.7337,78.56,68.19,10.370000000000005,85.53,74.89,10.64,16.92,23.714,15.738,28.128,25.836,34.632,22.496,17.696,26.218999999999998,34.4,0.0,0.22151898734177214,80.12,66.96,34606.05,0.248,0.07,0.9977,1.0193,1.0107,0.9947,14.21,0.11189303307529906,13.0,0.21538461538461545,-4.665
1234,黑松,20070718,19.45,19.45,17.95,0.0835654596100278,0,8.356545961002785,20070718,19.45,0.0205655526992289,-0.4473007712082262,18.6,24.43,31.94,-0.0593,-0.9087,0.7049,1.4482,82.02,70.25,11.769999999999996,78.44,60.93,17.509999999999998,12.319,20.785,2.29,8.241,1.636,31.418,19.488,15.641000000000002,28.291,15.03,0.0,0.04370179948586107,71.25,62.35,131884.8,0.516,0.106,0.7922,0.8456,1.1416,0.9226,18.17,0.07044578976334603,17.0475,0.14092975509605513,-4.295
1323,永裕,20070727,23.55,23.55,23.55,0.0,0,0.0,20070727,23.55,0.067940552016985,-0.6029723991507431,11.3,96.74,142.48,0.4228,-0.523,-0.2097,0.3178,99.34,97.97,1.3700000000000045,90.45,76.23,14.219999999999999,43.769,110.496,109.767,116.413,166.158,114.092,108.90299999999999,21.621,111.583,107.198,0.0,0.5201698513800425,79.86,71.98,30258.65,1.196,0.41,1.9457,3.8163,2.9837,2.2372,20.72,0.13658301158301167,15.08,0.5616710875331565,-2.1300000000000003
1416,廣豐,20070627,11.9,11.9,11.5,0.0347826086956522,0,3.4782608695652204,20070627,11.9,0.1974789915966386,-0.2941176470588235,11.3,22.3,58.97,0.3133,-0.8208,0.5666,1.0548,87.79,76.95,10.840000000000003,63.23,44.3,18.93,19.927,19.16,1.142,-6.185,132.849,27.546,18.393,19.027,28.98,-125.23100000000001,0.0,0.05042016806722686,85.0,79.13,138952.5,0.443,0.274,0.5562,0.7677,0.635,0.6378,10.91,0.09074243813015584,9.7225,0.22396502957058373,-73.035
1417,嘉裕,20070328,8.61,8.61,8.27,0.0411124546553808,0,4.111245465538088,20070328,8.61,0.4924506387921022,-0.1103368176538907,8.49,20.87,34.42,0.1869,0.913,1.0772,0.896,90.85,81.78,9.069999999999993,69.09,48.31,20.78,17.222,24.792,13.174,19.345,57.955,23.352,24.793,12.983,24.819000000000003,-8.827000000000002,0.0,0.013937282229965067,77.47,70.19,41015.85,0.385,0.206,0.5332,0.6585,0.4559,0.3926,7.936,0.0849294354838709,7.13,0.20757363253856936,-12.82
1467,南緯,20070423,16.25,16.25,15.45,0.0517799352750809,0,5.177993527508096,20070423,16.25,0.4399999999999999,-0.1384615384615384,15.15,12.32,30.23,0.1848,1.4951,0.7971,0.6831,69.8,63.11,6.689999999999998,78.73,70.66,8.070000000000007,6.852,10.622,11.755,17.053,57.914,12.545,10.622,4.966,9.063,-15.248999999999999,0.0,0.06769230769230768,81.44,76.76,38373.45,0.222,0.087,0.5413,0.4772,0.424,0.5879,14.9,0.09060402684563756,14.355,0.13200975269940785,-10.62
1504,東元,20070214,17.6,17.6,17.05,0.032258064516129,0,3.2258064516129075,20070214,17.6,0.1534090909090908,-0.1193181818181818,17.45,7.46,41.3,0.1882,1.0449,1.5622,1.0639,79.09,69.92,9.170000000000002,78.49,74.53,3.9599999999999937,1.222,9.29,17.144,44.152,66.24,9.905,9.29,0.692,13.989999999999998,31.833,0.0,0.008522727272727394,86.44,80.26,167187.85,0.155,0.046,0.0678,0.4602,0.7333,2.2245,17.08,0.030444964871194566,16.5075,0.06618203846736338,-7.33
1515,力山,20070717,15.1,15.1,13.85,0.0902527075812274,0,9.025270758122744,20070717,15.1,0.1589403973509934,-0.5364238410596026,12.05,33.88,58.21,0.2683,0.3409,0.6879,0.5596,88.05,76.81,11.239999999999995,82.65,63.5,19.150000000000006,26.093,30.865,3.284,37.055,72.735,41.783,29.647000000000002,26.006,35.967,20.427,0.0,0.20198675496688734,77.2,70.15,38829.05,0.701,0.32,1.2381,1.1549,0.8688,1.1605,13.3,0.13533834586466156,11.835,0.275876637093367,-11.645
1516,川飛,20070712,14.6,14.6,13.65,0.0695970695970695,0,6.9597069597069545,20070712,14.6,0.0,-0.6815068493150684,8.65,74.77,147.65,0.4798,-1.3446,0.973,0.846,93.62,95.14,-1.519999999999996,80.6,67.56,13.039999999999992,16.207,78.063,73.2,98.876,255.546,89.821,76.952,-20.101999999999997,82.71300000000001,35.126000000000005,0.0,0.40753424657534243,82.56,72.03,33080.8,10.737,3.47,0.6909,2.3928,1.7933,1.6066,12.94,0.12828438948995366,9.498,0.5371657190987577,-45.099999999999994
1528,恩德,20070103,19.45,19.45,18.5,0.0513513513513513,0,5.135135135135132,20070103,19.45,0.1928020565552699,-0.1413881748071979,19.35,13.03,41.54,0.1798,1.749,0.8003,0.9215,82.04,74.25,7.790000000000006,73.37,72.36,1.0100000000000051,6.737,5.129,9.862,32.72,60.702,9.118,5.128,4.503,13.085999999999999,20.519,0.0,0.005141388174807088,88.49,83.61,51468.85,0.225,0.142,0.7966,0.9192,0.9361,1.2829,18.13,0.07280750137892997,16.8,0.15773809523809515,-14.36
1529,樂士,20070309,9.57,9.57,8.5,0.1258823529411765,0,12.58823529411765,20070309,9.57,1.0532915360501565,-0.1431556948798329,7.78,43.31,62.1,0.1769,0.4535,0.7254,0.6971,89.46,91.94,-2.480000000000004,59.16,46.25,12.909999999999997,19.979,72.604,41.317,94.172,38.197,68.898,72.60499999999999,-12.331000000000003,89.597,121.121,0.0,0.187042842215256,62.93,48.07,31475.15,6.737,3.205,0.5733,1.3346,0.8872,0.9924,8.238,0.1616897305171159,6.232,0.535622593068036,-60.260000000000005
1604,聲寶,20070719,9.27,9.27,8.81,0.0522133938706014,0,5.221339387060149,20070719,9.27,0.0,-0.3635382955771304,8.89,35.64,31.11,0.0211,-1.287,0.4312,0.9363,83.93,79.92,4.010000000000005,73.74,57.33,16.409999999999997,7.425,35.374,5.26,-4.552,-9.244,45.867,33.94499999999999,-2.3709999999999996,40.558,-1.4909999999999997,0.0,0.04099244875943894,71.66,65.31,112314.35,0.455,0.121,0.382,0.7337,0.7217,0.6581,8.386,0.10541378487956123,7.431,0.24747678643520382,-23.785
1701,中化,20070623,15.65,15.65,14.8,0.0574324324324324,0,5.743243243243241,20070623,15.65,1.060702875399361,-0.0543130990415335,15.4,17.89,38.37,0.0875,-0.6803,0.6814,0.8342,79.32,71.85,7.469999999999999,82.69,73.28,9.409999999999997,3.374,5.949,28.776,20.801,20.531,13.139,5.329999999999999,5.273,12.108,23.787,0.0,0.01597444089456869,76.97,65.07,121944.15,0.278,0.066,0.3881,0.6674,0.9861,1.1788,14.78,0.05886332882273349,13.94,0.1226685796269728,-8.12
1702,南僑,20070110,9.3,9.3,8.7,0.0689655172413794,0,6.896551724137948,20070110,9.3,0.2365591397849461,-0.1720430107526882,7.77,47.44,71.77,0.2197,1.6241,1.0156,0.7951,81.84,77.13,4.710000000000008,84.94,82.61,2.3299999999999983,11.668,36.307,77.739,65.073,57.604,37.122,36.307,-9.063000000000002,23.768,72.33,0.0,0.16451612903225818,73.37,51.76,30563.1,0.419,0.103,0.5467,0.8233,0.9569,0.9752,8.254,0.12672643566755526,7.1865,0.2940930912126906,-7.425
1713,國化,20070420,19.05,19.05,18.0,0.0583333333333333,0,5.8333333333333375,20070420,19.05,0.0761154855643044,-0.3385826771653544,14.3,40.58,75.24,0.2877,1.2531,1.0847,1.0551,91.27,86.4,4.86999999999999,82.37,68.97,13.400000000000006,24.477,43.456,39.89,81.498,111.298,46.125,43.456,16.929000000000002,40.542,65.789,0.0,0.24934383202099736,82.83,71.82,30633.2,0.811,0.31,0.9399,1.7066,1.3596,1.673,17.39,0.09545715928694652,14.6825,0.29746296611612477,-12.05
1723,中碳,20070112,56.2,56.2,54.2,0.03690036900369,0,3.690036900369003,20070112,56.2,0.3167259786476867,-0.0355871886120996,53.2,10.15,24.31,0.1376,0.2711,0.224,0.2958,69.87,74.28,-4.409999999999997,86.04,86.98,-0.9399999999999977,5.017,6.348,6.447,9.772,29.766,10.413,6.348,3.0890000000000004,8.917,-8.089,0.0,0.05338078291814946,83.62,75.69,36162.85,0.567,0.149,0.8212,1.8489,1.7927,2.3403,55.66,0.009701760689903095,52.855,0.0632863494465993,-3.295
1806,冠軍,20070416,19.25,19.25,18.15,0.0606060606060606,0,6.060606060606069,20070416,19.25,0.1116883116883116,-0.2181818181818181,18.9,18.68,72.85,0.4271,-0.6215,1.4306,0.9597,83.17,76.24,6.930000000000007,78.15,61.16,16.99000000000001,9.536,15.371,15.599,62.526,188.893,19.565,15.371000000000002,9.683,12.0,-19.993999999999993,0.0,0.018181818181818257,87.17,80.07,122963.7,0.421,0.134,0.8297,0.9278,0.902,1.8105,17.89,0.0760201229737283,16.825,0.14413075780089157,-3.58
1809,中釉,20070330,17.4,17.4,16.8,0.0357142857142855,0,3.5714285714285587,20070330,17.4,0.2155172413793103,-0.1954022988505746,17.3,10.18,70.62,0.3485,1.3032,1.6626,1.1377,57.1,52.51,4.590000000000003,67.16,58.71,8.449999999999996,5.341,13.354,-1.953,98.921,155.942,13.132,13.354,7.461,14.268999999999998,74.095,0.0,0.005747126436781487,82.23,73.31,54648.0,0.271,0.078,0.6328,0.9028,0.7688,2.7821,15.81,0.10056925996204921,15.2225,0.14304483494826725,-3.91
1810,和成,20070719,16.45,16.45,16.0,0.0281249999999999,0,2.812499999999996,20070719,16.45,0.2917933130699088,-0.4650455927051671,16.0,20.05,40.99,0.152,0.3778,0.6959,1.3576,76.7,62.92,13.780000000000001,67.15,50.74,16.410000000000004,14.858,16.565,-6.004,-16.316,84.209,27.059,15.137,19.553,24.849000000000004,-116.383,0.0,0.02735562310030391,81.94,76.35,127324.95,0.404,0.132,0.6392,0.6193,0.7563,0.7577,15.22,0.08081471747700385,14.385,0.14355231143552308,-20.240000000000002
