,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1215,卜蜂,20160614,32.15,,,0.5489891135303265,0.0,44411.0,9.33,14.965,-5.635,28.92,27.35,26.0,24.6,0.246,13.03,35.67,0.1761,0.5396,0.4024,0.6802,41.68,61.38,85.65,87.1,-1.098,6.013,28.498,35.968,54.804,-1.4499999999999886,-19.700000000000003,12.5,5.975,29.6,-1.5950000000000002,-11.194,16.150000000000002,23.914,54.580000000000005,-0.01200000000000001,-4.449999999999989,-0.730000000000004,2.5500000000000007,6.920000000000002,0.08614864864864855
1216,統一,20160614,63.0,,,0.06984126984126993,-0.13809523809523813,320426.0,0.81,0.2549999999999999,0.5550000000000002,23.26,22.29,21.11,23.72,0.237,6.41,13.07,0.123,0.757,0.5042,0.6892,56.49,69.05,76.47,79.95,-2.189,-3.197,12.527,12.049,36.072,-3.480000000000004,-12.559999999999995,3.29,-3.2350000000000003,60.0,-5.168,-14.581,-9.129999999999999,15.177,28.998000000000005,0.0020000000000000018,-13.480000000000004,-4.769999999999996,1.4300000000000033,1.8299999999999983,0.05
1305,華夏,20160830,19.65,,,0.4274809160305345,-0.06361323155216285,255755.0,5.64,-4.975,10.614999999999998,29.92,26.31,25.87,33.47,0.334,26.85,39.93,0.2017,-1.0648,0.4294,0.9231,81.84,80.82,90.37,83.95,5.42,25.722,33.149,33.946,58.509,6.420000000000002,1.0200000000000102,27.126,24.806,17.25,-2.3680000000000003,23.601000000000003,25.278,34.126,40.724000000000004,-0.033999999999999975,4.150000000000006,3.719999999999999,10.16,1.75,0.13913043478260861
1319,東陽,20160614,48.1,,,0.5966735966735965,0.0,110389.0,6.63,1.23,5.4,29.03,34.63,38.22,36.62,0.365,-1.65,22.57,0.2401,0.8355,0.5812,0.8551,46.95,42.1,29.02,35.12,3.762,-8.729,6.658,30.334,76.273,-6.099999999999998,4.850000000000001,-2.243,-8.768,47.65,8.762,-11.822,-16.269000000000002,-11.439999999999998,105.34899999999999,0.128,3.5700000000000003,-1.5200000000000031,-11.159999999999997,-5.219999999999999,0.00944386149003154
1326,台化,20160725,84.4,,,0.18483412322274873,-0.027251184834123355,388068.0,-9.625,-6.87,-2.755,19.21,19.95,22.74,25.63,0.256,6.26,16.59,0.0827,0.9321,0.9226,0.9061,87.02,88.69,77.69,62.42,1.269,4.031,-0.835,10.255,14.156,15.269999999999996,-1.6700000000000017,10.103,1.4239999999999995,84.0,-0.8790000000000002,8.609,6.477,-11.132000000000001,0.7400000000000002,0.04000000000000001,8.840000000000003,7.920000000000002,-3.8200000000000003,-5.16,0.00476190476190483
1473,台南,20160614,39.5,,,0.002531645569620289,-0.27848101265822783,42515.0,4.775,15.355,-10.58,33.43,40.66,42.01,37.01,0.367,0.5,29.14,0.1845,0.1321,0.517,0.4318,17.65,29.55,68.99,71.74,-4.367,-6.615,0.804,50.168,55.975,-2.75,-11.900000000000002,-0.128,-6.6530000000000005,35.05,1.6059999999999999,-33.411,48.425,-53.421,53.789,0.16499999999999998,-9.36,-2.3700000000000045,-13.11,-3.8000000000000043,0.12696148359486456
1522,堤維西,20160617,26.4,,,0.49242424242424243,0.0,74327.0,2.58,7.945,-5.365,25.3,30.79,28.94,38.08,0.379,2.06,16.63,0.2434,0.9169,0.883,1.1569,41.44,28.57,33.79,32.08,5.044,-1.696,1.526,7.796,65.455,1.7100000000000009,12.869999999999997,3.557,-1.7399999999999998,26.15,6.486,-3.784,-43.666000000000004,-5.148000000000001,81.224,0.08500000000000002,5.599999999999998,0.8599999999999994,-10.45,1.4499999999999993,0.009560229445506692
1525,江申,20160614,130.5,,,0.210727969348659,-0.14559386973180077,12980.0,1.4849999999999999,-3.145,4.63,38.46,58.76,60.85,53.5,0.528,6.99,46.72,0.2824,1.3665,1.5382,1.5311,31.37,48.04,55.12,60.18,-1.812,-1.181,27.817,54.584,53.641,-5.060000000000002,-16.669999999999998,5.306,-1.2190000000000003,96.5,-2.824,-17.472,44.190000000000005,18.893,38.955,0.14100000000000001,-7.090000000000003,-2.780000000000001,-36.309999999999995,0.6899999999999977,0.35233160621761656
1527,鑽全,20160616,71.5,,,0.6503496503496503,-0.005594405594405674,84528.0,28.415,8.795,19.619999999999997,18.74,31.34,35.53,43.19,0.428,0.48,20.49,0.2601,0.2643,0.7497,0.9402,60.41,46.0,40.7,41.49,5.164,-4.572,3.216,13.162,63.122,-0.7899999999999991,14.409999999999997,0.715,-4.617,71.1,6.606,-3.098,-43.018,1.5080000000000002,38.233000000000004,0.139,4.030000000000001,-0.39000000000000057,-27.01,-9.459999999999997,0.005625879043600643
1532,勤美,20160704,42.0,,,0.02857142857142864,-0.2857142857142857,284786.0,-1.0749999999999997,-29.529999999999998,28.455,34.12,32.75,35.66,31.78,0.316,13.96,43.63,0.2372,1.2477,0.6707,0.7641,85.95,75.98,80.14,73.69,8.95,10.853,32.999,52.804,64.419,6.450000000000003,9.969999999999999,12.821,9.588,41.35,6.4719999999999995,17.913,41.551,18.164,73.91799999999999,0.03799999999999998,20.950000000000003,7.299999999999997,2.789999999999999,-6.850000000000001,0.01571946795646913
1536,和大,20160614,159.0,,,0.08490566037735849,-0.2672955974842767,240862.0,7.619999999999999,20.55,-12.930000000000001,31.99,46.48,48.63,49.79,0.496,6.78,31.8,0.338,1.2701,1.1592,1.1387,60.87,63.42,54.11,53.41,1.512,6.325,31.882,20.134,72.303,0.7000000000000028,-2.5500000000000043,12.811,6.286,133.5,0.605,6.363,-18.805,41.33,-22.614000000000004,0.16499999999999998,3.280000000000001,0.20999999999999375,-25.500000000000004,1.2899999999999991,0.19101123595505617
1568,倉佑,20160818,35.0,,,0.18285714285714283,-0.11714285714285719,262254.0,5.68,10.655000000000001,-4.975000000000001,53.3,49.2,46.67,45.94,0.452,37.97,65.07,0.3434,1.2864,0.9755,0.7144,89.67,82.12,82.01,72.74,22.208,41.647,49.577,35.234,112.575,9.27000000000001,7.549999999999997,42.916,40.19,23.2,13.355999999999998,49.254,-15.893999999999998,60.120999999999995,126.473,0.16500000000000004,9.969999999999999,5.349999999999994,21.099999999999994,6.060000000000002,0.5086206896551725
1592,英瑞-KY,20160614,54.5,,,0.21467889908256885,-0.25871559633027524,88278.0,7.965,21.76,-13.795000000000002,56.32,70.11,72.01,46.42,0.46,21.66,69.46,0.3015,1.5567,1.0809,0.7611,52.75,61.76,74.05,76.4,-2.733,8.964,89.42,84.453,97.353,-2.3500000000000085,-9.009999999999998,15.451,8.926,39.7,-15.328000000000001,-4.344999999999999,70.446,93.401,97.353,,-6.530000000000001,-1.2199999999999989,-26.690000000000005,11.780000000000001,0.37279596977329965
2228,劍麟,20160616,198.5,,,0.3198992443324937,-0.1309823677581864,43312.0,25.705,17.43,8.274999999999999,41.48,42.88,50.47,49.99,0.497,-3.31,15.36,0.1764,1.2399,0.8912,1.2454,33.6,30.85,30.0,36.71,0.519,-3.982,7.791,20.181,42.602,-6.710000000000001,2.75,1.306,-4.026,198.0,-1.7039999999999997,2.2889999999999997,3.556000000000001,-2.968,35.57299999999999,0.123,-2.8800000000000026,-3.3599999999999994,-2.0600000000000023,-11.64,0.0025252525252525255
2328,廣宇,20160825,26.05,,,0.24952015355086357,-0.09021113243762001,892191.0,-1.005,-14.025,13.02,74.52,57.67,51.01,41.46,0.409,78.3,99.24,0.2575,3.4556,1.701,1.3772,96.05,90.87,91.51,85.6,36.464,87.391,109.426,93.764,135.41,5.910000000000011,5.179999999999993,88.768,86.311,24.4,29.058,75.51400000000001,84.654,115.605,168.939,0.02999999999999997,4.25,2.9499999999999886,44.339999999999996,31.69,0.06762295081967222
2330,台積電,20160614,163.0,,,0.18404907975460122,-0.04294478527607362,4508801.0,-3.195,-1.9050000000000002,-1.2899999999999996,20.88,20.52,19.99,25.03,0.25,4.22,14.04,0.1166,1.2578,1.3161,1.1602,74.78,83.84,74.4,61.41,1.196,6.013,5.81,9.881,23.479,12.990000000000009,-9.060000000000002,12.5,5.975,155.0,-0.6280000000000001,9.933,-5.5489999999999995,3.385,5.291999999999998,0.013000000000000012,5.8300000000000125,7.069999999999993,4.599999999999998,2.0599999999999987,0.05161290322580645
2345,智邦,20160614,47.25,,,0.22539682539682537,-0.0867724867724868,504760.0,15.729999999999999,15.335,0.3949999999999978,48.85,49.26,49.59,48.78,0.481,30.19,85.59,0.5638,1.0407,1.1166,0.8709,87.88,81.16,89.87,75.8,8.582,23.499,36.579,69.64,263.84,14.070000000000007,6.719999999999999,29.986,23.461,33.55,7.947000000000001,5.250999999999998,-83.48899999999999,33.802,285.95899999999995,0.263,7.340000000000003,7.799999999999997,-1.3099999999999952,-0.25,0.4083457526080478
2355,敬鵬,20160614,68.8,,,0.12354651162790699,-0.20348837209302326,302418.0,8.745,14.985,-6.24,36.19,36.7,34.39,37.34,0.372,7.13,32.77,0.1934,1.0345,1.0246,1.0041,31.24,34.7,68.51,71.05,0.331,1.35,17.984,25.388,58.606,-2.539999999999992,-3.4600000000000044,7.837,1.3119999999999994,63.5,5.364000000000001,-6.997,-5.789999999999999,13.138000000000002,73.764,0.133,-2.9200000000000017,-0.8700000000000045,-1.7700000000000031,8.250000000000004,0.08346456692913382
2377,微星,20160614,54.7,,,0.6617915904936015,0.0,327355.0,20.905,19.759999999999998,1.1450000000000031,28.21,39.29,41.3,39.29,0.391,9.26,41.72,0.2863,0.0401,0.6183,0.7392,75.52,64.4,81.78,75.54,3.837,4.082,23.392,15.581,102.876,6.239999999999995,11.11999999999999,10.569,4.0440000000000005,52.0,3.605,1.8169999999999997,-53.986999999999995,33.336,125.46000000000001,0.04899999999999999,4.079999999999998,2.0600000000000023,-19.839999999999996,2.6300000000000026,0.051923076923076975
