股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance
4416,三圓,20050518,13.5,13.5,13.2,0.0227272727272727,0,2.2727272727272783,20050518,13.5,0.8888888888888888,-0.1111111111111111,13.35,15.09,25.16,0.2489,0.4253,0.2416,0.1307,92.09,85.56,6.530000000000001,83.54,72.67,10.870000000000005,11.1,13.306,34.741,25.35,44.844,16.379,13.302000000000001,6.037,9.540999999999999,11.294000000000002,0.0,0.011111111111111138,81.19,74.06,156.75,0.197,0.074,0.2542,0.6303,0.5535,0.5363,13.07,0.03289977046671765,12.1575,0.11042566317088211
4419,元勝,20051125,9.08,9.08,8.5,0.068235294117647,0,6.8235294117647065,20051125,9.08,1.6431718061674008,-0.0638766519823788,8.9,24.87,43.68,0.3073,0.5192,0.17,-0.1499,82.84,89.04,-6.200000000000003,91.47,89.28,2.1899999999999977,1.774,1.014,46.555,20.391,61.684,8.126,1.0109999999999992,0.2430000000000001,-58.986999999999995,8.039999999999997,0.0,0.019823788546255477,71.49,57.4,1062.3,0.639,-0.05,0.0611,0.2463,1.1678,1.0679,8.528,0.06472795497185736,8.296,0.0945033751205401
4503,金雨,20050223,15.1,15.1,14.1,0.0709219858156028,0,7.092198581560284,20050223,15.1,0.9403973509933776,-0.0662251655629139,14.4,24.2,33.76,0.1634,0.5641,-0.2243,0.3372,90.3,84.33,5.969999999999999,92.29,87.38,4.910000000000011,10.176,14.237,59.508,39.904,28.966,18.897,14.233999999999998,6.616,-0.47300000000000075,41.758,0.0,0.04635761589403969,77.27,63.31,18419.35,1.338,0.267,0.372,0.6277,1.2699,1.6915,14.36,0.051532033426183864,13.385,0.12812850205453866
4532,瑞智,20050218,32.2,32.2,30.9,0.0420711974110033,0,4.207119741100337,20050218,32.2,0.1428571428571426,-0.2857142857142857,31.1,9.29,35.93,0.2078,0.701,0.4547,0.7159,78.04,72.52,5.52000000000001,61.39,57.86,3.530000000000001,6.511,7.04,18.156,30.435,69.283,10.105,7.038,5.241,9.793,-5.202000000000002,0.0,0.03416149068322986,88.35,84.03,80301.05,0.136,0.121,1.0688,0.9599,0.8758,1.8404,29.86,0.07836570663094453,28.745,0.12019481648982437
4904,遠傳,20050111,38.8,38.8,38.2,0.0157068062827223,0,1.5706806282722363,20050111,38.8,0.0850515463917526,-0.0979381443298968,38.7,3.71,26.68,0.2229,0.2839,0.5501,0.4945,71.82,68.98,2.839999999999989,84.33,82.9,1.4299999999999926,3.516,-1.342,14.732,32.664,63.66,-0.258,-1.352,5.82,-3.8040000000000003,2.7900000000000027,0.0,0.0025773195876287198,90.7,83.67,161958.4,0.111,0.006,0.2561,0.5512,1.1734,2.3008,38.22,0.01517530088958656,37.875,0.024422442244224348
4908,前鼎,20051109,18.05,18.05,16.9,0.0680473372781066,0,6.804733727810664,20051109,18.05,2.185595567867036,-0.1689750692520776,18.0,38.7,52.71,0.2782,1.1113,0.7359,0.6293,92.61,87.72,4.890000000000001,69.31,53.69,15.620000000000005,17.606,42.619,38.741,57.072,80.075,40.798,42.617000000000004,-2.3349999999999973,35.269,35.087,0.0,0.0027700831024931143,69.78,60.15,1631.4,0.276,0.13,0.9217,1.7795,1.1849,1.1381,16.18,0.11557478368356001,13.43,0.3440059568131051
5009,榮剛,20051219,20.3,20.3,19.25,0.0545454545454545,0,5.454545454545459,20051219,20.3,0.5960591133004924,-0.0517241379310345,20.2,11.3,16.91,0.055,0.1053,0.2842,0.2481,84.33,76.18,8.149999999999991,78.66,63.33,15.329999999999998,2.546,7.149,-1.377,22.949,3.202,12.465,7.148,-7.479000000000001,11.604,32.93,0.0,0.004926108374384306,70.71,58.87,76017.2,0.163,0.079,0.4454,0.6464,0.486,0.9419,19.41,0.04585265327150956,18.5325,0.09537299338999067
5201,凱衛,20050104,19.0,19.0,17.6,0.0795454545454544,0,7.954545454545446,20050104,19.0,0.5,-0.3210526315789473,17.8,32.65,90.32,0.4908,0.2708,-0.6083,0.4588,91.22,93.71,-2.489999999999995,88.64,77.4,11.239999999999995,4.716,37.314,44.257,128.717,134.019,40.151,37.303000000000004,-1.779,42.869,122.88200000000002,0.0,0.06315789473684207,88.54,83.07,3892.2,0.864,0.055,0.3323,1.4724,2.3527,3.0059,17.86,0.06382978723404259,16.2975,0.16582297898450687
5205,中茂,20050921,10.65,10.65,10.25,0.0390243902439024,0,3.902439024390248,20050921,10.65,0.1220657276995304,-0.3051643192488262,9.35,13.52,17.01,0.0203,0.7192,0.5421,0.7333,76.09,67.2,8.89,85.49,78.28,7.209999999999994,5.532,5.487,22.629,16.193,5.232,4.0,5.177,,-10.632,31.901000000000003,0.0,0.12206572769953059,68.95,49.4,,1.999,0.065,2.1865,1.2018,0.8106,0.6072,6.028,0.7667551426675516,5.1875,1.0530120481927712
5209,新鼎,20050721,15.8,15.8,14.8,0.0675675675675675,0,6.756756756756756,20050721,15.8,0.2215189873417721,-0.1012658227848102,15.5,28.43,44.1,0.1657,-0.211,-0.128,0.2494,77.52,71.75,5.769999999999996,86.8,82.66,4.140000000000001,7.863,20.506,34.334,71.911,24.787,22.347,18.851000000000003,7.654000000000001,7.766,101.13900000000001,0.0,0.018987341772151944,78.39,60.48,1222.75,0.236,0.012,0.5758,0.4984,1.3442,1.6162,14.77,0.06973595125253901,14.56,0.08516483516483518
5309,系統電,20051222,19.25,19.25,18.0,0.0694444444444444,0,6.944444444444445,20051222,19.25,0.277922077922078,-0.1896103896103896,19.0,34.4,62.48,0.2257,1.338,0.9332,0.5874,87.14,81.35,5.790000000000006,83.87,74.52,9.350000000000009,7.929,24.228,48.283,87.185,61.963,30.137,24.228,-6.9719999999999995,21.955000000000002,98.886,0.0,0.012987012987012988,72.67,56.26,53355.4,1.51,0.332,0.5115,1.3189,1.6893,1.9147,18.03,0.06766500277315578,16.0725,0.19769793124902774
5312,寶島科,20050221,19.3,19.3,18.2,0.0604395604395605,0,6.043956043956053,20050221,19.3,0.0621761658031087,-0.1373056994818653,18.7,12.81,18.8,0.1127,0.8411,0.6466,0.2988,78.92,76.03,2.8900000000000006,76.24,66.93,9.309999999999988,8.86,4.975,12.095,12.976,27.435,9.999,4.973000000000001,9.561,-3.596,2.2760000000000016,0.0,0.031088082901554476,56.15,49.31,1070.1,0.113,0.058,0.7494,0.5173,0.5242,0.5002,17.52,0.1015981735159818,16.98,0.13663133097762076
5347,世界,20050214,23.3,23.3,22.5,0.0355555555555555,0,3.555555555555559,20050214,23.3,0.4356223175965666,-0.0815450643776825,23.2,8.79,-3.61,0.0844,1.6985,1.9779,1.4386,57.86,51.54,6.32,83.26,76.98,6.280000000000001,4.674,6.215,20.229,2.72,-9.283,10.0,6.216,9.983,-2.3729999999999993,13.626000000000001,0.0,0.0042918454935622925,83.7,68.01,154162.9,0.122,-0.019,0.7579,0.8018,1.1282,5.0356,22.14,0.052393857271906055,21.99,0.059572532969531716
5364,力麗店,20050406,13.55,13.55,13.55,0.0,0,0.0,20050406,13.55,1.2509225092250922,-0.1217712177121771,13.0,50.22,41.01,0.3811,0.1091,0.4324,1.0069,94.85,87.04,7.809999999999988,91.82,80.02,11.799999999999997,20.787,24.627,75.414,43.08,12.317,21.718,24.626,,,58.063,0.0,0.04059040590405909,,,,26.236,9.342,2.5174,2.0297,1.5797,1.1651,10.71,0.265172735760971,7.975,0.6990595611285269
5392,能率,20050111,24.1,24.1,21.7,0.1105990783410139,0,11.059907834101391,20050111,24.1,0.1286307053941907,-0.0995850622406639,24.0,12.95,1.19,0.1136,-1.3003,-0.6903,0.3156,85.59,77.46,8.13000000000001,86.23,73.69,12.540000000000006,7.101,2.206,19.501,-4.613,7.772,3.289,2.1950000000000003,8.969,,-14.513000000000002,0.0,0.004149377593361055,76.6,66.32,,0.231,0.022,0.7026,3.6505,4.5381,3.3488,23.18,0.03968938740293364,21.1325,0.14042351827753466
5426,振發,20050609,12.65,12.65,12.0,0.0541666666666666,0,5.41666666666667,20050609,12.65,0.0830039525691698,-0.375494071146245,12.1,29.75,51.97,0.1734,0.337,0.8054,0.8281,91.87,87.14,4.730000000000004,66.98,53.69,13.290000000000006,21.979,27.99,23.473,70.549,26.453,30.991,27.929,20.442999999999998,29.532,97.61600000000001,0.0,0.04347826086956527,64.92,45.62,38913.7,0.196,0.102,0.8343,0.9437,0.6831,1.3488,11.15,0.13452914798206278,9.8035,0.29035548528586735
5434,崇越,20050729,98.6,98.6,95.8,0.0292275574112734,0,2.9227557411273457,20050729,98.6,0.5010141987829615,-0.2312373225152129,98.0,60.75,76.67,0.2487,-0.9009,-0.0853,0.8252,90.5,87.41,3.0900000000000034,93.86,86.18,7.679999999999993,16.941,73.391,81.126,75.616,77.466,74.513,71.50200000000001,4.2059999999999995,72.417,78.758,0.0,0.006085192697768705,60.33,39.8,346924.9,2.415,0.502,4.5135,11.4169,12.212,9.3041,90.6,0.08830022075055188,75.64,0.3035430988894764
5439,高技,20051123,18.85,18.85,18.2,0.0357142857142858,0,3.571428571428583,20051123,18.85,1.326259946949602,-0.050397877984085,18.2,21.55,61.83,0.2823,1.2316,1.0443,0.6258,88.27,84.59,3.6799999999999926,71.98,62.52,9.46,13.096,18.209,14.469,93.844,89.233,24.914,18.206000000000003,3.2439999999999998,17.662,101.10199999999999,0.0,0.034482758620689766,77.28,62.49,31878.9,0.217,0.116,0.6576,1.3203,0.8918,2.3044,17.21,0.09529343404997098,15.195,0.24053965120105306
5443,均豪,20050616,16.6,16.6,15.15,0.0957095709570957,0,9.570957095709575,20050616,16.6,0.1987951807228913,-0.2168674698795181,15.8,40.89,54.74,0.1962,2.5967,1.3391,0.8448,92.49,88.05,4.439999999999998,79.4,60.86,18.540000000000006,19.838,42.862,45.419,52.973,45.105,48.878,42.428,12.8,44.387,58.575,0.0,0.04819277108433739,71.46,55.63,39365.4,0.524,0.176,0.762,1.6574,1.2708,1.1827,15.28,0.08638743455497395,12.8275,0.2940947183784838
5474,聰泰,20051214,19.4,19.4,19.0,0.0210526315789472,0,2.1052631578947296,20051214,19.4,1.6082474226804129,-0.0644329896907216,18.7,87.6,88.02,0.2285,-1.2182,0.3515,0.332,94.18,87.27,6.910000000000011,86.73,72.33,14.400000000000006,40.555,119.984,114.625,114.602,55.485,122.478,119.982,40.762,120.922,142.714,0.0,0.03608247422680409,66.73,44.5,1829.95,0.801,0.219,1.5924,3.0065,2.6214,1.9774,17.07,0.13649677797305204,13.0435,0.4873308544485758
