股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1215,卜蜂,20140310,18.3,18.3,17.45,0.0487106017191977,0,4.871060171919779,20140310,18.3,0.6174863387978142,-0.046448087431694,17.2,13.37,18.91,0.0753,-0.5653,0.2903,0.4032,81.95,80.36,1.5900000000000034,75.95,68.26,7.689999999999998,3.588,11.664,12.294,16.737,14.71,14.921,11.664,-4.706,11.145999999999999,18.724999999999998,0.0,0.06010928961748641,78.46,65.56,30618.35,0.299,0.118,0.3881,0.8164,0.5575,0.5882,17.57,0.04154809334092205,16.3575,0.118752865657955,-0.3450000000000002
1225,福懋油,20140709,20.0,20.0,19.2,0.0416666666666667,0,4.166666666666671,20140709,20.0,0.4,-0.245,15.15,33.31,53.87,0.1558,1.9521,1.6699,0.5257,87.56,88.87,-1.3100000000000023,80.44,68.45,11.989999999999995,9.498,33.271,26.842,73.38,35.417,36.842,32.379,-2.344000000000001,30.124000000000002,96.62599999999999,0.0,0.2425,73.86,56.11,36788.3,1.151,0.294,0.7317,1.8193,1.6704,1.9323,18.86,0.06044538706256631,16.3375,0.22417750573833217,-12.565000000000001
1235,興泰,20140617,40.15,40.15,37.8,0.0621693121693122,0,6.216931216931221,20140617,40.15,0.3075965130759652,-0.5006226650062267,33.0,16.98,44.87,0.2075,-0.3864,-0.2999,0.1371,86.48,79.1,7.38000000000001,74.77,59.52,15.249999999999993,14.027,14.825,14.904,49.333,44.032,18.787,14.808,6.956999999999999,15.597999999999999,53.352999999999994,0.0,0.17808219178082188,66.92,53.77,37753.05,0.74,0.312,1.893,2.1395,2.6096,4.7436,37.62,0.06725146198830413,34.6625,0.1583122971510998,-40.53
1409,新纖,20140729,11.35,11.35,11.0,0.0318181818181817,0,3.1818181818181785,20140729,11.35,0.0837004405286344,-0.0969162995594713,11.3,6.24,9.21,0.0325,1.1558,0.7051,0.5668,67.76,73.23,-5.469999999999999,76.74,74.81,1.9299999999999926,0.679,5.366,6.272,-0.429,-0.751,6.28,3.709,-2.365,3.8089999999999997,0.38499999999999995,0.0,0.004405286343612241,69.03,61.24,59774.4,0.129,0.013,0.086,0.2013,0.4104,0.3428,11.06,0.026220614828209688,10.815,0.049468331021729095,-9.594999999999999
1437,勤益控,20140103,22.5,22.5,21.4,0.0514018691588785,0,5.140186915887857,20140103,22.5,0.0399999999999999,-0.1844444444444443,21.35,26.22,35.59,0.1182,-0.071,0.5164,0.7322,65.5,59.35,6.149999999999999,82.12,72.98,9.14,6.956,35.901,36.804,34.18,28.68,37.736,35.898999999999994,5.178000000000001,35.32,41.333,0.0,0.051111111111111045,66.09,52.15,71471.2,0.847,-0.013,0.7021,0.9797,2.0742,1.8613,20.8,0.08173076923076919,20.13,0.1177347242921014,-5.8149999999999995
1540,喬福,20140708,26.9,26.9,25.8,0.0426356589147286,0,4.26356589147286,20140708,26.9,0.0,-0.1895910780669144,22.75,10.19,27.62,0.1543,1.2091,1.5773,0.4891,78.74,75.47,3.269999999999996,78.32,68.41,9.909999999999997,4.534,3.993,1.328,19.259,35.487,8.334,3.2249999999999996,2.202,3.259,8.089,0.0,0.15427509293680292,76.6,69.07,30136.45,0.475,0.197,0.7284,1.2734,1.066,1.391,26.22,0.0259344012204424,24.1875,0.11214470284237721,-8.925
1604,聲寶,20140826,13.7,13.7,13.4,0.0223880597014924,0,2.238805970149245,20140826,13.7,0.0,-0.1569343065693429,12.35,8.43,17.03,0.1058,0.4721,0.4701,0.4969,71.99,71.15,0.8399999999999892,71.46,63.05,8.409999999999997,0.648,10.236,3.61,6.659,22.079,9.756,9.35,-3.6510000000000002,10.294,-6.135000000000001,0.0,0.09854014598540144,83.01,78.22,32429.1,0.171,0.035,0.1817,0.4626,0.3844,0.4139,13.25,0.03396226415094334,12.8125,0.06926829268292678,-2.625
1708,東鹼,20140521,38.55,38.55,36.1,0.0678670360110802,0,6.786703601108021,20140521,38.55,0.1621271076523995,-0.1478599221789882,37.5,18.73,22.15,0.0909,0.9713,0.0939,0.2876,90.41,82.52,7.890000000000001,70.88,52.67,18.209999999999994,17.881,20.557,17.096,14.774,19.604,19.565,20.548000000000002,15.009,23.4,10.482,0.0,0.02723735408560304,53.57,37.95,53879.95,0.556,0.338,1.7913,1.9361,1.1643,0.9611,35.68,0.08043721973094163,32.7625,0.17665013353681783,-2.82
1732,毛寶,20141021,19.0,19.0,16.75,0.1343283582089552,0,13.432835820895525,20141021,19.0,0.0,-0.3157894736842105,17.9,30.59,35.16,0.1335,-0.5965,-0.6048,-0.1579,85.28,87.57,-2.289999999999992,66.29,55.7,10.590000000000003,22.674,38.751,45.624,42.896,33.94,32.411,38.738,12.684,37.108999999999995,50.015,0.0,0.05789473684210534,49.91,42.36,30360.5,1.084,0.524,1.098,1.8356,1.1818,0.9608,16.42,0.1571254567600486,13.52,0.4053254437869823,-0.96
1777,生泰,20140526,80.3,80.3,75.6,0.0621693121693122,0,6.216931216931221,20140526,80.3,0.1083437110834371,-0.2764632627646325,65.9,26.65,33.92,0.1445,0.6738,0.3543,0.4106,90.22,84.56,5.659999999999997,87.45,84.92,2.530000000000001,18.47,24.883,30.356,29.482,42.453,27.869,24.873,18.259999999999998,21.762999999999998,20.252,0.0,0.17932752179327513,69.13,60.85,30557.25,2.656,1.222,5.2454,5.6072,4.4329,4.129,73.96,0.08572201189832347,65.52,0.2255799755799756,-0.2450000000000001
