股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1445,大宇,20150507,11.4,11.4,10.65,0.0704225352112676,0,7.042253521126761,20150507,11.4,0.0657894736842105,-0.306140350877193,11.25,11.73,14.18,0.0489,-0.0324,0.0623,0.1523,64.71,74.99,-10.280000000000001,73.48,76.32,-2.839999999999989,-6.612,14.739,15.188,10.114,-0.524,15.385,14.738,-20.788,12.631,19.073,0.0,0.013157894736842136,53.22,43.09,31671.7,0.453,0.106,0.607,0.8293,0.7703,0.6234,11.64,-0.020618556701030945,10.377,0.09858340560855736,-6.42
1455,集盛,20150518,11.75,11.75,11.05,0.0633484162895926,0,6.334841628959269,20150518,11.75,0.2936170212765956,-0.2851063829787233,11.55,19.98,29.02,0.0803,0.6725,0.1146,0.5016,77.3,66.51,10.789999999999992,84.72,77.73,6.989999999999995,11.549,10.585,29.655,36.649,15.573,10.952,10.58,12.485,-4.978999999999999,51.092,0.0,0.01702127659574462,79.82,61.91,82741.85,0.306,0.017,0.2853,0.3815,0.7678,0.7987,11.09,0.05951307484220019,10.669,0.10132158590308366,-3.87
1457,宜進,20150423,10.55,10.55,10.05,0.0497512437810945,0,4.975124378109452,20150423,10.55,0.4834123222748814,-0.1563981042654028,9.35,17.67,24.17,0.0697,0.171,0.0425,0.5027,73.85,73.78,0.06999999999999318,78.9,69.96,8.940000000000012,2.202,18.477,22.323,20.082,12.645,18.881,18.477,-1.217,13.491,23.325,0.0,0.11374407582938398,62.19,47.58,42466.6,0.27,0.047,0.2104,0.5365,0.6259,0.6032,10.046,0.050169221580728784,9.353,0.12798032716775376,-30.884999999999998
1459,聯發,20150430,15.5,15.5,14.7,0.054421768707483,0,5.4421768707483045,20150430,15.5,0.0161290322580645,-0.3096774193548388,12.45,29.39,45.74,0.2064,-1.4271,-1.0869,0.1906,80.93,70.14,10.790000000000006,81.85,78.58,3.269999999999996,16.385,22.146,48.755,49.118,53.705,24.583,22.145999999999997,14.728000000000002,6.819000000000001,46.871,0.0,0.19677419354838716,63.26,47.71,48915.9,0.564,0.107,0.787,0.5838,1.4174,1.4037,13.89,0.11591072714182861,13.2275,0.17180117180117188,-8.865
1702,南僑,20150803,75.3,75.3,70.0,0.0757142857142856,0,7.571428571428568,20150803,75.3,0.0278884462151395,-0.2483399734395749,72.1,11.2,23.02,0.0942,1.3421,1.1457,0.834,74.54,70.8,3.740000000000009,72.87,61.94,10.930000000000007,9.413,20.917,22.902,40.133,18.039,12.007,19.46,2.125,20.171000000000003,57.688,0.0,0.04249667994687919,85.0,78.05,169486.1,1.185,0.475,2.0562,2.9064,2.1638,3.8706,69.5,0.0834532374100719,66.27,0.136260751471254,-0.8399999999999999
1905,華紙,20150409,10.9,10.9,10.35,0.0531400966183575,0,5.314009661835756,20150409,10.9,0.036697247706422,-0.3220183486238532,10.65,18.54,17.31,0.0596,-0.0387,0.2292,0.4087,85.96,80.97,4.989999999999995,74.2,66.67,7.530000000000001,13.534,18.088,16.747,12.634,11.268,18.141,18.087999999999997,12.692,17.533,13.821,0.0,0.02293577981651376,59.25,45.12,48653.1,0.286,0.132,0.5778,0.5542,0.3883,0.3261,9.958,0.09459730869652543,9.201,0.1846538419736985,-8.375
2331,精英,20150114,28.6,28.6,27.4,0.0437956204379563,0,4.379562043795631,20150114,28.6,0.166083916083916,-0.1923076923076923,28.4,5.92,18.83,0.1855,0.3075,0.1606,0.368,60.53,51.74,8.79,71.89,68.38,3.510000000000005,2.39,6.784,8.957,19.978,51.504,8.478,6.784,-2.1149999999999998,11.530999999999999,-17.141,0.0,0.006993006993007092,85.18,81.25,40758.7,0.133,0.035,0.4841,0.3636,0.7824,2.7314,27.29,0.048002931476731486,27.005,0.059063136456211904,-5.795
2375,凱美,20150422,18.8,18.8,17.95,0.0473537604456825,0,4.735376044568254,20150422,18.8,0.0531914893617021,-0.4095744680851064,15.8,23.57,29.01,0.0722,-0.1153,0.2244,0.5174,86.89,80.15,6.739999999999995,84.69,80.81,3.8799999999999955,12.985,23.55,28.337,39.106,9.406,22.148,23.55,4.177,17.497,54.597,0.0,0.15957446808510636,75.59,60.68,33751.2,0.979,0.379,1.0694,1.168,1.0705,1.5103,17.33,0.08482400461627251,15.695,0.1978337050015929,-25.665
2426,鼎元,20150108,14.0,14.0,13.25,0.0566037735849056,0,5.660377358490567,20150108,14.0,0.25,-0.1321428571428571,13.9,15.8,-3.57,0.0785,1.0756,1.5459,1.5381,79.39,76.4,2.989999999999995,84.49,67.65,16.83999999999999,2.193,13.269,14.281,-12.965,-5.906,13.821,13.269,-2.9979999999999998,7.501,-14.677,0.0,0.0071428571428571175,78.43,63.72,30297.45,0.244,0.091,0.3527,0.6852,1.9835,1.5375,13.51,0.03626943005181349,12.585,0.11243543901469996,-27.645
2443,億麗,20150421,15.05,15.05,14.05,0.0711743772241992,0,7.117437722419928,20150421,15.05,0.0365448504983388,-0.6837209302325582,14.1,17.52,27.29,0.0426,-0.9456,-0.1448,0.491,57.43,52.47,4.960000000000001,81.22,81.42,-0.20000000000000284,8.67,12.251,33.415,30.234,5.254,10.039,12.251999999999999,9.793,-4.793000000000001,43.609,0.0,0.06312292358803993,72.49,62.34,41680.55,0.37,0.021,0.3912,0.301,1.2729,1.2402,13.7,0.09854014598540158,13.4275,0.12083410910444986,-27.21
