,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1476,儒鴻,20190319,433.0,,,0.05889145496535797,-0.13048498845265588,1154412.0,-3.1100000000000003,1.7850000000000001,-4.8950000000000005,34.16,30.93,34.76,35.45,0.356,19.9,18.72,0.1497,0.5468,0.8744,0.8007,91.51,87.29,78.79,65.6,9.159,16.792,18.026,12.548,41.199,13.190000000000012,4.219999999999999,20.339,16.791999999999998,425.0,0.29499999999999993,20.82,-13.845,20.971,47.247,0.03799999999999998,8.64,7.1399999999999935,7.679999999999996,-3.960000000000001,0.018823529411764704
1477,聚陽,20190114,188.5,,,0.20954907161803712,-0.010610079575596816,748105.0,18.73,17.84,0.8900000000000006,46.42,38.24,40.54,31.44,0.311,10.37,29.84,0.2032,0.494,0.3843,0.4666,87.46,84.95,81.0,70.91,1.784,12.247,25.836,53.609,62.6,10.090000000000003,2.509999999999991,11.573,12.248000000000001,184.5,-6.978000000000001,14.385,41.664,-4.452000000000002,68.10300000000001,0.067,6.099999999999994,4.109999999999999,18.380000000000003,-0.3500000000000014,0.02168021680216802
1515,力山,20190124,85.0,,,0.10705882352941169,-0.13176470588235298,1339412.0,76.75,0.9399999999999995,75.81,44.37,49.59,46.75,51.08,0.509,26.81,65.39,0.341,0.8884,0.7102,1.2916,83.93,72.97,80.09,77.48,17.923,18.976,56.318,72.327,94.776,2.6099999999999994,10.960000000000008,21.439,18.976,77.7,22.095,-6.263999999999999,46.834999999999994,48.93,-99.627,-0.02300000000000002,8.510000000000005,2.0400000000000063,-11.060000000000002,-9.079999999999998,0.09395109395109391
1532,勤美,20190320,40.45,,,0.0037082818294190004,-0.2509270704573548,115693.0,-0.8500000000000001,29.13,-29.98,18.5,19.96,20.88,20.8,0.207,5.24,26.42,0.1714,-0.2119,0.1595,0.4588,82.8,75.25,64.89,58.76,1.23,3.22,-4.235,31.683,50.676,6.130000000000003,7.549999999999997,5.937,3.22,39.5,-0.976,10.718,16.570999999999998,-38.067,69.302,0.04799999999999999,16.009999999999998,3.9099999999999966,-2.59,-5.32,0.024050632911392478
1795,美時,20190212,97.5,,,0.41025641025641024,-0.046153846153846156,1520046.0,5.345,12.719999999999999,-7.374999999999999,53.99,55.07,54.55,57.12,0.565,28.41,43.18,0.3814,2.6669,1.1796,1.1601,90.53,82.8,80.5,73.18,14.034,29.22,62.177,47.92,133.946,7.319999999999993,7.730000000000004,32.687,29.22,95.5,11.184000000000001,39.509,0.3960000000000008,64.64,176.511,0.2849999999999999,6.8700000000000045,3.660000000000011,5.140000000000001,1.3999999999999986,0.020942408376963352
1808,潤隆,20190408,69.8,,,0.0,-0.1260744985673352,91160.0,-77.27,28.36,-105.63,20.55,18.18,17.62,23.02,0.23,14.02,21.57,0.1528,0.023,0.4959,0.6328,49.34,54.89,93.68,90.43,-0.613,3.138,12.744,13.315,46.468,3.25,-5.549999999999997,8.594,3.137999999999999,66.7,2.375,-6.422000000000001,-12.663000000000002,11.425,38.81400000000001,-0.01999999999999999,0.1700000000000017,1.3900000000000006,2.900000000000002,3.1799999999999997,0.046476761619190315
2207,和泰車,20190409,407.5,,,0.2883435582822086,-0.001226993865030675,446721.0,-10.459999999999999,-1.01,-9.45,37.86,37.5,35.35,29.36,0.293,29.38,51.15,0.1651,1.2965,1.4597,1.1729,87.77,79.94,96.94,95.71,6.449,14.282,45.106,57.512,44.45,1.230000000000004,7.829999999999998,20.236,14.281,403.5,4.965999999999999,1.8689999999999998,64.218,35.175000000000004,69.077,0.06599999999999998,1.1799999999999926,0.5599999999999881,0.07000000000000028,9.379999999999999,0.009913258983890954
2345,智邦,20190326,126.0,,,0.3888888888888889,-0.07539682539682539,1433282.0,10.445,22.33,-11.884999999999998,36.69,39.16,37.25,50.12,0.505,14.72,29.1,0.1129,0.4385,0.3288,0.7887,77.85,77.88,74.95,70.21,3.417,10.424,17.328,41.909,35.613,4.740000000000009,-0.030000000000001137,12.037,10.424000000000001,123.5,-4.855,12.838,46.842999999999996,-3.6030000000000015,-8.725999999999999,0.07700000000000001,5.0,2.9499999999999886,-5.580000000000005,-3.5800000000000054,0.020242914979757085
2379,瑞昱,20190116,153.5,,,0.5960912052117264,-0.02280130293159609,497990.0,12.315000000000001,6.65,5.665000000000001,30.73,35.95,39.66,38.61,0.386,14.21,25.43,0.2081,0.7682,1.3225,1.2411,89.12,77.14,84.7,77.7,5.967,5.968,41.723,44.793,45.609,7.0,11.980000000000004,5.862,5.968,151.0,2.804,-6.182,39.01,38.287,48.616,0.131,9.88000000000001,4.25,-11.429999999999996,-11.919999999999995,0.016556291390728478
2458,義隆,20190308,86.9,,,0.10586881472957409,-0.19792865362485618,331932.0,11.74,23.66,-11.92,46.62,41.96,43.14,39.01,0.386,4.95,28.02,0.1807,0.8261,0.8324,1.0211,31.14,40.49,73.19,78.94,-3.726,-3.702,9.979,28.478,55.646,-5.75,-9.350000000000001,-0.586,-3.702,82.2,-5.607,-15.027,5.628,-6.991,46.768,0.09100000000000003,-7.680000000000007,-2.8700000000000045,12.82,2.789999999999999,0.05717761557177619
