,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
1201_20130912,20130912.0,59.6,0.0083892617449664,-0.2298657718120805,,13.015,11.725,1.290000000000001,25.71,30.15,30.43,26.54,0.264,5.51,32.98,0.1792,1.6669,1.1198,0.9534,40.9
1310_20130912,20130912.0,18.8,0.3351063829787234,-0.0904255319148935,,10.235,36.27,-26.035,41.81,45.46,43.72,44.64,0.445,6.5,60.29,0.2781,1.901,0.8355,1.1075,16.25
1312_20131008,20131008.0,24.55,0.0468431771894093,-0.2749490835030549,,4.625,29.255,-24.63,38.02,34.84,37.93,27.32,0.271,23.2,51.99,0.18,0.8943,1.0166,0.7947,24.0
1319_20130912,20130912.0,45.45,0.111111111111111,-0.0913091309130914,,10.485,16.145,-5.66,31.23,33.73,32.55,27.54,0.274,15.5,51.11,0.1703,0.9759,0.9118,0.9408,44.3
1323_20130912,20130912.0,44.25,0.1073446327683615,-0.1322033898305085,,13.15,6.215,6.934999999999999,61.59,59.38,53.04,34.94,0.346,25.89,79.26,0.2954,1.4881,0.4484,0.7969,27.6
1440_20131008,20131008.0,23.8,0.0,-0.1428571428571429,,5.84,0.82,5.02,48.45,36.76,31.46,25.01,0.248,40.25,55.15,0.1636,0.7757,0.5744,0.7671,23.7
1463_20131126,20131126.0,21.25,0.0211764705882352,-0.3505882352941176,,30.695,48.965,-18.270000000000003,49.54,40.85,35.17,31.89,0.314,33.3,55.71,0.2704,0.0467,0.1352,0.8007,14.2
1476_20130912,20130912.0,262.0,0.5534351145038168,-0.0286259541984732,,25.175,77.53999999999999,-52.365,39.51,45.24,52.44,40.85,0.407,7.88,73.31,0.4893,0.3978,0.449,0.6717,107.5
1504_20130912,20130912.0,31.95,0.1048513302034428,-0.029733959311424,,22.67,23.02,-0.3499999999999978,30.14,37.03,37.11,28.22,0.281,4.01,29.01,0.1649,2.3049,1.605,1.1538,22.8
1507_20130912,20130912.0,79.5,0.1949685534591195,-0.0427672955974843,,4.94,53.885,-48.945,33.42,30.78,36.91,30.18,0.3,15.18,31.56,0.1418,1.287,1.0922,0.7294,62.7
1527_20130912,20130912.0,34.4,0.0450581395348838,-0.1584302325581395,,41.8,6.609999999999999,35.19,56.82,50.25,49.0,34.31,0.34,14.9,56.99,0.214,0.2455,0.6394,0.5752,29.3
1532_20130912,20130912.0,42.45,0.0954063604240282,-0.1319199057714959,,23.665,25.695,-2.030000000000001,34.42,33.2,40.84,36.49,0.365,1.73,25.17,0.2228,0.1965,0.7334,1.0664,35.5
1533_20131003,20131003.0,42.45,0.1731448763250881,-0.1872791519434629,,12.39,14.259999999999998,-1.8699999999999972,63.8,61.26,58.56,36.34,0.358,66.03,118.4,0.319,0.15,0.8721,0.8672,33.15
1536_20130912,20130912.0,45.2,0.2986725663716814,-0.0508849557522124,,7.6,-13.005,20.605,47.63,57.48,50.9,37.68,0.373,24.12,89.02,0.344,0.4726,0.7899,0.8663,19.75
1537_20130912,20130912.0,82.5,0.1757575757575757,-0.103030303030303,,-3.885,-14.985,11.1,28.7,31.47,32.83,25.23,0.252,7.57,29.53,0.1764,0.7217,0.2164,0.5662,67.1
1558_20130912,20130912.0,143.5,0.2857142857142857,-0.0278745644599303,,15.81,6.32,9.49,26.74,30.61,32.36,23.31,0.232,1.89,27.92,0.1511,0.9871,1.0521,0.6734,127.5
1560_20131121,20131121.0,79.8,0.2907268170426065,-0.0889724310776941,,3.835,9.13,-5.295000000000001,50.54,45.41,43.99,31.5,0.311,18.73,50.21,0.2453,3.5206,1.6884,1.1373,78.9
1565_20130912,20130912.0,834.0,0.0947242206235011,-0.065947242206235,,27.67,38.395,-10.725,34.61,35.82,39.79,32.02,0.317,2.67,45.31,0.2941,1.6201,1.4213,1.1953,460.0
1702_20131002,20131002.0,46.45,0.4230355220667382,-0.0968783638320775,,12.76,18.23,-5.470000000000001,37.91,35.26,37.28,26.67,0.265,14.04,44.22,0.1428,1.295,0.5161,0.8234,46.1
1707_20130912,20130912.0,137.5,0.149090909090909,-0.0836363636363636,,21.595,27.49,-5.895,43.58,47.71,47.97,37.44,0.371,6.85,47.34,0.3198,1.247,0.9188,0.791,83.3
1720_20130912,20130912.0,47.8,0.1255230125523012,-0.1213389121338911,,9.635,6.695,2.9399999999999995,54.66,44.7,41.23,30.84,0.307,26.6,62.05,0.261,1.7783,0.901,0.6635,33.8
1734_20130912,20130912.0,55.7,0.0269299820466786,-0.1490125673249552,,50.08,8.524999999999999,41.555,40.18,39.51,38.7,37.14,0.369,27.86,53.83,0.2878,0.4403,0.7634,0.8837,35.9
1781_20131004,20131004.0,53.0,0.0132075471698113,-0.3877358490566037,,8.24,2.9499999999999997,5.290000000000001,48.7,43.84,43.0,47.38,0.471,14.15,15.35,0.2138,2.8368,1.8708,1.1427,51.8
1789_20130912,20130912.0,88.9,0.1417322834645668,-0.062992125984252,,0.6949999999999998,45.095,-44.4,31.82,38.7,35.2,28.75,0.286,14.46,32.22,0.1587,0.1987,1.067,0.8245,72.0
1795_20130924,20130924.0,61.8,1.4110032362459548,-0.046925566343042,,-7.41,16.04,-23.45,44.69,41.34,43.8,52.06,0.516,14.21,49.43,0.3464,0.5552,1.4997,1.5678,60.4
1909_20131205,20131205.0,14.75,0.1491525423728813,-0.1084745762711864,,16.43,19.055,-2.625,27.85,26.46,24.78,20.09,0.198,20.35,44.89,0.2438,0.0221,0.6848,0.3394,13.65
2059_20130912,20130912.0,269.0,0.483271375464684,-0.053903345724907,,5.24,7.98,-2.74,26.77,33.45,36.59,29.34,0.293,7.29,28.24,0.1705,-1.0591,0.5576,0.5206,188.5
2062_20130912,20130912.0,79.5,0.1509433962264151,-0.0477987421383647,,22.625,19.39,3.2349999999999994,43.08,47.36,50.34,36.64,0.361,10.31,86.85,0.4159,1.7332,0.7404,0.738,46.2
2207_20130912,20130912.0,337.0,0.14540059347181,-0.0504451038575667,,-0.1999999999999993,-4.89,4.69,48.88,49.57,52.27,39.14,0.389,4.18,32.91,0.1609,3.1898,2.1645,1.5865,261.0
2233_20130912,20130912.0,133.0,0.2142857142857142,-0.1842105263157894,,52.295,39.44,12.855000000000004,45.06,53.78,51.79,45.47,0.452,29.61,79.33,0.2778,0.8036,1.5406,1.3733,104.5
2301_20130912,20130912.0,52.6,0.0,-0.1768060836501901,,1.63,-7.27,8.899999999999999,24.21,25.64,26.04,24.3,0.242,6.28,21.52,0.1517,1.2838,0.8169,0.6193,41.7
2331_20131003,20131003.0,13.15,0.8136882129277567,-0.026615969581749,,7.479999999999999,-8.55,16.03,26.49,24.96,24.7,34.17,0.339,7.63,23.84,0.1168,-0.0066,0.5699,0.9655,13.0
2355_20130912,20130912.0,52.5,0.1085714285714286,-0.1266666666666666,,2.42,2.3,0.1200000000000001,44.09,51.75,45.38,32.54,0.324,3.14,38.96,0.13,1.0757,0.9555,0.8727,38.75
2356_20130912,20130912.0,27.0,0.1981481481481482,-0.1907407407407406,,25.450000000000003,-0.575,26.025,58.77,63.14,59.45,38.85,0.386,28.33,98.96,0.3863,1.7186,0.9085,1.0861,17.45
2376_20131206,20131206.0,37.6,0.3909574468085105,-0.0425531914893617,,15.195,-0.4049999999999998,15.6,31.61,25.8,22.75,17.32,0.173,17.62,37.86,0.1912,1.3064,0.6651,0.4185,33.5
2377_20130912,20130912.0,19.55,0.5728900255754475,-0.040920716112532,,1.3550000000000004,-5.955,7.31,25.43,23.39,23.71,20.68,0.206,16.69,37.73,0.1148,0.6248,0.5701,0.7782,18.45
2395_20130912,20130912.0,167.0,0.2544910179640718,-0.0149700598802395,,8.74,4.68,4.0600000000000005,24.3,32.9,37.56,33.58,0.336,10.54,29.35,0.1853,-0.133,1.028,0.7643,123.0
2436_20130924,20130924.0,27.0,0.4055555555555556,-0.1759259259259259,,-6.565,-9.555,2.99,59.51,52.28,49.1,40.63,0.403,36.92,85.63,0.2798,0.3386,1.4192,1.5481,26.45
2439_20130912,20130912.0,84.0,1.3035714285714286,-0.0285714285714286,,78.965,28.68,50.285,48.7,44.18,49.63,39.43,0.392,23.09,74.3,0.2808,1.2391,1.1605,1.1674,59.5
2449_20130912,20130912.0,22.2,0.1621621621621622,-0.1644144144144143,,-2.84,4.285,-7.125,22.77,31.1,32.63,28.42,0.284,2.68,17.46,0.1331,-0.1923,0.4165,0.5055,19.55
2501_20130912,20130912.0,21.25,0.0705882352941176,-0.1623529411764705,,346.125,176.08,170.045,49.29,51.54,50.93,35.81,0.356,-1.95,25.6,0.1655,2.8459,1.7492,1.471,20.2
2912_20130912,20130912.0,210.0,0.0333333333333333,-0.1142857142857142,,3.42,8.52,-5.1,23.54,32.5,29.45,22.62,0.226,2.08,22.53,0.1128,0.8213,0.5145,0.5503,195.0
2913_20131015,20131015.0,24.5,0.2183673469387755,-0.0795918367346938,,0.1899999999999995,11.599999999999998,-11.409999999999998,37.04,30.02,25.72,25.06,0.249,24.98,39.7,0.1341,-0.2802,0.2772,0.9956,23.8
3008_20130924,20130924.0,1035.0,0.3961352657004831,-0.0579710144927536,,67.555,83.925,-16.36999999999999,46.22,46.74,45.05,41.94,0.418,1.9,23.52,0.165,2.9782,1.724,1.4615,1005.0
3023_20130912,20130912.0,35.1,0.2606837606837606,-0.0455840455840456,,11.365,13.46,-2.0950000000000006,37.75,33.59,28.06,18.8,0.186,21.74,33.73,0.1265,1.6506,0.669,0.5765,27.45
3056_20131025,20131025.0,34.6,0.0968208092485549,-0.1878612716763005,,4696.08,4998.545,-302.46500000000015,24.88,24.28,25.43,27.31,0.272,3.88,28.74,0.1491,0.3269,0.5008,0.7274,34.25
