,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
3057_20131018,20131018.0,32.9,0.7477203647416414,-0.0638297872340424,,21.81,29.39,-7.580000000000002,49.31,49.29,50.42,39.35,0.391,28.74,89.77,0.3308,2.6289,1.3656,1.0086,32.7
3060_20130912,20130912.0,148.0,0.2567567567567567,-0.304054054054054,,7.624999999999999,-17.990000000000002,25.615,70.03,54.01,46.02,31.89,0.317,45.61,69.69,0.223,1.3687,0.4846,0.596,96.2
3088_20131210,20131210.0,51.9,0.4778420038535646,-0.0414258188824662,,32.715,45.685,-12.97,35.47,38.08,35.81,31.66,0.313,21.65,48.81,0.2387,0.9639,0.9367,0.9522,43.2
3089_20130924,20130924.0,40.5,0.5530864197530864,-0.1283950617283951,,-4.105,1.0149999999999997,-5.12,36.92,51.47,47.67,44.55,0.442,29.99,100.03,0.5243,0.9293,0.1523,0.3605,16.55
3152_20131205,20131205.0,166.0,0.0090361445783132,-0.1596385542168674,,15.21,30.22,-15.01,33.57,37.12,39.19,28.59,0.283,18.14,63.14,0.2429,0.6175,0.8856,0.7753,162.0
3176_20130918,20130918.0,199.0,0.3844221105527638,-0.0954773869346733,,-0.8000000000000007,-58.515,57.715,51.17,41.49,40.23,53.84,0.536,8.65,16.22,0.3542,2.365,1.1478,1.4305,198.5
3229_20131025,20131025.0,44.4,0.3648648648648649,-0.1463963963963964,,-2.76,-24.43,21.67,63.85,73.68,67.35,49.99,0.494,35.04,184.5,0.7213,0.3495,0.9831,0.6906,15.7
3257_20130912,20130912.0,52.6,0.8117870722433459,-0.005703422053232,,14.49,17.34,-2.85,47.9,51.71,46.21,38.68,0.384,6.78,51.77,0.2057,1.748,1.3327,1.2795,36.65
3260_20130912,20130912.0,76.8,0.2174479166666667,-0.1302083333333333,,17.6,54.285,-36.685,31.17,44.41,47.26,42.02,0.417,17.29,68.08,0.3101,0.8809,1.2596,1.1821,60.8
3356_20130912,20130912.0,159.5,0.335423197492163,-0.018808777429467,,22.59,20.425,2.164999999999999,27.34,40.94,36.58,23.2,0.23,10.29,37.39,0.1668,0.056,0.9155,0.6762,151.0
3454_20130912,20130912.0,153.0,0.4052287581699346,-0.0359477124183006,,-1.6349999999999998,35.185,-36.82,33.29,41.05,39.05,32.29,0.321,8.46,39.63,0.1902,0.6345,0.9184,0.8629,121.0
3498_20130912,20130912.0,83.2,0.923076923076923,-0.1850961538461539,,239.9,165.06,74.83999999999997,43.58,42.18,43.04,51.89,0.514,-1.95,57.49,0.6298,1.9453,1.5735,1.2401,33.55
3551_20131101,20131101.0,66.7,0.1994002998500749,-0.1169415292353823,,27.765,18.02,9.745,36.93,33.86,32.68,28.99,0.286,22.06,51.7,0.1995,1.1279,1.0527,0.9414,49.2
3563_20130918,20130918.0,77.6,0.0,-0.2048969072164947,,74.0,85.87,-11.870000000000005,22.24,30.99,35.48,31.46,0.312,4.02,49.88,0.2262,0.8601,0.8135,0.9587,62.9
3611_20130912,20130912.0,161.0,0.8850931677018633,-0.015527950310559,,14.38,6.8100000000000005,7.57,32.86,40.65,45.19,31.58,0.314,2.09,42.67,0.2007,0.3043,1.3767,0.966,132.5
3665_20130912,20130912.0,125.5,0.545816733067729,-0.1354581673306772,,21.27,23.405,-2.1350000000000016,67.48,75.14,68.63,45.0,0.447,19.71,134.19,0.5434,1.2795,1.1989,1.1418,37.0
4107_20130912,20130912.0,55.7,0.3034111310592458,-0.0107719928186714,,10.05,29.33,-19.28,50.51,44.65,41.57,34.55,0.344,17.48,49.12,0.1915,2.1063,1.191,1.2441,49.1
4114_20130923,20130923.0,41.8,0.145933014354067,-0.1184210526315788,,18.275,27.46,-9.185000000000002,32.63,35.73,34.5,36.35,0.362,9.81,19.03,0.1225,1.6353,1.2007,1.1849,41.6
4120_20130912,20130912.0,102.5,0.0146341463414634,-0.2263414634146341,,-6.8,4.69,-11.489999999999998,48.85,51.93,49.89,42.7,0.423,12.42,62.03,0.3177,1.7867,1.463,1.5646,55.4
4123_20130917,20130917.0,58.2,0.3281786941580755,0.0,,3.844999999999999,-11.945,15.79,38.73,31.95,34.77,37.69,0.374,19.43,37.57,0.1808,1.4632,1.0013,1.1351,51.7
4401_20130912,20130912.0,85.9,0.6530849825378345,-0.0570430733410943,,18.06,48.370000000000005,-30.31000000000001,22.98,37.16,49.04,40.34,0.399,0.44,80.24,0.4768,1.1005,1.3812,1.1023,40.65
4510_20131204,20131204.0,20.6,0.4805825242718445,-0.0728155339805825,,48.455,99.05,-50.595,38.91,40.06,47.93,35.01,0.346,4.24,54.8,0.276,1.0384,1.203,0.8741,16.7
4736_20130912,20130912.0,80.3,0.1556662515566625,-0.1033623910336238,,-5.155,17.71,-22.865,43.76,40.38,43.45,35.78,0.355,13.13,53.89,0.1764,2.478,1.4245,1.1297,76.3
4934_20131016,20131016.0,19.4,0.5850515463917527,0.0,,37.22,26.94,10.28,46.0,44.66,44.44,46.3,0.46,29.5,44.57,0.2416,0.0139,0.4244,1.0713,18.5
5007_20130912,20130912.0,69.0,0.2884057971014493,-0.0550724637681159,,29.595,12.58,17.015,40.45,41.9,43.72,27.64,0.273,4.77,43.31,0.2347,0.9612,0.8378,0.5422,53.1
5324_20130912,20130912.0,58.6,0.0170648464163822,-0.3498293515358361,,195.56,37.585,157.975,37.2,37.56,48.6,42.23,0.419,1.6,33.83,0.2025,1.7191,1.7734,1.0703,51.0
5347_20130912,20130912.0,35.35,0.3903818953323902,-0.1202263083451202,,17.27,14.42,2.85,33.55,49.68,48.75,43.25,0.43,8.71,35.92,0.2824,1.8243,2.2398,1.4865,21.55
5490_20131004,20131004.0,41.2,0.4975728155339805,-0.0922330097087379,,37.38,39.905,-2.5249999999999986,40.89,47.65,49.17,32.17,0.319,5.27,43.78,0.1758,1.0164,1.0842,0.5239,40.8
5534_20130912,20130912.0,100.5,0.0746268656716417,-0.1850746268656715,,-75.775,9.045,-84.82000000000001,26.04,32.49,28.9,27.22,0.271,-6.65,11.52,0.1154,0.9749,0.5069,0.7161,96.0
5871_20130912,20130912.0,74.0,0.1418918918918918,-0.058108108108108,,40.73,32.275000000000006,8.454999999999998,36.62,36.69,49.64,37.96,0.379,14.17,15.52,0.1667,1.8364,2.1878,1.3091,69.3
5904_20130912,20130912.0,154.0,0.3506493506493506,-0.0519480519480519,,11.09,17.42,-6.330000000000002,42.42,46.45,46.7,33.47,0.331,9.11,54.65,0.3516,0.8775,1.2258,0.691,77.8
6143_20130912,20130912.0,80.5,0.0124223602484472,-0.217391304347826,,55.145,106.955,-51.81000000000001,29.36,30.49,32.87,38.47,0.382,4.58,40.41,0.2986,1.0274,1.3328,1.2254,74.9
6147_20130912,20130912.0,66.7,0.0014992503748125,-0.3440779610194903,,5.41,16.345,-10.935,33.97,51.62,50.66,37.55,0.376,-0.6,9.41,0.1271,0.7128,1.8297,1.118,60.0
6202_20131210,20131210.0,48.75,0.4687179487179486,-0.0615384615384615,,11.055,1.435,9.62,23.08,29.88,29.0,22.21,0.22,9.11,32.59,0.1875,0.3913,0.4716,0.5218,45.95
6206_20130912,20130912.0,100.5,0.3233830845771144,-0.0457711442786069,,9.715,16.505,-6.789999999999999,33.5,49.53,48.43,30.36,0.303,3.67,37.05,0.1848,2.1494,2.004,1.1281,93.5
6214_20130912,20130912.0,49.4,0.5060728744939272,-0.0111336032388663,,4.955,15.515,-10.56,61.87,52.48,44.39,28.86,0.284,21.88,42.57,0.2017,1.315,0.6367,0.5055,47.45
6245_20130912,20130912.0,48.65,0.3052415210688592,-0.0770811921891058,,20.05,30.625,-10.575,42.29,40.5,37.81,31.27,0.311,12.9,43.93,0.1542,1.5863,1.1744,1.1449,41.0
6271_20131106,20131106.0,164.5,0.1428571428571428,-0.1398176291793313,,9.045,14.15,-5.105,20.47,22.81,24.56,30.43,0.302,4.21,24.5,0.1726,-0.2575,-0.1257,0.6623,164.0
6274_20130912,20130912.0,23.2,0.2672413793103448,-0.1293103448275862,,-2.775,-1.905,-0.8700000000000001,38.05,35.43,37.78,29.16,0.291,7.67,33.32,0.1245,1.4516,1.3767,1.064,17.5
6277_20131202,20131202.0,85.2,0.232394366197183,0.0,,13.12,14.09,-0.9699999999999988,22.67,24.56,28.23,23.62,0.234,14.65,56.75,0.2601,0.8529,0.6765,0.7103,83.9
6279_20130912,20130912.0,93.5,0.0802139037433155,-0.0994652406417112,,9.41,11.35,-1.9400000000000013,41.82,49.2,46.99,31.96,0.316,16.19,57.33,0.2377,1.1191,1.7927,0.9286,85.0
6282_20130912,20130912.0,32.35,0.1669242658423492,-0.1854714064914992,,-0.93,2.815,-3.745,59.21,46.27,41.0,31.72,0.316,16.82,37.23,0.1891,2.1256,0.703,0.8824,25.7
6283_20130912,20130912.0,17.45,0.0171919770773639,-0.4097421203438395,,-1.235,55.335,-56.57,36.99,40.67,48.31,47.77,0.475,-1.06,17.29,0.2403,0.5816,0.345,0.4064,13.35
6605_20130912,20130912.0,104.0,0.2692307692307692,-0.0711538461538462,,13.635,11.6,2.035,40.52,39.01,35.38,23.62,0.235,12.01,36.8,0.1719,1.6524,0.8832,0.6917,78.5
8044_20131209,20131209.0,240.5,0.1309771309771309,-0.1496881496881497,,12.93,8.6,4.33,43.73,39.65,38.77,41.49,0.411,25.94,48.54,0.1915,-0.1656,0.8991,0.9044,240.0
8076_20130912,20130912.0,79.8,1.18671679197995,0.0,,14.32,-5.585,19.905,58.58,48.29,41.74,32.45,0.322,24.86,66.64,0.2893,0.1681,0.275,0.5686,63.8
8080_20130912,20130912.0,24.4,0.7479508196721312,-0.1762295081967212,,-45.145,-35.22,-9.924999999999995,55.11,61.2,54.37,59.97,0.597,1.19,16.52,0.4148,1.5662,0.5744,0.89,20.9
8916_20130914,20130914.0,42.0,0.2833333333333333,-0.0654761904761904,,15.985,27.74,-11.755,49.54,51.8,48.56,31.2,0.308,33.56,79.16,0.265,1.7954,1.1923,0.6353,28.25
8996_20130912,20130912.0,75.5,0.137748344370861,-0.3178807947019867,,20.175,33.33,-13.154999999999998,39.81,49.72,46.25,37.41,0.371,9.65,47.47,0.2995,1.162,1.4848,1.0114,52.5
