,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue
2313_20151007,20151007.0,22.9,0.0393013100436682,-0.2030567685589519,,36.85,26.49,10.360000000000005,39.33,46.07,46.0,35.09,0.35,3.86,21.02,0.1461,0.1265,1.0327,1.1353,34.07,45.53,80.53,81.28,-8.701,-9.386,28.161,26.559,32.23,-0.75,-11.46,-3.017,-9.426,21.75,-8.85,-28.359,19.709000000000003,26.085,6.837999999999997,0.0219999999999999,-3.0600000000000023,0.7000000000000028
2316_20151007,20151007.0,27.5,0.2054545454545454,-0.1236363636363635,,-12.235,-7.045,-5.19,34.6,42.57,46.72,38.49,0.384,12.59,41.34,0.3266,0.3808,0.8562,0.9114,84.76,83.11,66.78,53.07,6.345,14.121,16.578,60.38,106.807,13.71,1.6500000000000057,20.49,14.081,17.95,5.167,7.679,23.827000000000005,-20.696,98.684,0.099,16.32,9.36
2404_20151210,20151210.0,44.85,0.2017837235228539,-0.0880713489409142,,50.45,132.525,-82.075,47.36,38.64,35.7,25.06,0.249,14.64,36.6,0.2395,1.1828,0.7178,0.7226,52.07,53.78,80.97,81.78,7.297,26.685,38.193,53.134,72.149,-0.8100000000000023,-1.7100000000000009,22.928,26.684,41.95,8.116999999999999,30.807,42.388,24.738,95.035,0.0169999999999999,-0.2100000000000079,-0.2800000000000011
2474_20151007,20151007.0,354.0,0.0282485875706214,-0.384180790960452,,38.93000000000001,44.41,-5.47999999999999,38.52,49.71,50.53,39.96,0.398,4.35,15.09,0.1527,1.5378,1.3937,1.4038,79.6,77.99,74.88,61.45,-2.982,6.211,2.24,11.712,35.013,13.429999999999993,1.6099999999999994,12.58,6.171,312.5,-5.917,-0.4459999999999997,-6.0390000000000015,-14.421,-35.553000000000004,0.059,8.649999999999991,7.270000000000003
2485_20151029,20151029.0,41.2,0.6262135922330095,-0.0242718446601941,,42.75,51.58,-8.829999999999998,36.84,38.33,44.81,34.94,0.349,14.73,24.57,0.1711,-0.8082,0.7824,0.8404,64.02,57.57,80.33,75.2,6.475,6.503,15.578,50.217,48.409,5.129999999999996,6.449999999999996,11.898,6.494,40.7,8.529,-8.025,57.242,-14.473,58.31,0.0469999999999999,0.5100000000000051,1.9500000000000028
2731_20151007,20151007.0,157.0,0.0,-0.3891719745222929,,12.56,24.86,-12.3,33.85,61.61,56.81,42.21,0.42,-2.18,23.48,0.2287,-0.3989,0.9169,0.8849,23.4,30.06,66.87,60.98,-10.692,-7.363,-2.691,48.797,64.601,5.890000000000008,-6.66,-0.993,-7.402,133.0,-8.113,-18.088,37.437,-56.482,57.703,0.1039999999999999,-2.280000000000001,2.949999999999996
3023_20151007,20151007.0,56.9,0.195079086115993,-0.0333919156414762,,7.0,1.99,5.01,30.45,39.09,45.44,32.88,0.329,13.11,22.54,0.2152,0.6637,1.2943,1.0182,55.07,50.05,82.36,72.85,-2.577,-1.126,14.319,24.341,56.337,9.510000000000003,5.020000000000003,5.243,-1.1659999999999997,50.5,-6.271,-26.449,-2.3669999999999973,8.054000000000002,38.581,0.073,3.7099999999999937,5.019999999999996
3324_20151203,20151203.0,42.8,1.1378504672897198,-0.1016355140186914,,25.505000000000003,39.935,-14.43,75.9,61.91,54.63,44.05,0.433,70.23,106.57,0.4452,1.6096,0.9346,0.8495,89.8,85.37,87.51,84.8,21.61,55.27,137.023,139.92,160.541,2.710000000000008,4.429999999999993,52.319,55.268,34.8,-3.2070000000000007,46.614,148.81799999999998,124.281,190.548,0.062,1.1600000000000108,1.0
3552_20151007,20151007.0,249.5,1.25250501002004,-0.0661322645290581,,31.495,28.41,3.0849999999999973,64.24,58.72,67.8,50.81,0.503,33.15,74.63,0.4935,1.5166,1.3812,1.4052,79.28,73.96,87.88,81.01,4.384,30.046,42.219,96.284,146.818,6.86999999999999,5.320000000000007,36.415,30.006,139.5,-6.058999999999999,11.241,69.72800000000001,4.087000000000003,132.476,0.069,2.589999999999989,3.390000000000001
3583_20151211,20151211.0,82.7,0.0024183796856106,-0.1983071342200726,,20.875,14.845,6.029999999999999,35.15,34.28,31.41,24.65,0.246,12.58,29.99,0.1244,0.5982,0.2975,0.3355,50.84,55.82,82.6,83.6,3.619,11.435,39.657,55.79,44.27,-1.0,-4.979999999999997,7.88,11.434,72.0,4.868,-8.834999999999999,65.304,24.819,39.956,-0.008,-2.200000000000003,-0.5
3611_20151222,20151222.0,335.0,0.0597014925373134,-0.2313432835820895,,16.155,3.055,13.1,48.05,52.62,46.06,36.32,0.361,16.7,35.03,0.2178,1.3254,1.3467,0.9884,61.44,57.51,78.83,76.84,4.332,2.968,46.634,46.096,55.997,1.9899999999999949,3.93,0.927,2.966,324.5,3.334,-30.978,40.044,41.284,47.339,-0.07,6.659999999999997,3.180000000000007
3617_20151118,20151118.0,120.0,0.0958333333333333,-0.2541666666666666,,27.82,20.675,7.145,72.71,55.77,52.35,35.22,0.347,56.61,86.47,0.3459,1.7093,1.0071,0.8244,70.78,53.44,87.73,82.74,28.954,65.896,90.93,122.529,116.929,4.990000000000009,17.340000000000003,62.822,65.892,85.0,35.567,55.945,128.21099999999998,67.93400000000001,114.166,0.0919999999999999,9.100000000000009,3.489999999999995
4119_20151105,20151105.0,81.8,0.4242053789731052,-0.1075794621026894,,26.075,60.055,-33.980000000000004,24.49,23.88,39.33,30.62,0.308,7.81,20.16,0.1587,0.9218,0.762,0.8544,71.49,63.94,77.89,62.46,-0.345,3.167,2.809,35.071,43.942,15.43,7.549999999999997,9.128,3.159,81.6,-1.033,1.5889999999999995,30.064,-31.872,58.15,0.1059999999999999,11.22,8.43
4938_20151007,20151007.0,80.6,0.1079404466501241,-0.1848635235732009,,9.925,0.33,9.595,29.3,41.42,42.02,34.53,0.344,-5.65,3.35,0.205,0.9884,1.2688,1.1487,32.21,32.3,52.38,54.87,-3.838,-7.234,-1.499,8.13,53.689,-2.489999999999995,-0.0899999999999963,-0.865,-7.274,75.3,0.8769999999999998,-11.084,-46.014,-9.025,20.324,0.0539999999999999,-1.7299999999999969,-0.490000000000002
6146_20151007,20151007.0,197.5,0.1392405063291139,-0.1746835443037974,,6.95,10.85,-3.900000000000001,27.83,28.13,41.67,33.47,0.333,4.19,15.89,0.1588,0.2208,0.6699,0.6059,67.87,62.2,69.58,59.46,-1.482,4.396,0.298,32.483,40.906,10.119999999999996,5.670000000000002,10.765,4.356000000000001,178.0,-0.084,6.321,28.081,-20.066000000000003,-22.054,-0.0929999999999999,9.75,6.770000000000003
6217_20151007,20151007.0,49.9,0.1643286573146293,-0.2154308617234469,,13.635,22.225,-8.590000000000002,43.24,51.71,50.35,43.03,0.431,11.36,16.51,0.2201,1.4885,1.0501,1.0538,49.78,43.68,71.01,59.25,4.973,11.531,5.874,19.185,42.473,11.760000000000003,6.100000000000001,17.9,11.491,48.6,11.216,6.3500000000000005,-2.8100000000000023,-13.408,-0.3629999999999995,0.0269999999999999,9.860000000000008,6.020000000000003
8044_20151007,20151007.0,386.5,0.0219922380336351,-0.2496765847347994,,11.945,16.485,-4.539999999999999,36.9,70.24,64.41,49.6,0.498,-0.55,5.73,0.2364,1.254,1.4949,1.1925,61.04,54.26,61.3,53.99,-2.515,-0.714,-5.737,18.254,47.488,7.309999999999995,6.780000000000001,5.655,-0.7539999999999996,377.0,0.0389999999999997,6.978,-12.671,-32.363,-33.203,0.0509999999999999,3.0,3.390000000000001
8048_20151008,20151008.0,47.65,0.2214060860440714,-0.1741867785939139,,98.105,119.18,-21.075000000000003,60.56,62.58,78.79,53.18,0.531,-1.53,23.07,0.2912,1.6399,1.831,1.3507,70.04,58.63,37.57,29.66,4.479,-2.083,-5.05,46.441,53.159,7.91,11.410000000000004,3.472,-2.123,47.0,4.43,2.53,47.424,-80.679,-4.823,0.08,15.9,5.5
8299_20151103,20151103.0,264.0,0.0890151515151515,-0.1609848484848484,,22.975,4.73,18.245,45.86,42.21,43.2,35.03,0.349,15.88,12.07,0.1474,1.6414,1.1341,1.1648,78.53,64.9,79.5,67.31,12.017,12.759,12.133,7.362,35.306,12.189999999999998,13.629999999999995,17.673,12.749999999999998,259.0,9.717,17.222,-16.991999999999997,15.599,38.914,0.0579999999999999,10.180000000000009,6.340000000000003
8383_20151007,20151007.0,66.2,0.0,-0.3625377643504531,,18.235,18.71,-0.4750000000000014,54.23,63.56,74.69,49.28,0.491,39.85,76.07,0.3808,0.4214,1.1893,1.1093,87.84,85.25,88.83,75.0,13.747,42.061,54.526,90.533,114.627,13.829999999999998,2.5900000000000034,48.431,42.022,44.9,4.2780000000000005,16.97,74.81,11.176000000000002,62.832,0.0859999999999999,6.459999999999994,7.200000000000003
8942_20151013,20151013.0,97.0,0.0463917525773195,-0.1536082474226804,,57.59,38.255,19.335000000000008,27.33,29.92,33.12,31.77,0.318,15.53,12.63,0.152,0.8154,0.7581,0.8653,88.46,76.9,86.33,73.0,5.23,4.622,17.949,13.534,23.658,13.329999999999998,11.559999999999988,7.778,4.585999999999999,95.4,2.0960000000000005,-10.789,-2.528999999999998,24.46,-4.728999999999999,-0.013,8.25,7.140000000000001
