,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue
1338_20151119,20151119.0,140.5,0.0284697508896797,-0.1637010676156583,,1.395,-4.535,5.93,53.62,48.24,54.34,40.38,0.403,31.19,39.32,0.2072,1.3705,1.3632,1.2066,69.58,58.46,88.17,84.35,7.23,20.753,64.694,35.014,60.396,3.820000000000008,11.119999999999996,18.966,20.75,135.0,3.236,4.145,17.224000000000004,76.507,64.926,0.027,1.9300000000000068,1.4099999999999966
1476_20151007,20151007.0,505.0,0.0079207920792079,-0.2069306930693069,,25.5,41.81,-16.310000000000002,41.83,51.96,55.33,42.95,0.428,4.31,30.28,0.3022,0.3885,0.9569,1.0243,29.48,32.83,71.05,74.24,-6.723,-9.995,18.822,35.886,99.848,-3.1899999999999977,-3.349999999999998,-3.626,-10.035,407.0,-6.872,-29.301,-17.602999999999994,-2.969000000000001,111.493,-0.073,-7.090000000000003,-1.5900000000000034
1477_20151007,20151007.0,278.5,0.0,-0.3159784560143626,,19.01,12.865,6.144999999999998,21.83,46.36,41.23,32.44,0.323,4.46,32.33,0.2891,0.463,0.7986,0.7187,57.44,51.03,60.13,63.88,-2.174,-7.448,16.882,40.968,91.479,-3.75,6.409999999999997,-1.079,-7.487999999999999,189.0,-4.014,-26.196,3.5500000000000043,-6.913,104.576,0.064,-2.25,-2.210000000000001
1522_20151125,20151125.0,23.25,0.2451612903225806,-0.0924731182795698,,-22.405,-15.745,-6.660000000000002,53.49,41.98,45.77,35.99,0.359,4.27,15.19,0.1781,1.4684,1.1935,1.0152,42.27,51.98,69.97,78.62,-2.923,2.657,39.919,39.52,38.235,-8.650000000000006,-9.709999999999994,-0.659,2.656,22.8,-7.621,-3.826,40.008,27.467,32.859,0.0279999999999999,-6.019999999999996,-3.4200000000000017
1527_20151007,20151007.0,61.7,0.2317666126418151,-0.0875202593192869,,6.19,12.385,-6.195,55.74,52.1,47.5,34.17,0.339,46.21,49.66,0.2381,0.8357,1.0344,0.93,89.76,81.23,89.95,80.4,19.489,33.08,67.107,41.625,65.754,9.549999999999995,8.530000000000001,39.45,33.041000000000004,49.7,13.998,5.389999999999997,16.105,85.032,41.324000000000005,0.046,3.280000000000001,4.730000000000004
1536_20151007,20151007.0,114.0,0.3508771929824561,-0.0789473684210526,,28.375,28.835,-0.4600000000000008,53.41,55.65,59.47,43.31,0.43,13.7,52.03,0.3447,0.8355,1.4276,1.2322,70.29,67.29,75.36,70.42,2.829,5.074,19.052,81.675,94.589,4.939999999999998,3.0,11.443,5.034,62.5,-2.32,-17.705,68.726,-18.224000000000004,78.17099999999999,0.0869999999999999,5.379999999999996,4.070000000000007
1537_20151007,20151007.0,142.0,0.0352112676056338,-0.1584507042253521,,3.065,3.26,-0.1949999999999998,23.71,38.19,44.42,36.01,0.361,12.8,22.28,0.1621,0.8423,1.0776,0.8748,71.7,66.59,80.27,66.64,5.762,7.324,7.378,22.091,40.95,13.629999999999995,5.109999999999999,13.693,7.284,115.0,6.407,-4.043000000000001,13.777,-11.701,18.208,0.0819999999999999,7.959999999999994,8.32
1539_20151007,20151007.0,36.8,0.1005434782608696,-0.3043478260869564,,1.69,7.83,-6.140000000000001,64.99,61.4,70.85,55.74,0.555,6.33,43.05,0.3259,1.0198,0.8359,0.8797,42.5,35.47,54.28,53.5,1.872,0.594,10.389,84.745,93.841,0.7800000000000011,7.030000000000001,6.963,0.5540000000000003,25.7,6.332,-34.912,74.742,-65.929,86.05399999999999,0.113,2.4200000000000017,0.9500000000000028
1702_20151007,20151007.0,72.9,0.0041152263374485,-0.2153635116598079,,4.24,-0.8399999999999999,5.08,18.96,34.68,34.91,31.96,0.321,2.3,19.29,0.1357,0.4114,0.9933,0.8652,87.68,82.34,57.76,61.92,-0.576,-5.538,21.03,20.613,35.526,-4.160000000000004,5.340000000000003,0.831,-5.577999999999999,72.1,-0.3009999999999999,-11.81,6.334999999999999,21.397,20.885000000000005,-0.015,5.710000000000001,0.0200000000000031
2231_20151007,20151007.0,437.5,0.0,-0.1862857142857142,,26.635,25.78,0.8549999999999969,32.62,44.5,47.74,38.25,0.384,21.76,25.45,0.1421,0.4512,1.1475,1.1939,89.44,82.42,91.37,79.56,10.094,12.517,25.454,24.505,25.244,11.810000000000002,7.019999999999996,18.886,12.477,424.0,7.818,-3.8560000000000016,24.416,22.598,-294.6,-0.0859999999999999,7.75,7.1200000000000045
