,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1210,大成,20201214,47.0,,,0.3382978723404255,-0.02021276595744687,109797.0,9.030000000000001,2.63,6.400000000000001,14.24,12.67,15.46,24.0,0.24,2.37,10.88,0.0119,0.1087,0.4932,0.6765,29.1,29.37,69.11,73.74,0.753,-7.709,-5.422,-9.589,-1.761,-4.6299999999999955,-0.2699999999999996,-0.644,-7.711,45.8,5.182,-9.674,-17.155,1.2810000000000006,-17.364,0.07299999999999998,-4.420000000000002,-0.730000000000004,3.290000000000001,-10.65,0.02620087336244548
1229,聯華,20201214,41.45,,,0.27864897466827493,-0.024125452352231604,38699.0,10.355,-13.635000000000002,23.990000000000002,10.23,13.25,14.11,25.19,0.251,2.01,15.1,0.0846,0.0566,0.5395,0.7359,35.19,31.74,68.05,61.64,0.804,-8.609,-8.657,-5.83,19.495,6.409999999999997,3.4499999999999993,-1.544,-8.611,41.1,4.572,-11.077,-26.36,-12.104,10.734000000000002,0.11000000000000001,2.009999999999991,3.200000000000003,-5.279999999999999,-5.25,0.008515815085158186
1304,台聚,20201214,21.1,,,1.0284360189573456,-0.09241706161137453,273408.0,7.095,-9.675,16.77,35.81,35.61,40.71,38.1,0.379,13.07,52.85,0.1173,0.2311,0.6577,1.0682,45.05,45.79,82.86,82.54,0.32,0.208,18.745,57.929,33.931,0.3199999999999932,-0.740000000000002,7.273,0.20599999999999952,17.0,0.44,-15.734,70.48400000000001,-12.291,36.812999999999995,0.215,-2.180000000000007,-0.6499999999999915,-0.25,-15.230000000000004,0.24117647058823538
1308,亞聚,20201214,20.0,,,0.8324999999999999,-0.05250000000000003,41777.0,-10.41,-19.33,8.919999999999998,18.01,20.12,33.66,30.66,0.304,4.15,19.93,0.086,-0.4235,0.4455,0.7119,48.43,41.28,58.89,53.71,2.657,-7.065,-6.62,-8.047,13.805,5.18,7.149999999999999,0.0,-7.067,19.35,7.575,-13.385000000000002,-31.447,-3.688,15.119,0.12,4.149999999999999,2.780000000000001,-3.9499999999999993,-28.249999999999996,0.033591731266149796
1309,台達化,20201214,32.8,,,0.6737804878048782,-0.07621951219512185,318565.0,8.17,-6.199999999999999,14.37,41.59,49.97,56.28,53.23,0.525,4.76,87.73,0.426,-0.1498,0.8969,1.012,38.25,43.86,57.05,61.86,-0.904,-3.539,-0.891,108.636,191.835,-4.810000000000002,-5.609999999999999,3.526,-3.5410000000000004,18.15,2.8320000000000003,-6.603,69.304,-115.876,203.871,0.275,-8.299999999999997,-3.700000000000003,-16.619999999999997,-20.439999999999998,0.8071625344352616
1325,恆大,20201214,92.3,,,0.2946912242686891,-0.1690140845070422,326921.0,604.925,711.175,-106.25,54.04,59.68,62.78,80.22,0.793,-25.31,-10.79,0.8507,0.8276,-0.1736,-0.1619,15.27,17.47,7.3,13.74,-4.188,-32.393,-48.732,-76.036,469.75,-6.44,-2.1999999999999993,-25.328,-32.394999999999996,19.9,10.123999999999999,-27.865000000000002,-1160.267,-11.753,495.223,0.735,-2.5200000000000005,-3.4099999999999984,-10.229999999999997,-1.8699999999999974,3.63819095477387
1336,台翰,20201221,23.5,,,0.23617021276595748,-0.10638297872340426,97920.0,-11.1,-8.83,-2.2699999999999996,23.76,41.38,40.59,34.28,0.341,15.77,42.94,0.1664,0.1362,0.9491,0.6972,73.09,66.56,75.12,69.25,5.868,2.218,6.161,28.561,42.52,5.8700000000000045,6.530000000000001,7.092,2.0589999999999993,20.2,3.1270000000000002,-7.351000000000001,18.817999999999998,-10.302000000000001,60.92400000000001,0.203,8.219999999999999,4.239999999999995,-30.289999999999996,-6.769999999999996,0.1633663366336634
1409,新纖,20201225,14.85,,,0.7777777777777777,-0.14141414141414138,1433526.0,-6.08,-11.719999999999999,5.639999999999999,38.77,29.3,26.85,33.67,0.335,20.68,28.62,0.0433,0.4211,0.4044,0.8023,73.42,64.15,80.7,76.85,15.154,14.282,15.716,9.497,3.828,3.8500000000000085,9.269999999999996,18.595,14.123999999999999,14.45,13.847,13.734,13.828,20.977,19.454,0.16100000000000003,2.9000000000000057,1.9299999999999926,23.650000000000006,8.27,0.027681660899654004
1414,東和,20201214,14.45,,,0.7301038062283738,-0.15916955017301032,37920.0,25.26,11.97,13.290000000000001,54.31,73.24,66.86,43.83,0.432,13.46,74.74,0.2411,-0.4859,1.1108,0.8687,18.4,14.02,61.29,69.77,1.399,-16.42,56.532,95.957,85.253,-8.479999999999997,4.379999999999999,-9.355,-16.422,8.88,15.611,-71.261,97.17399999999999,38.803,103.613,0.311,-5.690000000000005,-4.3500000000000085,-29.129999999999995,24.46999999999999,0.627252252252252
1440,南紡,20201217,15.65,,,1.255591054313099,-0.16932907348242812,437775.0,-13.68,-24.15,10.469999999999999,29.04,40.17,38.21,43.62,0.432,12.68,38.57,0.087,0.3505,1.2727,1.0675,52.89,40.95,73.42,70.3,4.463,-2.858,10.199,10.342,26.883,3.1200000000000045,11.939999999999998,2.041,-3.0180000000000002,15.35,6.412,-15.739,-22.669000000000004,17.439,63.625,0.298,4.920000000000002,1.9699999999999989,-15.189999999999998,-5.159999999999997,0.019543973941368125
