,120天最高價,120天最低價,120天最高價預測
1218_20160829,0.1538461538461538,-0.0608974358974358,0.23856176217729502
1301_20160414,0.0073260073260072,-0.0842490842490843,0.19633779636573162
1305_20160810,0.5892351274787537,-0.0396600566572237,0.2274640402387172
1326_20160414,0.0247058823529411,-0.088235294117647,0.3859937510900878
1463_20161202,0.4433962264150944,-0.0825471698113207,0.11101783281688538
1467_20160105,0.0108108108108107,-0.3324324324324325,0.4011397996904246
1474_20161020,0.0,-0.262962962962963,0.16224982132878243
1522_20160218,0.3213610586011343,-0.0945179584120983,0.1418595004804659
1525_20160308,0.4084507042253521,-0.1173708920187793,0.4631896390530777
1532_20160704,0.0285714285714286,-0.2964285714285714,0.17945392316813297
1604_20160819,0.1815561959654177,-0.0518731988472623,0.3987426665446015
1731_20160314,0.0,-0.2485380116959065,0.4359297677108817
2316_20160308,0.0391849529780564,-0.3699059561128526,0.1120346194892807
2328_20160825,0.2495201535508635,-0.145873320537428,0.930726921445826
2330_20160314,0.1396825396825396,-0.092063492063492,0.295344679303498
2421_20160302,0.1466395112016292,-0.1914460285132382,0.09488370590629613
2481_20160307,0.1885714285714286,-0.1257142857142856,0.3216822495496131
3008_20160808,0.1609632446134347,-0.1863117870722433,0.029507837103171425
3044_20161007,0.1657824933687002,-0.0994694960212201,0.3418211154893772
3522_20160629,1.3929961089494165,-0.0291828793774319,0.4530303847857387
3580_20161026,0.4016260162601626,-0.2943089430894309,0.47780186721119805
3679_20160803,0.2981651376146789,-0.0657492354740061,0.335623856523184
4108_20160314,0.1018099547511312,-0.3495475113122172,0.6105249342282812
4129_20160628,0.0176017601760175,-0.3729372937293729,0.13314713421016025
4534_20160419,0.8108651911468812,-0.1488933601609659,1.2228413700617353
4728_20160314,0.1393939393939393,-0.311111111111111,-0.012250993153645936
4903_20160823,1.4219409282700424,-0.1223628691983121,0.35428651761543745
4904_20160711,0.0,-0.1404151404151404,-0.036654386320619604
4971_20160217,0.0492957746478873,-0.3450704225352112,0.04439831221366954
5201_20161013,1.068273092369478,-0.2690763052208835,0.5776562372370753
5469_20161121,0.2478386167146972,-0.0922190201729107,0.4703727751629199
6158_20160105,0.1346153846153846,-0.4182692307692308,0.5710179541048801
6173_20160310,0.2907801418439716,-0.1631205673758864,-0.06312488620905947
6191_20161201,0.1568627450980392,-0.1607843137254902,0.23146371622815237
6220_20160802,2.3634085213032576,-0.087719298245614,0.1400376216308267
6237_20160310,0.0,-0.4132530120481927,0.0847558304168672
6283_20161128,1.6573146292585168,-0.1242484969939878,0.3059433622475448
6505_20160224,0.1893491124260355,-0.0201183431952663,0.1742983457017465
8069_20160823,0.2397408207343413,-0.0907127429805614,0.036599413633533404
8070_20160728,0.3644444444444444,-0.0488888888888888,0.23006012949329385
8114_20161011,0.0048076923076923,-0.2139423076923076,0.15067079720213317
8432_20160226,0.2836322869955157,-0.1143497757847533,0.39863816798384893
