,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
1582_20141212,20141212.0,63.7,0.1334379905808477,-0.1067503924646782,,28.295,13.88,14.415,26.27,31.94,31.2,27.72,0.277,4.08,9.72,0.1123,1.1881,1.2576,0.8831,57.6
1589_20141212,20141212.0,136.5,0.7875457875457875,-0.0329670329670329,,9.42,9.08,0.3399999999999998,37.64,47.25,42.98,46.52,0.463,2.39,3.92,0.1531,0.8153,1.6553,1.4986,112.0
2383_20141212,20141212.0,40.75,0.41840490797546,-0.0257668711656441,,29.885,11.81,18.075,28.62,31.36,30.22,22.66,0.226,11.0,34.12,0.1975,1.1039,1.2949,0.9192,31.7
2474_20141212,20141212.0,256.5,0.5243664717348928,-0.0799220272904483,,19.075,41.605,-22.53,26.32,36.86,38.29,35.54,0.355,-3.77,1.83,0.0934,0.414,1.7046,1.6521,237.0
2809_20141212,20141212.0,33.25,0.037593984962406,-0.1518796992481203,,7.125,-13.215,20.34,12.52,16.3,18.55,17.01,0.17,1.1,13.33,0.1079,0.6707,0.8477,0.5782,29.1
3008_20141212,20141212.0,2345.0,0.5245202558635395,-0.0234541577825159,,81.59,69.505,12.085000000000008,38.62,48.25,48.84,42.22,0.42,4.4,22.75,0.2963,1.3814,1.5915,1.4502,1250.0
3023_20141212,20141212.0,45.25,0.4917127071823204,-0.0198895027624309,,7.525,2.995,4.53,27.7,26.66,26.77,25.79,0.256,11.74,9.13,0.1099,0.6564,0.9853,0.8174,42.05
3048_20141212,20141212.0,28.4,0.1091549295774648,-0.0669014084507041,,106.99,71.845,35.14500000000001,30.79,36.2,38.55,36.59,0.362,2.43,37.43,0.3483,1.1298,1.1921,0.8486,15.0
3234_20141212,20141212.0,35.0,1.5571428571428572,-0.0228571428571427,,13.41,30.35,-16.94,42.86,43.93,44.97,37.11,0.368,24.76,43.02,0.2137,0.6909,1.3629,1.1228,31.2
3285_20141212,20141212.0,36.7,0.6212534059945503,-0.1716621253405995,,9.12,21.8,-12.679999999999998,42.41,47.27,56.94,44.84,0.444,22.14,78.76,0.3268,1.759,1.3205,1.2132,26.55
3450_20141212,20141212.0,108.5,0.8110599078341014,-0.0552995391705069,,6.42,9.75,-3.33,36.51,41.25,42.62,43.92,0.439,9.36,1.77,0.1185,1.2319,1.9281,1.7469,82.8
3552_20141212,20141212.0,123.0,0.5772357723577236,-0.0975609756097561,,14.07,8.435,5.635,35.94,42.1,42.13,44.4,0.443,17.79,15.55,0.0994,1.2021,1.4451,1.5845,99.8
4107_20141212,20141212.0,70.3,0.6500711237553344,-0.0839260312944522,,21.82,21.59,0.2300000000000004,19.6,29.06,28.9,34.55,0.344,2.39,3.24,0.0654,0.9065,1.0723,1.2061,66.9
4130_20141212,20141212.0,72.1,0.0291262135922331,-0.4029126213592233,,13.345,21.685,-8.340000000000002,47.63,52.45,50.24,47.34,0.469,12.62,42.66,0.2276,2.5543,1.763,1.4362,52.6
5347_20141212,20141212.0,47.0,0.2425531914893616,-0.0446808510638298,,14.86,12.43,2.43,19.9,26.25,32.56,38.87,0.388,1.54,9.68,0.1232,0.7495,0.5311,1.0285,38.6
5388_20141212,20141212.0,68.5,0.072992700729927,-0.0978102189781022,,30.045,25.275,4.770000000000003,15.38,26.82,27.01,34.05,0.338,3.17,6.71,0.1626,0.6005,1.0709,1.0318,54.6
5478_20141212,20141212.0,97.4,0.1396303901437371,-0.3182751540041068,,19.405,22.495,-3.0899999999999963,36.89,41.39,42.01,47.67,0.474,15.65,4.0,0.1747,1.2079,1.5404,1.6528,81.7
5490_20141216,20141216.0,56.3,0.9182948490230908,-0.0319715808170514,,75.72999999999999,-20.14,95.87,32.79,41.72,42.59,41.79,0.417,3.02,15.67,0.1254,0.5512,1.1959,1.1547,56.0
6166_20141212,20141212.0,71.6,0.7248603351955308,0.0,,21.835,24.23,-2.395,20.53,30.07,33.47,35.22,0.35,-3.74,13.49,0.1414,1.2336,1.6328,1.0382,58.0
6220_20141225,20141225.0,18.4,0.0652173913043479,-0.3206521739130434,,29.11,9.794999999999998,19.315,36.76,34.6,35.67,36.15,0.358,17.85,35.48,0.2254,0.7673,0.3801,0.6536,15.6
8016_20141212,20141212.0,79.9,0.5143929912390487,-0.0312891113892365,,20.135,24.07,-3.9350000000000014,30.41,30.74,34.42,33.19,0.329,10.36,33.57,0.2359,1.3922,1.4747,0.9708,49.7
8044_20141212,20141212.0,363.0,0.4793388429752066,-0.0826446280991735,,20.645,22.44,-1.7949999999999982,54.86,48.29,47.56,46.91,0.466,12.2,35.46,0.1873,0.699,1.2104,1.4115,248.5
8086_20141226,20141226.0,38.25,2.38562091503268,0.0,,361.96,276.72,85.24000000000001,43.36,39.46,44.14,42.44,0.421,26.63,61.88,0.424,1.8546,1.3086,1.2703,36.5
8103_20141212,20141212.0,55.8,0.0304659498207885,-0.2392473118279569,,13.095,9.115,3.979999999999999,24.2,36.22,42.24,31.78,0.317,5.01,20.29,0.1622,0.3946,1.4076,1.0235,46.2
8213_20141212,20141212.0,50.0,0.1659999999999999,-0.16,,18.41,14.995,3.414999999999999,20.11,24.47,24.63,25.26,0.252,7.84,20.12,0.1628,0.6005,1.1849,1.0415,48.7
