股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1103,嘉泥,20191115,20.2,20.2,19.55,0.0332480818414321,0,3.3248081841432158,20191115,20.2,0.1311881188118813,-0.3787128712871286,15.65,11.77,33.69,0.2177,0.471,0.4439,0.4208,78.34,66.45,11.89,83.71,82.38,1.3299999999999983,5.729,5.268,17.87,30.07,48.457,8.992,5.258000000000001,7.308,3.0359999999999996,15.519,0.0,0.2252475247524752,87.77,83.11,39817.65,0.29,0.022,0.3527,0.2955,1.1049,1.0423,19.41,0.04070066975785673,19.0925,0.058007070839334714,-4.96
1476,儒鴻,20190319,433.0,433.0,416.5,0.0396158463385354,0,3.961584633853541,20190319,433.0,0.0588914549653579,-0.1524249422632794,425.0,19.9,18.72,0.1497,0.5468,0.8744,0.8007,91.51,87.29,4.219999999999999,78.79,65.6,13.190000000000012,9.159,16.792,18.026,12.548,41.199,20.339,16.791999999999998,0.29499999999999993,20.82,-13.845,0.0,0.018475750577367205,58.0,53.65,629756.4,14.804,7.273,15.2545,26.4199,19.0062,20.7014,410.0,0.05609756097560976,368.2,0.175991309071157,-3.1100000000000003
1507,永大,20190430,64.5,64.5,63.5,0.0157480314960629,0,1.574803149606299,20190430,64.5,0.0914728682170543,-0.0542635658914728,61.3,4.94,20.24,0.1032,-1.5659,-1.0826,0.1859,71.93,60.3,11.63000000000001,86.71,73.84,12.86999999999999,2.744,-2.289,-2.385,2.47,26.931,0.781,-2.2889999999999997,5.8100000000000005,-7.067,-19.093,0.0,0.049612403100775235,86.51,73.68,88823.0,0.267,-0.157,1.7877,1.1189,2.1704,2.1497,62.9,0.025437201907790166,63.825,0.010575793184488792,-23.165
1513,中興電,20191231,25.0,25.0,23.75,0.0526315789473684,0,5.263157894736842,20191231,25.0,0.204,-0.212,24.7,14.76,21.19,0.0863,-0.2279,0.0459,0.236,86.12,86.41,-0.28999999999999204,87.6,85.81,1.789999999999992,8.067,7.564,9.517,8.597,8.917,11.982,7.376999999999999,4.088,2.082,11.075,0.0,0.012000000000000028,70.47,61.25,40395.15,0.522,0.171,0.6086,0.7542,0.8496,0.6993,23.09,0.08271979211779992,22.025,0.1350737797956868,-5.92
1626,艾美特-KY,20190829,35.7,35.7,33.35,0.0704647676161919,0,7.046476761619195,20190829,35.7,0.0,-0.2675070028011205,34.35,22.45,66.0,0.2943,0.3662,0.4518,0.6835,81.5,73.11,8.39,84.4,81.94,2.460000000000008,13.973,17.411,40.107,63.546,97.831,13.523,16.56,8.601,0.708000000000002,39.161,0.0,0.03781512605042021,83.67,70.12,40394.0,1.263,0.439,0.7172,2.152,2.7646,2.8104,33.69,0.0596616206589494,30.6325,0.165428874561332,-14.915
1712,興農,20190603,21.25,21.25,20.75,0.0240963855421686,0,2.409638554216868,20190603,21.25,0.0235294117647058,-0.1435294117647059,18.6,13.47,23.11,0.1091,0.3627,0.0303,0.2334,78.28,78.8,-0.519999999999996,90.49,91.0,-0.5100000000000051,-0.412,16.659,22.188,22.618,34.773,11.286,16.65,-9.299000000000001,14.78,10.429999999999998,0.0,0.12470588235294111,82.8,69.66,40070.35,0.515,0.088,0.1631,0.7614,1.0564,1.1947,20.92,0.01577437858508596,19.885,0.06864470706562727,-3.5200000000000005
1722,台肥,20190520,49.0,49.0,47.25,0.037037037037037,0,3.7037037037037033,20190520,49.0,0.0551020408163265,-0.0877551020408162,48.6,5.93,11.15,0.1082,0.0897,0.1187,0.5027,82.33,81.3,1.0300000000000011,58.53,46.64,11.89,6.411,12.787,5.529,3.581,25.735,7.589,12.786000000000001,1.1899999999999995,18.121000000000002,-16.831,0.0,0.00816326530612242,66.54,59.68,132255.4,0.405,0.258,0.7761,0.8662,0.6359,1.0688,46.79,0.04723231459713616,45.5375,0.07603623387318141,-5.705
1808,潤隆,20190311,67.0,67.0,62.8,0.0668789808917198,0,6.68789808917198,20190311,67.0,0.0462686567164178,-0.0970149253731343,66.7,10.19,13.33,0.1781,0.3199,0.5061,0.6618,63.33,66.35,-3.019999999999996,79.39,74.5,4.890000000000001,4.758,6.932,8.147,15.8,56.526,9.391,6.932,7.248,4.626,-20.993999999999996,0.0,0.004477611940298465,62.64,58.43,76981.65,1.132,0.131,1.1089,1.8441,2.7162,2.4586,62.32,0.07509627727856226,60.475,0.10789582472095904,-68.13
1809,中釉,20190614,16.7,16.7,15.8,0.0569620253164556,0,5.69620253164556,20190614,16.7,0.0119760479041915,-0.3173652694610778,16.5,48.31,44.58,0.0812,-0.1444,0.1006,0.82,95.39,91.29,4.099999999999994,76.87,56.49,20.380000000000003,11.729,65.295,55.846,45.533,23.366,65.347,65.277,-9.938000000000002,66.45700000000001,56.656,0.0,0.011976047904191574,53.3,30.85,165055.2,1.283,0.342,0.7666,1.8558,1.6804,1.2362,15.63,0.06845809341010867,13.08,0.27675840978593264,-7.01
2207,和泰車,20190409,407.5,407.5,394.0,0.0342639593908629,0,3.4263959390862944,20190409,407.5,0.2883435582822086,-0.0331288343558282,403.5,29.38,51.15,0.1651,1.2965,1.4597,1.1729,87.77,79.94,7.829999999999998,96.94,95.71,1.230000000000004,6.449,14.282,45.106,57.512,44.45,20.236,14.281,4.965999999999999,1.8689999999999998,64.218,0.0,0.0098159509202454,84.47,63.42,528553.8,16.585,0.177,13.3955,14.4019,46.4196,54.5537,385.1,0.058166709945468645,370.9,0.09867888918846057,-10.459999999999999
