,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1533,車王電,20141212,63.4,,,0.06309148264984238,-0.3722397476340694,19458.0,2.26,10.78,-8.52,15.84,20.75,29.64,40.49,0.401,-1.78,13.03,0.2206,0.0255,1.0573,0.9781,36.26,46.79,35.92,31.81,-1.154,-0.246,-5.421,8.918,37.944,4.110000000000003,-10.530000000000001,0.969,-0.2460000000000001,46.95,-5.143,7.619999999999999,-26.840000000000003,-20.942,-122.76899999999999,0.0050000000000000044,4.900000000000002,2.049999999999997,-12.16,-15.420000000000002,0.3503727369542065
1582,信錦,20141212,63.7,,,0.1334379905808477,-0.10675039246467824,52498.0,28.295,13.88,14.415000000000001,26.27,31.94,31.2,27.72,0.277,4.08,9.72,0.1123,1.1881,1.2576,0.8831,83.91,79.66,53.82,38.32,6.045,5.15,-7.032,12.225,29.623,15.5,4.25,6.365,5.15,57.6,0.7199999999999998,15.051,-4.115,-28.246,31.951,0.10400000000000004,16.4,7.75,-15.000000000000004,4.130000000000003,0.1059027777777778
1589,永冠-KY,20141212,136.5,,,0.7875457875457875,-0.03296703296703297,71191.0,9.42,9.08,0.33999999999999986,37.64,47.25,42.98,46.52,0.463,2.39,3.92,0.1531,0.8153,1.6553,1.4986,49.11,65.68,60.32,47.43,-1.65,5.558,-3.177,-8.054,36.845,12.89,-16.570000000000007,6.773,5.558,112.0,-9.191,16.988999999999997,-58.440000000000005,1.9659999999999997,-156.212,0.11200000000000004,8.030000000000001,6.439999999999998,-19.380000000000003,17.65,0.21875
1590,亞德客-KY,20141212,282.0,,,0.014184397163120567,-0.24645390070921985,33616.0,14.515,4.140000000000001,10.375,31.76,56.73,51.91,42.11,0.418,10.27,-1.9,0.0456,1.5099,1.9295,1.1107,46.65,53.18,81.73,66.85,-0.87,8.309,3.781,-9.11,6.262,14.88000000000001,-6.530000000000001,9.524,8.309,270.0,-2.269,10.703,-27.485,16.469,-57.005,-0.010000000000000009,2.5400000000000063,7.439999999999998,-40.28999999999999,21.97,0.044444444444444446
1702,南僑,20141212,54.5,,,0.31559633027522943,0.0,85105.0,7.57,9.94,-2.369999999999999,27.48,43.5,41.61,34.84,0.348,2.67,-1.57,0.0751,0.4588,1.1799,1.0858,45.75,54.48,63.23,47.34,1.947,6.508,-9.277,-5.921,16.13,15.889999999999993,-8.729999999999997,7.723,6.508,52.6,2.888,18.727,-28.230999999999998,-13.085999999999999,-36.882000000000005,0.046999999999999986,10.25,7.950000000000003,-33.72,17.67,0.03612167300380225
1708,東鹼,20141212,38.6,,,0.25129533678756466,-0.015544041450777238,34670.0,7.275,11.229999999999999,-3.9549999999999983,20.1,28.56,29.74,26.72,0.265,3.95,11.06,0.0967,1.0678,1.3664,0.7423,63.59,68.6,65.27,48.59,0.016,3.455,-8.018,10.717,22.339,16.679999999999993,-5.009999999999991,4.67,3.455,37.5,-6.65,1.875,3.966,-28.886,30.293,0.137,7.439999999999998,8.340000000000003,-15.149999999999999,0.4599999999999973,0.02933333333333337
1711,永光,20141230,28.2,,,0.10638297872340426,-0.1560283687943262,309677.0,1.67,0.65,1.02,34.44,30.59,34.42,33.43,0.331,10.81,0.71,0.054,1.2774,1.597,1.4119,83.81,76.87,64.27,41.56,8.421,17.626,-7.822,-11.975,12.808,22.709999999999994,6.939999999999998,18.511,17.625999999999998,27.95,7.626999999999999,26.923000000000002,-42.01,-5.309,2.3499999999999996,0.055999999999999994,21.689999999999998,13.770000000000003,10.269999999999996,-2.7699999999999996,0.008944543828264758
1795,美時,20141212,113.5,,,0.0,-0.34801762114537443,786830.0,194.70499999999998,270.96500000000003,-76.26000000000005,56.91,65.2,60.49,55.13,0.551,14.8,-7.36,0.1137,3.0402,2.1486,1.9181,78.11,76.4,59.47,37.88,6.075,29.245,-7.438,-23.403,28.947,21.589999999999996,1.7099999999999937,30.46,29.245,96.6,-7.374,45.283,-103.38,10.198,-174.567,0.05800000000000005,19.060000000000002,10.800000000000004,-15.950000000000003,20.590000000000003,0.17494824016563154
2027,大成鋼,20141212,20.85,,,0.05995203836930455,-0.21342925659472434,39700.0,20.15,39.465,-19.315000000000005,31.7,34.02,32.7,28.43,0.282,8.38,22.19,0.1854,0.6756,1.1016,0.5749,55.69,64.03,64.92,49.21,-0.87,11.591,0.93,27.19,49.534,15.71,-8.340000000000003,12.807,11.592,18.0,-8.234,12.616,9.235000000000003,-25.645,53.365,0.12999999999999998,4.8700000000000045,7.850000000000001,-6.77,2.6800000000000033,0.1583333333333334
2034,允強,20141212,24.5,,,0.06734693877551015,-0.05102040816326531,41545.0,-5.835,11.79,-17.625,28.75,34.03,34.24,29.5,0.294,-0.37,-4.62,0.0938,0.9353,0.8086,0.784,21.42,41.25,49.96,38.57,-5.848,1.106,-13.821,-12.458,20.136,11.39,-19.83,2.321,1.106,23.75,-11.259,3.3100000000000005,-47.977,-15.475,1.1819999999999986,0.089,-1.6799999999999997,5.700000000000003,-11.689999999999998,5.470000000000002,0.031578947368421054
