,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue
4126_20160614,20160614.0,121.5,0.0,-0.3497942386831276,,39.5,30.995,8.505000000000003,45.22,39.01,36.57,36.46,0.362,18.42,53.76,0.313,0.9189,0.9417,0.8856,51.26,58.41,80.82,79.92,-0.478,11.723,35.184,52.118,110.985,0.8999999999999915,-7.149999999999999,18.209,11.684,102.0,1.213,-3.237,9.466,30.142,129.28,0.156,-3.490000000000009,-0.1700000000000017
4736_20160614,20160614.0,146.5,0.0511945392491467,-0.2901023890784983,,21.415,26.72,-5.305000000000003,39.81,41.66,39.71,41.55,0.414,9.84,43.43,0.2984,1.1784,0.9031,1.0114,17.25,27.65,74.48,80.81,-2.149,-8.521,34.533,32.948,102.371,-6.329999999999998,-10.4,-2.034,-8.559000000000001,139.0,6.104,-48.921,-29.745,39.443,139.584,0.0179999999999999,-7.349999999999994,-3.1599999999999966
4746_20160614,20160614.0,101.0,0.1435643564356435,-0.191089108910891,,91.34,41.595,49.745000000000005,38.03,33.54,36.72,39.55,0.395,17.88,45.91,0.2709,0.2705,0.9438,0.9038,74.7,76.29,85.57,78.07,1.604,14.871,23.322,37.893,86.59,7.5,-1.5900000000000034,21.358,14.833,87.2,-3.234,1.6560000000000006,-0.1180000000000021,10.327,114.941,0.09,2.6499999999999915,4.199999999999989
4919_20160831,20160831.0,42.0,0.2023809523809523,-0.1642857142857142,,9.08,16.355,-7.275,31.73,27.87,28.11,42.9,0.427,15.69,32.31,0.2536,0.8653,0.9056,1.0917,54.44,56.39,83.85,83.96,2.332,10.49,22.353,15.172,78.393,-0.1099999999999994,-1.9500000000000028,11.43,9.537,40.4,0.4339999999999999,-0.173,-23.568,29.379,94.33,0.0949999999999999,-3.200000000000003,0.3599999999999994
6139_20160822,20160822.0,29.1,0.3505154639175256,-0.1580756013745705,,-2.665,53.655,-56.32,54.49,44.14,38.95,51.65,0.511,15.87,29.33,0.2288,0.0941,0.8992,0.844,84.43,69.6,62.18,42.08,17.253,16.478,8.922,15.716,74.15,20.1,14.830000000000013,16.13,15.459,28.95,16.831,18.703000000000003,-26.774,8.365,93.911,0.347,23.03,12.2
6230_20160713,20160713.0,141.5,0.3886925795053003,-0.1802120141342756,,25.565,38.795,-13.23,43.25,44.08,52.59,57.47,0.574,18.01,37.36,0.3597,0.856,1.096,1.4005,71.65,62.74,84.65,70.17,8.129,7.651,6.469,-3.514,118.922,14.480000000000004,8.910000000000004,11.417,5.758,133.5,8.003,3.777,-96.959,15.239,124.825,0.2349999999999999,10.590000000000003,8.219999999999999
6274_20160614,20160614.0,34.3,0.274052478134111,-0.074344023323615,,15.06,6.035,9.025,31.38,31.37,34.08,39.88,0.402,16.1,31.63,0.2432,0.9411,0.8704,1.1685,36.73,54.46,80.64,81.32,0.903,10.094,25.068,17.334,68.518,-0.6799999999999926,-17.730000000000004,16.581,10.056,32.65,3.03,-1.4730000000000008,-27.198,39.447,86.278,0.121,-2.0799999999999983,0.1099999999999994
6409_20160805,20160805.0,535.0,0.005607476635514,-0.2355140186915887,,5.734999999999999,-1.97,7.704999999999999,23.04,26.6,28.16,37.64,0.374,12.4,13.9,0.1692,0.5186,0.1973,0.5764,64.78,62.82,82.23,64.45,3.526,10.217,-2.854,-10.456,41.715,17.78,1.9600000000000009,14.532,8.272,520.0,1.81,8.444,-61.807,3.95,-69.62899999999999,-0.013,7.200000000000003,8.89
8069_20160823,20160823.0,23.15,0.2397408207343413,-0.038876889848812,,-0.7850000000000001,9.165,-9.95,37.51,35.48,33.73,43.09,0.43,24.33,41.63,0.2211,0.5724,1.5441,1.29,84.35,78.98,86.29,82.48,13.905,23.364,42.609,32.144,80.111,3.8100000000000014,5.36999999999999,23.562,22.339,22.0,7.580999999999999,26.496,-12.603000000000002,44.835,101.452,0.062,3.3300000000000125,2.240000000000009
8432_20160614,20160614.0,94.3,0.2036055143160127,-0.2481442205726404,,-4.61,-10.41,5.8,47.36,47.43,58.18,51.42,0.509,-0.34,39.99,0.3691,1.3479,1.9449,1.187,23.39,39.84,41.32,38.67,-0.18,3.289,8.844,35.624,115.795,2.6499999999999986,-16.450000000000003,9.776,3.2509999999999994,84.5,6.821000000000001,11.388,-31.809000000000005,-12.973,152.346,0.247,2.369999999999997,1.5300000000000011
8433_20160622,20160622.0,157.0,0.1464968152866242,-0.1114649681528662,,8.08,17.195,-9.115,37.33,46.41,49.25,58.26,0.579,2.69,20.32,0.2817,1.4802,1.9013,1.2797,49.7,37.39,60.58,48.33,5.816,4.245,-7.137,9.287,72.448,12.25,12.310000000000002,11.439,4.174,154.0,8.971,12.885000000000002,-35.815,-30.844,-58.498000000000005,0.1789999999999999,11.449999999999996,6.359999999999999
