股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1101,台泥,20180419,39.2,39.2,38.0,0.0315789473684211,0,3.157894736842113,20180419,39.2,0.2066326530612243,-0.0573979591836734,38.9,4.56,11.69,0.0147,0.9378,1.0039,0.6604,80.09,75.4,4.689999999999998,76.94,67.54,9.399999999999991,2.217,4.547,4.513,13.595,-2.324,3.862,4.547000000000001,0.3410000000000002,6.101999999999999,28.068,0.0,0.007653061224489904,70.31,54.48,232975.5,0.242,0.087,0.3458,0.7386,0.7366,1.7354,38.33,0.02269762588051147,37.485,0.0457516339869282,-5.994999999999999
1216,統一,20180103,67.7,67.7,66.4,0.019578313253012,0,1.9578313253012003,20180103,67.7,0.1506646971935007,-0.0457902511078287,67.4,4.82,15.05,0.0804,0.2274,0.1502,0.57,81.47,67.06,14.409999999999997,80.97,70.9,10.069999999999993,0.525,3.079,3.294,10.833,14.847,4.977,3.0770000000000004,0.201,-0.40700000000000003,8.521,0.0,0.004431314623338215,86.4,76.89,432729.05,0.478,0.143,0.8352,0.8742,1.1354,2.429,66.42,0.01927130382414937,65.465,0.034140380355915365,-0.39
1229,聯華,20180103,37.9,37.9,36.35,0.0426409903713891,0,4.264099037138919,20180103,37.9,0.0778364116094987,-0.0633245382585751,36.9,16.48,43.85,0.2131,1.8152,1.0928,0.8259,84.07,74.44,9.629999999999995,92.09,86.7,5.390000000000001,7.012,13.3,26.399,41.46,74.04,15.198,13.298,7.276,8.259,23.419,0.0,0.026385224274406333,94.36,90.3,122092.6,0.595,0.128,1.1075,1.54,1.9896,2.4123,36.27,0.04494072236007707,34.48,0.09918793503480285,-2.38
1402,遠東新,20180502,28.65,28.65,28.15,0.0177619893428063,0,1.7761989342806397,20180502,28.65,0.3054101221640489,-0.038394415357766,28.5,9.14,13.77,0.0333,0.9295,0.9924,0.8324,85.24,76.92,8.319999999999993,86.89,79.36,7.530000000000001,4.59,11.014,13.1,11.573,9.897,8.539,11.014,0.8209999999999997,10.049,13.993,0.0,0.005235602094240789,82.77,68.82,147521.05,0.347,0.098,0.6573,0.5537,0.8405,0.7226,27.7,0.0342960288808664,27.0475,0.05924761992790458,-3.83
1417,嘉裕,20180611,6.78,6.78,6.0,0.13,0,13.000000000000004,20180611,6.78,0.075221238938053,-0.3820058997050147,5.99,35.7,39.68,0.1351,-1.42,-0.1657,0.2466,73.28,73.89,-0.6099999999999994,68.42,53.33,15.090000000000003,4.111,47.994,41.945,36.582,29.34,50.667,47.978,-23.296,48.907,42.147,0.0,0.11651917404129794,58.64,37.31,35392.65,0.623,0.078,0.2242,0.702,0.7157,0.5292,6.574,0.03133556434438704,5.826,0.16374871266735336,-30.18
1439,中和,20180403,31.35,31.35,29.5,0.0627118644067797,0,6.271186440677972,20180403,31.35,0.7384370015948962,-0.2248803827751196,27.4,34.12,46.32,0.1793,0.3047,0.4556,0.4828,81.71,76.22,5.489999999999995,83.11,74.5,8.61,10.844,35.492,49.332,50.616,43.318,36.645,35.492000000000004,-2.120000000000001,18.394999999999996,57.56,0.0,0.1259968102073366,70.56,54.92,37182.45,1.547,0.23,1.2423,2.0603,3.011,2.6724,29.11,0.07694950188938517,26.6225,0.17757535918865633,-16.44
1513,中興電,20180409,24.7,24.7,22.85,0.0809628008752734,0,8.096280087527342,20180409,24.7,0.0,-0.2024291497975708,24.2,15.6,19.56,0.0969,0.7643,0.6778,0.5041,75.88,64.53,11.349999999999994,69.22,50.47,18.75,11.367,21.432,9.859,7.991,18.089,21.696,21.432000000000002,4.195000000000001,26.186,-0.8570000000000011,0.0,0.020242914979757085,64.05,57.25,82704.85,0.475,0.285,0.9445,1.0441,0.9506,0.8428,22.6,0.09292035398230078,21.0775,0.17186573360218235,-6.114999999999999
1611,中電,20180112,11.1,11.1,10.15,0.0935960591133004,0,9.359605911330044,20180112,11.1,0.3198198198198199,-0.1576576576576576,11.0,8.72,20.79,0.1052,0.5227,1.0564,0.473,53.56,56.63,-3.0700000000000003,52.97,43.68,9.29,5.225,9.691,-0.64,33.303,18.532,13.91,9.689,8.354,12.871,46.982,0.0,0.009009009009008978,70.44,60.59,45663.45,0.172,0.054,0.14,0.3582,0.2872,0.7471,10.13,0.09575518262586365,9.73,0.1408016443987666,-10.705
1742,台蠟,20180425,24.6,24.6,22.9,0.0742358078602621,0,7.423580786026214,20180425,24.6,0.0995934959349593,-0.3577235772357723,16.0,54.6,48.59,0.1302,0.2214,0.7649,0.6035,90.59,84.34,6.25,84.35,70.19,14.159999999999997,50.402,74.461,61.531,46.42,33.474,72.028,74.46100000000001,41.833,81.206,59.367000000000004,0.0,0.34959349593495936,59.75,35.76,32217.85,1.779,0.851,2.1438,2.86,3.8158,3.0396,21.5,0.14418604651162797,17.2075,0.42960918204271403,-19.705
1815,富喬,20180103,24.65,24.65,23.55,0.0467091295116771,0,4.670912951167719,20180103,24.65,0.0425963488843813,-0.3793103448275861,24.2,38.89,53.34,0.1782,0.8912,1.0706,1.2727,87.57,86.38,1.1899999999999977,80.92,71.26,9.659999999999997,0.054,43.781,51.075,68.214,68.488,45.679,43.779,-32.104,40.625,71.698,0.0,0.01825557809330626,71.22,59.67,855008.25,1.779,0.501,0.4854,2.8705,2.293,1.8571,23.23,0.061127851915626266,19.2,0.28385416666666663,-7.01
