,120天最高價,120天最低價,120天最高價預測
1445_20150507,0.0657894736842105,-0.306140350877193,0.4159951188603816
1455_20150518,0.2936170212765956,-0.2851063829787233,0.2829129090519474
1457_20150423,0.4834123222748814,-0.1563981042654028,0.46531266422522594
1459_20150430,0.0161290322580645,-0.3096774193548388,0.18438939062019497
1702_20150803,0.0278884462151395,-0.2483399734395749,-0.18913655165170648
1905_20150409,0.036697247706422,-0.3220183486238532,0.49789503152023223
2331_20150114,0.166083916083916,-0.1923076923076923,0.12376882146611332
2375_20150422,0.0531914893617021,-0.4095744680851064,0.18202395738907626
2426_20150108,0.25,-0.1321428571428571,0.2215287074417744
2443_20150421,0.0365448504983388,-0.6837209302325582,0.06354163383330241
2451_20150306,0.0701754385964912,-0.4026315789473684,-0.12406675681917946
2483_20150106,0.0594795539033457,-0.3401486988847583,-0.1483382619783256
2841_20150309,0.1655844155844155,-0.4012987012987012,0.9132550597479868
2881_20150123,0.3269230769230769,-0.0384615384615384,0.10864928288927804
2886_20150423,0.0070671378091872,-0.2526501766784453,0.607522190306205
3078_20150113,0.2843373493975903,-0.1951807228915663,-0.16404964776656322
3191_20150427,0.0133843212237094,-0.4952198852772466,-0.046313475874274375
3227_20150128,0.3062098501070663,-0.265524625267666,0.026065095320786207
3450_20150515,0.3277027027027027,-0.3783783783783784,0.21636638033970518
3694_20150706,0.0370370370370369,-0.6127572016460905,-0.20229674323587368
4905_20150701,0.0,-0.468048359240069,0.2633350517458086
5015_20150330,0.0,-0.5662020905923345,0.008686868567792678
5211_20150407,0.059718969555035,-0.6018735362997658,0.5711632980033688
5269_20150629,0.1589958158995816,-0.5585774058577406,0.26763542813697083
5309_20150416,0.0498614958448752,-0.3739612188365651,0.23330937053947337
5469_20150114,0.0938511326860841,-0.3650485436893203,-0.29834167002024986
6158_20151230,0.2756756756756757,-0.3459459459459459,0.3182901225052604
6237_20150622,0.5187969924812029,-0.3665413533834586,0.29602007694169
6506_20150521,0.3298538622129437,-0.4029227557411273,-0.11090588133156153
6605_20150401,0.0424028268551236,-0.4226148409893993,0.17609598751746014
8105_20151103,0.5368098159509203,-0.1533742331288343,0.6662307808255805
8383_20150615,0.4711111111111111,-0.1544444444444445,-0.04498507872615226
8404_20150416,0.2486583184257602,-0.2629695885509838,0.077790450876941
8926_20150327,0.1192660550458715,-0.2697247706422019,-0.06874160575213936
