,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue
1515_20190124,20190124.0,85.0,0.1070588235294116,-0.1317647058823529,,76.75,0.9399999999999996,75.81,44.37,49.59,46.75,51.08,0.509,26.81,65.39,0.341,0.8884,0.7102,1.2916,83.93,72.97,80.09,77.48,17.923,18.976,56.318,72.327,94.776,2.6099999999999994,10.960000000000008,21.439,18.976,77.7,22.095,-6.263999999999999,46.835,48.93,-99.627,-0.023,8.510000000000005,2.0400000000000063
2207_20190409,20190409.0,407.5,0.2883435582822086,-0.0012269938650306,,-10.46,-1.01,-9.45,37.86,37.5,35.35,29.36,0.293,29.38,51.15,0.1651,1.2965,1.4597,1.1729,87.77,79.94,96.94,95.71,6.449,14.282,45.106,57.512,44.45,1.230000000000004,7.829999999999998,20.236,14.281,403.5,4.965999999999999,1.869,64.218,35.175000000000004,69.077,0.0659999999999999,1.1799999999999926,0.5599999999999881
2345_20190326,20190326.0,126.0,0.3888888888888889,-0.0753968253968253,,10.445,22.33,-11.884999999999998,36.69,39.16,37.25,50.12,0.505,14.72,29.1,0.1129,0.4385,0.3288,0.7887,77.85,77.88,74.95,70.21,3.417,10.424,17.328,41.909,35.613,4.740000000000009,-0.0300000000000011,12.037,10.424,123.5,-4.855,12.838,46.843,-3.6030000000000015,-8.725999999999999,0.077,5.0,2.9499999999999886
2458_20190308,20190308.0,86.9,0.105868814729574,-0.1979286536248561,,11.74,23.66,-11.92,46.62,41.96,43.14,39.01,0.386,4.95,28.02,0.1807,0.8261,0.8324,1.0211,31.14,40.49,73.19,78.94,-3.726,-3.702,9.979,28.478,55.646,-5.75,-9.35,-0.586,-3.702,82.2,-5.607,-15.027,5.628,-6.991,46.768,0.091,-7.680000000000007,-2.8700000000000045
3005_20190305,20190305.0,49.7,0.0603621730382293,-0.1730382293762575,,3.21,5.26,-2.05,28.84,28.02,26.01,26.75,0.268,15.62,19.38,0.1029,0.3354,0.8406,0.9194,80.44,72.62,90.28,87.83,5.531,3.937,22.046,26.52,26.44,2.450000000000003,7.819999999999993,7.692,3.937,49.0,4.577,-7.141,27.316,16.778,37.064,0.018,-0.5999999999999943,0.5799999999999983
3017_20190409,20190409.0,38.9,0.2275064267352185,-0.1696658097686375,,6.79,6.164999999999999,0.6250000000000009,45.56,50.92,46.94,36.82,0.366,20.14,34.55,0.1255,-0.3902,0.7333,1.2789,57.35,56.14,80.47,79.8,-0.1,5.157,29.193,37.778,31.255,0.6700000000000017,1.2100000000000009,11.111,5.156000000000001,38.3,-2.056,-21.068,41.343,21.643,24.821,0.0359999999999999,-0.5,0.5
3029_20190410,20190410.0,29.2,0.2380136986301369,-0.0633561643835615,,23.380000000000003,23.535,-0.1549999999999975,45.38,37.19,32.37,29.13,0.288,19.9,28.69,0.1249,0.3624,0.6377,0.9613,67.87,60.9,77.12,77.76,7.82,7.626,22.027,36.27,41.195,-0.6400000000000006,6.970000000000006,13.742,7.626000000000001,25.8,7.802,-5.761,31.450000000000003,10.211,40.608,-0.035,-1.5600000000000025,-0.3199999999999932
3034_20190212,20190212.0,162.5,0.3784615384615384,-0.0153846153846153,,40.335,22.86,17.475,29.56,31.56,36.46,36.91,0.369,14.97,18.96,0.1948,1.3098,1.4727,1.1375,85.11,78.9,85.02,72.58,0.233,8.339,21.135,9.324,43.35,12.439999999999998,6.209999999999994,11.806,8.338999999999999,161.5,-2.407,3.769,-18.504,27.082,39.6,0.148,5.140000000000001,6.219999999999999
3141_20190320,20190320.0,46.2,0.0238095238095236,-0.3658008658008658,,30.99,-4.129999999999999,35.12,31.33,28.83,35.62,41.78,0.418,20.99,28.93,0.1954,0.8354,1.6678,1.2287,78.98,71.04,79.64,67.0,6.684,9.538,27.042,29.63,39.844,12.64,7.939999999999998,12.255,9.538,45.8,0.4169999999999998,0.0549999999999997,21.21,23.018,57.444,0.0239999999999999,11.820000000000007,7.479999999999997
3217_20190319,20190319.0,56.6,0.0671378091872791,-0.1908127208480566,,14.239999999999998,10.305,3.934999999999999,53.73,43.4,43.11,39.03,0.385,46.1,52.83,0.2563,-2.7333,0.5973,0.9427,88.12,84.15,93.83,91.19,15.813,27.882,81.588,78.415,61.281,2.640000000000001,3.969999999999999,31.429,27.882,51.4,6.880000000000001,17.334000000000003,87.424,78.997,42.594,0.034,7.359999999999999,3.8299999999999983
3293_20190314,20190314.0,230.0,0.8369565217391305,-0.1195652173913043,,37.8,9.739999999999998,28.06,53.7,41.37,36.61,31.08,0.308,40.25,46.3,0.2273,1.5682,0.9106,0.8425,81.9,79.87,86.34,78.76,12.892,38.548,43.627,60.45,62.593,7.579999999999998,2.030000000000001,41.122,38.549,221.5,10.105,38.381,58.473000000000006,29.437000000000005,85.446,0.0429999999999999,5.920000000000002,4.150000000000006
3363_20190311,20190311.0,41.8,0.3133971291866029,-0.0346889952153109,,52.795,26.305,26.49,30.5,39.28,44.13,28.32,0.277,21.79,44.45,0.1595,0.1307,0.8045,0.3541,52.77,51.13,82.6,82.61,7.414,2.441,29.557,58.755,49.057,-0.0100000000000051,1.6400000000000006,4.901,2.442,41.5,10.396,-23.755000000000003,64.654,5.827999999999999,61.447,-0.0759999999999999,3.009999999999991,1.4099999999999966
3376_20190219,20190219.0,111.5,0.1659192825112107,-0.0762331838565022,,21.03,30.200000000000003,-9.170000000000002,37.82,31.04,29.35,31.4,0.313,22.25,24.36,0.1486,0.991,0.4395,0.8477,80.48,77.85,75.32,69.91,10.983,14.103,25.411,23.801,28.77,5.409999999999997,2.6300000000000097,18.539,14.102,104.5,7.362,9.357,23.076,25.183,33.469,0.093,-2.3500000000000085,1.1700000000000017
3454_20190213,20190213.0,127.0,0.0748031496062992,-0.1574803149606299,,35.205,-11.34,46.545,49.85,45.11,50.04,35.81,0.355,27.25,47.67,0.2045,0.7431,1.0871,0.9607,76.39,60.04,64.1,50.89,22.168,26.815,33.392,75.272,63.244,13.209999999999994,16.35,30.208,26.815,125.0,21.793,26.195,86.873,2.8160000000000025,60.519,0.0579999999999999,15.329999999999991,6.609999999999999
3455_20190318,20190318.0,82.0,0.0499999999999999,-0.1865853658536585,,48.06,-10.119999999999996,58.18,45.73,42.39,49.02,38.86,0.385,19.37,56.44,0.3256,1.2955,1.6506,1.0082,80.01,64.94,81.1,64.18,11.329,18.221,5.248,83.645,94.9,16.919999999999987,15.070000000000007,21.843,18.221,81.3,5.563000000000001,19.351,76.32,-64.323,116.792,0.081,15.419999999999987,10.45000000000001
3483_20190329,20190329.0,53.2,0.2048872180451126,-0.4060150375939849,,7.274999999999999,4.52,2.755,57.0,57.63,61.24,42.02,0.412,70.03,118.3,0.3752,2.5575,1.514,0.7356,96.34,92.25,90.61,82.83,33.818,73.153,82.666,162.831,102.549,7.780000000000001,4.090000000000003,75.578,73.154,37.15,15.278,62.75600000000001,186.559,35.924,120.71,0.0709999999999999,4.689999999999998,3.890000000000001
3511_20190312,20190312.0,30.4,0.5082236842105264,0.0,,31.04,31.67,-0.629999999999999,65.82,55.4,52.34,60.22,0.592,31.63,53.42,0.3841,1.3251,1.0167,0.8954,89.21,81.97,73.15,51.34,17.047,35.183,23.388,38.066,114.321,21.81,7.239999999999995,37.615,35.183,27.9,10.856000000000002,45.66,-19.336,10.453,152.805,0.2759999999999999,15.750000000000009,12.32
3533_20190320,20190320.0,255.0,0.0372549019607843,-0.2039215686274509,,17.225,18.9,-1.6749999999999972,33.36,33.55,35.49,45.94,0.457,15.38,23.63,0.1626,0.2646,0.9418,1.6136,78.53,68.8,75.33,71.24,9.742,4.18,17.465,26.584,37.195,4.090000000000003,9.730000000000004,6.897,4.18,251.5,11.009,-3.958,17.677,8.784,-38.707,0.011,13.909999999999997,4.409999999999997
3535_20190325,20190325.0,33.6,0.2113095238095238,-0.2663690476190476,,267.69,10.98,256.71,85.47,69.47,67.2,45.4,0.444,82.84,121.92,0.3775,1.0906,1.1187,0.7311,97.6,94.21,87.61,73.58,37.739,96.215,82.553,154.363,136.51,14.03,3.390000000000001,97.067,96.215,21.45,16.186999999999998,90.671,162.397,39.59,166.81,0.0529999999999999,6.579999999999998,7.140000000000001
3548_20190219,20190219.0,75.8,0.0686015831134565,-0.1649076517150395,,24.99,13.925,11.064999999999998,32.67,40.77,35.11,29.56,0.294,24.93,45.75,0.2188,1.5295,0.9606,0.8011,76.53,77.48,85.88,85.93,4.907,9.064,41.104,48.226,68.411,-0.0500000000000113,-0.9500000000000028,13.501,9.064,70.8,4.618,-9.242,37.832,32.87,101.809,0.0719999999999999,-3.969999999999999,-1.1899999999999975
3611_20190411,20190411.0,303.0,0.0,-0.198019801980198,,39.855,2.67,37.185,41.39,33.86,45.49,39.27,0.391,20.95,32.55,0.1705,0.2174,1.3588,1.2363,73.31,61.1,81.18,81.53,15.46,11.218,28.584,50.431,29.825,-0.3499999999999943,12.21,16.667,11.218000000000002,290.0,16.45,9.113,58.242,12.807,34.24,0.101,2.930000000000007,-0.1799999999999926
3630_20190114,20190114.0,76.1,0.7345597897503287,-0.0775295663600524,,122.955,165.47,-42.515,50.53,45.11,42.25,53.72,0.536,28.92,46.8,0.3983,2.2492,1.1754,1.4822,81.66,75.72,83.23,75.7,7.366,19.112,55.417,46.974,83.271,7.530000000000001,5.939999999999998,18.438,19.113,73.0,0.0379999999999993,-5.583000000000002,11.589,58.816,-0.3870000000000004,-0.0939999999999999,3.4000000000000057,3.86
4119_20190311,20190311.0,92.5,0.1729729729729729,-0.0302702702702702,,5.125,80.785,-75.66,32.32,30.69,29.84,29.07,0.289,21.18,30.25,0.2059,0.0559,0.0457,0.3118,79.57,63.69,82.93,73.17,16.825,19.6,19.816,8.893,57.155,9.760000000000003,15.879999999999995,22.059,19.6,90.6,16.175,17.038,-37.501,26.99,86.461,0.1079999999999999,11.940000000000012,7.090000000000003
4536_20190129,20190129.0,136.0,0.3970588235294117,-0.0110294117647058,,9.015,12.365,-3.35,54.7,42.15,35.72,25.63,0.253,32.51,49.69,0.2009,-0.4377,0.304,0.5154,73.37,75.36,85.4,75.37,2.752,22.429,44.62,67.474,64.093,10.03,-1.9899999999999949,24.528,22.429,119.0,-7.167000000000001,0.6229999999999976,63.337,33.491,92.389,0.076,2.9000000000000057,4.890000000000001
4728_20190326,20190326.0,70.1,0.6975748930099859,-0.0912981455064192,,92.225,105.05,-12.825000000000005,51.29,41.27,39.88,42.2,0.416,26.7,67.01,0.3739,-1.3432,-0.4351,0.6292,63.96,70.01,76.41,71.48,4.056,30.099,21.257,106.274,112.976,4.929999999999993,-6.050000000000004,31.712,30.099,53.9,2.367,30.346,103.613,-45.01599999999999,146.341,0.1579999999999999,-1.710000000000008,1.3800000000000097
4942_20190411,20190411.0,42.7,0.1288056206088993,-0.1651053864168619,,48.745,19.7,29.045,41.87,38.98,36.54,38.69,0.386,9.31,38.73,0.2743,1.2779,0.3173,0.9702,73.05,66.29,63.79,64.76,0.856,-1.199,14.098,41.412,87.943,-0.970000000000006,6.759999999999991,4.25,-1.1989999999999998,40.3,-0.036,-4.142,7.567999999999998,-7.833,100.904,0.24,1.1899999999999975,-0.4899999999999949
4958_20190212,20190212.0,84.9,0.3957597173144875,-0.0223792697290931,,-39.510000000000005,7.03,-46.540000000000006,35.1,38.47,39.2,34.68,0.348,5.88,18.61,0.1661,0.9566,1.0025,1.1657,81.86,81.95,64.69,61.02,2.764,5.95,18.08,22.649,44.353,3.6699999999999946,-0.0900000000000034,9.416,5.949,84.8,2.642,11.167,-2.751999999999999,9.063,64.915,0.0859999999999999,8.829999999999998,1.8300000000000052
5288_20190116,20190116.0,134.0,0.2126865671641791,-0.1156716417910447,,23.145,30.975,-7.830000000000002,66.17,51.15,42.45,26.03,0.256,32.59,51.8,0.2394,0.9529,0.6079,0.5539,76.61,62.57,81.99,76.58,17.8,21.924,52.065,68.355,75.127,5.409999999999997,14.04,21.818,21.924000000000003,125.5,18.839,3.463000000000001,64.495,37.457,77.902,0.059,11.25,3.450000000000003
5439_20190401,20190401.0,54.1,0.0739371534195933,-0.2486136783733826,,-5.265,17.83,-23.095,34.47,30.38,34.54,40.31,0.403,22.21,32.62,0.1816,1.2743,1.0323,1.1147,82.53,85.26,82.21,74.49,3.463,24.811,27.323,42.983,33.159,7.719999999999999,-2.730000000000004,27.251,24.811,53.3,-5.3500000000000005,26.918,47.222,17.626,-0.9209999999999994,0.124,5.439999999999998,4.799999999999997
5871_20190218,20190218.0,118.0,0.2076271186440678,-0.0296610169491525,,14.865,16.92,-2.055000000000001,26.91,24.33,25.57,28.6,0.285,16.38,19.43,0.1527,1.1377,0.9624,0.9945,74.56,76.67,93.3,87.81,3.947,5.612,22.112,24.176,40.844,5.489999999999995,-2.1099999999999994,8.756,5.612,114.0,5.557,-3.895999999999999,12.787,18.261,-2.4720000000000013,0.0179999999999999,0.9200000000000016,1.9300000000000068
