,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
3027_20201214,20201214.0,21.75,0.6735632183908046,-0.1977011494252873,,82.325,72.855,9.47,39.16,47.11,60.26,56.68,0.562,-0.38,68.93,0.3899,-0.595,-0.2246,0.7255,12.85
3037_20201214,20201214.0,84.4,0.5995260663507108,0.0,,-1.12,-2.125,1.005,44.65,51.9,50.95,57.23,0.573,6.06,51.34,0.1805,0.0715,1.6589,1.6145,50.3
3041_20201214,20201214.0,31.7,0.1041009463722397,-0.2996845425867508,,12.165,15.595,-3.430000000000001,62.49,61.97,57.28,60.24,0.6,11.42,42.97,0.1655,0.489,0.7299,1.4119,21.6
3050_20201214,20201214.0,18.8,0.1648936170212764,-0.2819148936170213,,-9.855,-8.545,-1.3100000000000005,93.33,72.02,67.73,46.79,0.463,41.58,76.12,0.179,-0.9287,-0.0924,0.9172,16.05
3078_20201214,20201214.0,46.65,0.4555198285101823,-0.1007502679528402,,66.49000000000001,47.14,19.35000000000001,36.09,35.54,44.12,45.19,0.451,8.15,50.31,0.1311,1.7097,2.2172,1.3148,37.3
3092_20201214,20201214.0,58.0,0.4379310344827587,-0.0758620689655172,,-18.815,-19.395,0.5799999999999983,54.69,53.95,45.82,37.41,0.373,23.19,50.45,0.1026,0.9045,0.2326,0.975,57.9
3149_20201228,20201228.0,21.6,1.5185185185185184,0.0,,-3.855,-4.855,1.0,78.04,72.26,76.79,61.61,0.606,35.09,117.71,0.3057,2.2142,1.0949,1.1729,20.0
3189_20201214,20201214.0,86.4,0.4988425925925925,-0.1111111111111112,,24.0,12.18,11.82,58.4,50.66,48.88,54.61,0.546,15.18,43.07,0.1231,-0.4896,0.695,1.436,61.7
3218_20201214,20201214.0,253.0,0.3715415019762846,-0.1027667984189723,,49.94,60.635000000000005,-10.695000000000007,34.25,39.29,44.06,61.95,0.611,-9.8,51.81,0.4858,0.4747,1.4569,1.3276,73.7
3228_20201214,20201214.0,208.0,1.9567307692307687,-0.1754807692307692,,83.1,158.73000000000002,-75.63000000000002,83.23,73.87,73.82,77.42,0.768,75.03,230.1,0.6756,2.4845,2.3895,1.3208,56.2
3323_20201214,20201214.0,48.0,0.2083333333333333,-0.1437499999999999,,27.995,25.345,2.6499999999999986,44.34,36.54,37.59,47.7,0.473,9.53,40.89,0.1128,-0.4106,1.1677,1.2894,47.65
3374_20201214,20201214.0,185.0,0.1837837837837838,-0.2945945945945946,,56.635,34.01,22.625,74.71,66.01,57.9,67.09,0.67,19.11,65.47,0.2819,2.6692,2.4041,2.0332,86.2
3419_20201228,20201228.0,22.15,0.2618510158013544,-0.2415349887133182,,18.12,-22.925,41.045,56.68,54.43,49.98,47.66,0.477,30.84,47.52,0.005,2.3114,0.787,1.4031,21.75
3481_20201222,20201222.0,15.0,1.1699999999999997,-0.1466666666666666,,17.39,18.77,-1.379999999999999,59.94,49.55,44.91,47.09,0.469,31.87,65.67,0.1609,1.8911,1.1524,1.3037,14.75
3484_20201214,20201214.0,63.5,0.3779527559055118,-0.1181102362204724,,30.675,18.08,12.595000000000002,46.25,41.64,46.13,42.24,0.42,35.13,90.94,0.2341,1.0757,1.6013,1.012,42.8
3530_20201214,20201214.0,140.0,0.25,-0.3335714285714286,,109.175,56.14,53.03500000000001,78.69,58.42,49.81,56.49,0.564,29.44,43.05,0.0718,2.1723,1.5342,1.6773,117.5
