,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1216,統一,20121128,51.2,,,0.19335937499999997,0.0,624239.0,-13.61,-6.12,-7.489999999999999,20.34,19.91,18.5,23.96,0.238,0.58,15.83,0.1172,0.6269,0.5115,0.602,61.71,52.12,62.72,70.47,-4.887,-2.63,5.123,18.462,28.507,-7.75,9.590000000000003,1.587,-2.6310000000000002,49.3,-6.2749999999999995,-7.099,15.237,-6.979,4.181000000000001,-0.04799999999999999,-4.689999999999998,-4.590000000000003,0.41000000000000014,-2.8599999999999994,0.038539553752535614
1234,黑松,20121228,39.1,,,0.07416879795396415,-0.03580562659846544,58662.0,-0.2,12.09,-12.29,16.92,29.29,31.3,30.22,0.299,3.98,6.69,0.1645,0.8332,1.3979,0.7776,76.88,75.43,62.23,43.46,0.962,1.501,-19.484,-1.31,46.626,18.769999999999996,1.4499999999999886,3.075,1.5010000000000001,38.85,-1.6290000000000002,1.3039999999999998,-47.346000000000004,-43.507000000000005,33.033,-0.014000000000000012,13.759999999999998,9.18,-22.82,-8.090000000000003,0.006435006435006435
1410,南染,20121129,26.2,,,0.04770992366412214,-0.12213740458015265,44467.0,-6.890000000000001,-2.7650000000000006,-4.125,51.13,51.28,58.77,38.1,0.378,7.94,48.77,0.2318,0.774,1.8058,0.8779,45.02,41.87,61.93,59.64,0.601,20.173,63.224,67.513,69.482,2.289999999999999,3.1500000000000057,25.981,20.172,25.2,5.905,32.56,64.236,52.568999999999996,78.85,0.07100000000000001,9.259999999999998,1.9600000000000009,1.6099999999999994,-1.0600000000000023,0.03968253968253968
1476,儒鴻,20121128,96.7,,,1.18717683557394,-0.002068252326783897,33014.0,13.815000000000001,20.785,-6.969999999999999,32.68,28.48,28.1,29.85,0.297,12.01,48.92,0.3299,0.9391,0.6009,0.8599,80.73,62.79,85.07,83.4,0.347,10.391,24.008,49.528,126.336,1.6699999999999875,17.940000000000005,14.608,10.39,53.9,3.028,-5.943,3.820999999999998,-1.6210000000000022,75.18199999999999,-0.10400000000000004,7.709999999999994,2.8000000000000114,5.039999999999999,-1.259999999999998,0.7940630797773656
1477,聚陽,20121128,89.5,,,0.5642458100558659,-0.01675977653631285,25365.0,12.834999999999997,-1.375,14.209999999999997,16.51,16.75,14.85,16.38,0.163,1.57,12.46,0.136,0.334,0.3066,0.37,46.41,50.02,70.71,71.73,-4.662,-1.324,3.843,9.103,36.933,-1.0200000000000102,-3.6100000000000065,2.894,-1.3239999999999998,82.2,-3.9939999999999998,-11.286999999999999,-11.395000000000001,-2.3310000000000004,18.508,0.0010000000000000009,0.029999999999986926,0.980000000000004,-0.5899999999999999,2.6500000000000004,0.08880778588807782
1565,精華,20121203,460.0,,,0.5543478260869565,-0.058695652173913045,167027.0,37.495000000000005,25.25,12.245000000000005,38.25,35.29,30.85,35.43,0.353,11.7,28.48,0.1095,1.3443,1.1303,0.9575,76.5,70.41,84.92,80.86,1.606,10.896,22.576,43.881,25.226,4.060000000000002,6.090000000000003,16.297,10.896,456.5,4.328,4.442000000000001,54.269999999999996,0.9770000000000003,19.637999999999998,0.059,5.060000000000002,3.8499999999999943,6.25,14.64,0.007667031763417305
1707,葡萄王,20121128,78.5,,,0.5159235668789809,-0.054777070063694235,63312.0,34.205,23.215,10.989999999999998,27.83,31.38,26.86,28.43,0.283,13.84,48.1,0.2939,0.5408,0.6248,0.7725,78.03,75.73,83.07,77.78,0.577,14.188,25.566,60.58,106.993,5.289999999999992,2.299999999999997,18.405,14.187000000000001,56.5,-0.5549999999999999,4.203000000000001,27.976,0.472999999999999,108.398,-0.02300000000000002,4.1299999999999955,3.780000000000001,-3.2200000000000024,5.789999999999999,0.3893805309734513
1752,南光,20121219,46.8,,,0.0,-0.2841880341880341,269864.0,30.64,-2.0050000000000003,32.645,38.62,42.43,39.9,40.42,0.401,13.43,42.59,0.2677,0.8568,0.9947,1.1248,57.57,49.36,75.77,70.95,4.212,8.137,22.636,44.966,107.452,4.819999999999993,8.21,15.83,8.137,45.6,3.6979999999999995,-1.4979999999999993,5.320999999999998,6.973999999999998,128.34,0.027000000000000024,0.46999999999999886,0.9699999999999989,-5.920000000000002,3.979999999999997,0.026315789473684115
2207,和泰車,20121128,203.5,,,0.5724815724815725,0.0,87739.0,-5.345000000000001,0.8500000000000001,-6.195,42.3,30.88,29.84,41.47,0.413,-0.47,8.22,0.1175,1.6267,1.0097,1.35,82.03,75.96,51.34,42.63,2.559,-6.633,-3.407,11.425,34.402,8.71,6.070000000000007,-2.415,-6.633,173.5,-1.7329999999999997,-12.187000000000001,-2.391,-17.333,-67.447,0.062,20.490000000000002,7.770000000000003,29.689999999999998,-0.16000000000000014,0.1729106628242075
2227,裕日車,20121128,227.0,,,0.3458149779735683,-0.004405286343612335,41369.0,-19.325,-26.604999999999997,7.279999999999998,48.25,36.43,35.96,44.44,0.441,-4.81,7.33,0.2827,1.8858,1.1056,1.2037,73.99,57.48,27.97,22.4,8.564,-8.705,-13.687,13.71,94.707,5.57,16.509999999999998,-4.487,-8.705,171.5,11.471,-10.81,-69.98599999999999,-37.762,94.109,0.0,17.009999999999998,4.709999999999997,23.13,-0.7700000000000031,0.3236151603498542
