,120天最高價,120天最低價,120天最高價預測
1218_20170705,0.3173333333333333,-0.1173333333333332,0.44192401863819764
1229_20170321,0.2131147540983607,-0.0204918032786885,0.56361814897715
1463_20170111,0.3304347826086957,-0.1065217391304347,0.4268114621972399
1512_20170313,0.7924528301886791,-0.2806603773584906,0.2838767934493264
1513_20170918,0.0146750524109013,-0.1823899371069182,0.3040592711979067
1582_20170918,0.0,-0.1755102040816326,0.29018688454863845
1709_20170407,0.0,-0.1428571428571428,0.462887991122894
1904_20170105,0.2040816326530612,-0.0544217687074829,0.12019330215308105
2303_20170901,0.0181818181818182,-0.1666666666666666,0.16600565703574593
2314_20170224,0.3134328358208956,-0.1077943615257048,0.323232947364069
2323_20170912,0.1329243353783231,-0.1738241308793455,0.6883430917352561
2338_20170223,0.5409836065573772,-0.0204918032786885,0.35830366681033904
2349_20170223,0.0,-0.253393665158371,0.5294611496464146
2352_20170109,0.6055900621118012,-0.0279503105590062,0.4846359859565594
2371_20170110,0.9389671361502344,-0.0910798122065728,0.9039559958218247
2413_20170907,0.1822660098522167,-0.1625615763546798,0.540621006786889
2415_20170104,0.5362595419847329,-0.049618320610687,0.48722822157636164
2426_20171124,0.0140056022408963,-0.1988795518207283,0.3474373478420201
2449_20170627,0.0447530864197531,-0.1311728395061728,0.31723926081340104
2455_20170213,0.2420168067226891,-0.1176470588235294,0.2609119988224806
2478_20170206,0.0869565217391304,-0.1976284584980237,0.47248281695321914
2481_20170815,0.9500000000000002,-0.0761904761904762,0.38709866764776085
2535_20170324,0.0047619047619048,-0.1928571428571429,0.5680957140114411
2605_20170224,0.0,-0.2757352941176471,0.2444661130262699
2612_20170222,0.0,-0.2702331961591221,0.26031335951692836
2723_20170627,0.1516778523489932,-0.1543624161073825,0.3533361747723805
2820_20170425,0.1041666666666666,-0.0173611111111111,0.549249996788008
2887_20170717,0.0069686411149825,-0.1045296167247386,0.5980966924980112
2888_20171121,0.2200956937799044,-0.0727272727272727,0.546917480939309
2912_20170510,0.074074074074074,-0.0851851851851851,0.32514134781817833
3003_20170214,0.2317596566523604,-0.1051502145922746,0.21727220093875044
3008_20170105,0.2518518518518518,-0.0518518518518518,0.20782297807997235
3018_20170321,1.4719101123595506,-0.048689138576779,0.36939746801450085
3019_20170210,0.6874340021119325,-0.0633579725448785,0.18467833111651044
3040_20170627,0.0,-0.3097014925373134,0.21805387023759756
3049_20170112,0.39,-0.066,0.7858061113639823
3090_20171117,1.635958395245171,-0.0475482912332838,0.372412657413758
3162_20170830,0.4755480607082631,-0.193929173693086,0.9483052552517373
3202_20170904,0.462532299741602,-0.0645994832041343,0.521426696195656
3224_20170202,0.3427895981087471,-0.1158392434988179,0.2867908946166142
3296_20170712,0.0,-0.3852459016393442,0.2763037320836289
3310_20170209,0.1245421245421244,-0.2747252747252747,0.31523204156966667
3313_20170105,0.4020979020979021,-0.1433566433566434,0.6635737803794131
3374_20170203,0.5,-0.09375,0.5048958737286614
3380_20170317,0.2418699186991869,-0.1524390243902439,0.28539401497389205
3406_20170116,2.0285714285714285,-0.036734693877551,0.566507994306179
3413_20170324,1.2608695652173914,-0.0913043478260869,0.4430349580365326
3444_20171219,0.1309707241910631,-0.312788906009245,0.2787453887278145
3504_20170823,0.1860465116279071,-0.3679890560875512,0.9779882032237066
3535_20170301,0.0437956204379561,-0.4841849148418491,0.3784647877635321
3545_20170217,0.1212871287128712,-0.2400990099009901,0.28405874037195666
3567_20171025,0.0733944954128439,-0.1758409785932722,0.3716569365462464
3580_20170104,0.1698595146871008,-0.3256704980842912,0.6032566466805379
3646_20170105,0.1346153846153846,-0.1480769230769231,0.2025082295837173
3679_20170307,0.1169125993189558,-0.2190692395005675,0.4768275866393361
3702_20170526,0.1163069544364507,-0.0815347721822543,0.3776807160411772
4167_20171106,0.0531561461794019,-0.1960132890365449,0.2595004601080085
4729_20171109,0.0645792563600782,-0.3483365949119374,0.36543999896635104
4906_20170206,0.3943396226415095,-0.0679245283018868,0.21142512278839756
4966_20170609,0.4558823529411764,-0.1102941176470588,0.2917753776983829
5328_20171030,0.1363636363636363,-0.1854545454545453,0.23200803799029704
5347_20171122,0.0,-0.2087312414733969,0.26580368489842454
5465_20170603,0.1385199240986716,-0.1423149905123339,0.7588442090651311
5534_20170206,0.0143790849673201,-0.1333333333333333,0.22721951963010212
6101_20170911,0.0,-0.2844827586206896,0.48347745640958345
6108_20170301,0.0967213114754099,-0.0459016393442622,0.5253008914603993
6120_20170828,0.961783439490446,-0.0955414012738853,0.577758512189207
6123_20170904,0.3824884792626729,-0.1705069124423963,0.5114112991514044
6142_20170329,0.1698537682789651,-0.1158605174353206,0.8997927206310113
6153_20171101,0.296248382923674,-0.0815006468305303,0.5222436453402255
6158_20170331,0.164969450101833,-0.2830957230142565,0.46981261958988224
6165_20170306,1.2189542483660132,-0.3594771241830065,0.6764951569016691
6170_20171006,0.0793103448275862,-0.2758620689655172,0.06869020523526821
6180_20170830,1.311411992263056,-0.0522243713733076,0.485671282454859
6182_20170203,0.3939393939393939,-0.1424242424242424,0.4345264960953405
6188_20170214,0.2124681933842239,-0.1145038167938931,0.2745758675586048
6190_20170217,0.1144781144781145,-0.1919191919191919,0.3804350251724092
6191_20170331,0.0,-0.2745762711864407,0.37508346625429656
6205_20170221,0.0843373493975903,-0.180722891566265,0.4035354583623204
6209_20170302,0.3132743362831859,-0.1309734513274336,0.3751240179647927
6271_20170220,0.106060606060606,-0.1931818181818181,0.25639200764239783
6283_20170105,1.1421647819063003,-0.0791599353796445,0.5883145001200539
6290_20170512,1.0133333333333334,-0.0586666666666667,0.420416395364665
6456_20170214,1.449612403100775,-0.0968992248062015,0.1898967481325153
8027_20170306,0.3862815884476534,-0.1281588447653429,0.5769341806290705
8066_20170331,0.2689393939393939,-0.1969696969696969,0.31742431145813627
8070_20170313,0.1168831168831168,-0.1590909090909091,0.39220425702639156
8091_20171018,0.6046511627906976,-0.077906976744186,0.24054906615747576
8131_20170919,0.1485451761102603,-0.1071975497702909,0.4401686691890982
8163_20170427,0.1553030303030303,-0.087121212121212,0.3076843745608055
8249_20170825,0.0742115027829313,-0.1243042671614099,0.3989657196462529
8299_20170523,0.41287284144427,-0.053375196232339,0.36846661582769347
8341_20170510,0.2054380664652568,-0.0755287009063444,0.34891903812267866
8349_20170602,0.3185840707964602,-0.1991150442477876,0.2619956654139593
9934_20170511,0.3543307086614173,-0.0551181102362205,0.5193963291052881
