,120天最高價,120天最低價,120天最高價預測
1216_20120706,0.0934393638170974,-0.0765407554671967,0.29369031373859616
1321_20120829,0.1900369003690036,-0.1937269372693726,0.22357923904484445
1410_20120920,0.1505791505791506,-0.2162162162162161,0.5276544893464384
1569_20120208,0.1060402684563759,-0.3395973154362415,0.05523579369598669
2330_20120130,0.1295597484276729,-0.0628930817610062,0.23600343398530915
2493_20120208,0.2712550607287449,-0.0890688259109311,0.19083342422612462
2820_20120319,0.0231660231660232,-0.1969111969111968,0.14893169355888655
2901_20121003,0.0,-0.2391991570073762,0.2989455768749469
3265_20120221,0.0125,-0.2319444444444444,0.010680167037816128
5314_20120229,0.0527777777777777,-0.35,0.05001416975662461
5434_20120209,0.1289062499999999,-0.091796875,0.20878250220318034
6176_20120208,0.2480314960629921,-0.1141732283464567,0.12751585918113642
8101_20120203,0.2096774193548386,-0.4717741935483871,0.14196911678953714
9904_20120913,0.0751252086811353,-0.0417362270450751,0.2192819415981375
9906_20120920,0.0019230769230769,-0.3269230769230769,0.213820348010456
9914_20120215,0.698595146871009,-0.0664112388250319,0.273414472255572
9943_20120503,0.0787992495309569,-0.2279549718574108,0.2652407066766411
9945_20121217,0.1280388978930306,-0.1183144246353323,0.17757270741576214
