,120天最高價,120天最低價,120天最高價預測
1414_20110104,0.1419753086419753,-0.287037037037037,0.3930402140851037
1437_20110104,0.0,-0.3784722222222222,0.27918469618628494
1442_20110113,0.065180102915952,-0.2521440823327615,0.44423453799429485
1533_20110524,0.0122137404580152,-0.5358778625954199,0.4088134843922169
1535_20110418,0.1722488038277511,-0.175438596491228,0.4085408835993951
1538_20110318,0.187308085977482,-0.5005117707267145,0.08308679282037175
1710_20110117,0.2275,-0.09,0.08522251682637862
1736_20110429,0.2876949740034661,-0.0814558058925477,0.5631160461765984
2207_20110627,0.6844660194174758,-0.0543689320388348,0.37156621037088083
2337_20110121,0.0,-0.288421052631579,0.5295065787648029
2357_20110527,0.0614334470989761,-0.3174061433447099,0.2578549170793672
2369_20110106,0.0391791044776119,-0.2425373134328358,0.42298923863756493
2459_20110427,0.0,-0.3675,0.2718451002752014
2501_20110104,0.0,-0.3712871287128713,0.20914630307330162
2511_20110620,0.1475409836065574,-0.4298724954462659,0.36062581281892736
2527_20110107,0.1020833333333333,-0.3583333333333333,0.6421583026354601
2601_20110421,0.0904109589041095,-0.4780821917808219,0.24938050704288914
2707_20110526,0.0476190476190476,-0.300705467372134,0.1962187574616756
2838_20110819,0.0,-0.2573770491803278,0.16040247803406604
2883_20110104,0.0036363636363636,-0.2654545454545455,0.3202082082331324
2887_20110104,0.0,-0.2185792349726776,0.17384341939272271
2891_20110114,0.1416490486257929,-0.0887949260042282,0.11397396008147538
3057_20110117,0.015527950310559,-0.3602484472049689,0.15635911338157096
3296_20110322,0.0435643564356436,-0.6336633663366337,0.18102611104101773
3325_20110324,0.2766393442622951,-0.5286885245901639,0.3631537065319898
3388_20110224,0.1275395033860046,-0.3002257336343115,0.3525006228233487
3617_20110726,0.1218637992831541,-0.7154121863799283,0.31453998491799917
4105_20110307,0.069069069069069,-0.3573573573573573,0.16702536037285834
5213_20110105,0.0352941176470588,-0.2423529411764705,0.3566732092406239
5312_20110509,0.13,-0.422,0.2250607357326886
5314_20110519,0.1372549019607841,-0.4300653594771241,0.20388078576999116
5498_20110307,0.1285140562248997,-0.2899598393574297,0.25261564824649557
5525_20110105,0.0,-0.3254310344827585,0.17528814374075474
5534_20110715,0.0434782608695652,-0.5228260869565218,0.3372612722672374
6164_20110218,0.0029895366218234,-0.4439461883408072,0.23615270209551223
6176_20110128,0.8250377073906486,-0.1251885369532428,0.24292428419759396
6235_20111102,0.0382165605095542,-0.4764331210191082,0.27482818269459236
6278_20110607,0.0458612975391498,-0.3780760626398211,0.18760089344784753
8016_20110104,0.0548340548340548,-0.4502164502164502,0.15329850111137375
8121_20110114,0.3056603773584905,-0.4505660377358491,0.17703515498251138
8926_20110329,0.0,-0.2009456264775413,0.33298916329726513
9949_20110311,0.0675105485232068,-0.5337552742616033,0.44312814765683384
