,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1215,卜蜂,20101110,21.75,,,0.011494252873563218,-0.19540229885057472,510286.0,14.86,11.35,3.51,31.36,30.33,34.4,33.51,0.333,14.32,35.28,0.1398,0.7796,1.221,0.8986,80.83,63.56,76.8,64.68,11.392,9.61,1.202,45.607,36.554,12.11999999999999,17.269999999999996,12.114,9.608,21.65,11.427,4.387,53.894999999999996,-35.058,22.177,-0.10599999999999998,19.009999999999998,8.530000000000008,0.4499999999999993,-13.030000000000001,0.004618937644341867
1218,泰山,20100914,17.25,,,0.14202898550724632,-0.057971014492753624,255623.0,2.9800000000000004,-8.165000000000001,11.145000000000001,58.17,52.57,52.26,40.65,0.404,0.31,29.56,0.1638,2.1346,1.3901,1.0495,58.9,40.18,36.33,49.94,1.715,-7.221,18.061,44.9,44.251,-13.61,18.72,-4.166,-7.505000000000001,14.35,0.791,-16.311999999999998,45.155,-2.9029999999999987,-27.851000000000006,-0.17899999999999994,-2.3100000000000023,-7.560000000000002,12.690000000000005,0.7000000000000028,0.2020905923344948
1227,佳格,20100914,79.0,,,0.06708860759493668,-0.11012658227848104,155136.0,19.055,18.36,0.6950000000000003,36.26,36.86,34.34,36.9,0.365,2.84,56.28,0.406,1.3991,1.0936,0.8446,59.59,52.68,54.04,65.11,-2.762,-9.191,8.343,89.452,175.285,-11.07,6.910000000000004,-6.137,-9.475999999999999,45.2,-1.748,-23.981,56.945,-64.76899999999999,163.027,-0.08900000000000002,-6.57,-6.189999999999998,0.1599999999999966,-0.8400000000000034,0.747787610619469
1231,聯華食,20100914,26.2,,,0.1793893129770992,-0.09541984732824428,35054.0,23.275000000000002,17.835,5.440000000000001,41.16,56.12,50.03,33.69,0.334,9.73,62.39,0.302,1.3916,1.2491,0.8113,71.21,66.82,63.56,69.89,-1.981,-12.748,49.705,91.257,105.775,-6.329999999999998,4.390000000000001,-9.694,-13.033000000000001,15.7,-6.444,-55.525999999999996,84.016,23.805999999999997,91.888,-0.03699999999999998,-1.1200000000000045,-2.9599999999999937,-22.410000000000004,19.18,0.6687898089171975
1234,黑松,20100914,24.0,,,0.21666666666666665,-0.008333333333333304,52161.0,3.855,-3.49,7.345000000000001,26.72,32.92,33.58,37.49,0.373,0.86,12.41,0.1242,1.2744,1.1838,1.0905,51.95,40.68,43.09,52.26,-1.869,-7.095,-3.809,4.934,30.471,-9.169999999999995,11.270000000000003,-4.041,-7.380000000000001,20.25,-1.652,-16.714,-35.308,-5.9559999999999995,-7.754000000000001,-0.03999999999999998,-6.43,-5.460000000000001,-10.93,-14.899999999999999,0.18518518518518517
1304,台聚,20100914,27.3,,,0.6391941391941391,-0.05128205128205136,1135562.0,11.49,11.004999999999999,0.4850000000000012,47.1,36.88,31.44,33.75,0.335,35.6,51.01,0.2377,1.0689,0.8037,1.1293,88.6,84.89,88.09,83.89,8.666,27.488,44.058,41.828,84.432,4.200000000000003,3.7099999999999937,30.542,27.203000000000003,25.0,-6.610999999999999,15.027999999999999,12.606000000000002,44.86,81.758,-0.185,-2.700000000000003,0.5799999999999983,25.21,11.270000000000003,0.09200000000000003
1308,亞聚,20101022,34.2,,,0.5935672514619882,0.0,481235.0,15.59,26.369999999999997,-10.779999999999998,34.25,31.72,31.76,28.32,0.281,16.49,40.47,0.1758,1.5659,0.6436,0.9072,62.6,51.95,89.31,87.26,2.901,6.864,43.394,38.79,56.671,2.049999999999997,10.649999999999999,6.518,6.851999999999999,33.2,-3.2250000000000005,-14.791,29.962,43.620999999999995,18.054000000000002,-0.16899999999999998,1.730000000000004,1.0200000000000102,-1.7700000000000031,11.77,0.03012048192771084
1312,國喬,20101026,17.95,,,0.33704735376044576,-0.05571030640668524,986129.0,13.434999999999999,4.675,8.759999999999998,34.94,30.66,34.65,36.58,0.365,17.35,19.26,0.0308,0.9372,1.1426,1.1961,81.03,75.54,85.3,77.93,3.816,15.215,20.72,17.32,5.165,7.36999999999999,5.489999999999995,17.377,15.206999999999999,17.5,-3.4590000000000005,12.889,32.795,23.232,-188.24800000000002,-0.17000000000000004,7.179999999999993,3.8200000000000074,9.769999999999996,-6.819999999999997,0.025714285714285672
1313,聯成,20101022,23.9,,,0.07740585774058584,-0.12552301255230125,585931.0,52.75,36.595,16.155,32.98,31.8,31.07,31.89,0.318,16.03,35.26,0.1608,1.0997,1.279,1.0551,81.95,75.54,78.25,74.87,6.861,13.21,25.58,37.611,51.017,3.3799999999999955,6.409999999999997,12.864,13.198,23.8,-0.19600000000000062,14.117,32.571999999999996,12.564999999999998,12.195,-0.19,4.5,1.6899999999999977,3.299999999999997,6.120000000000001,0.004201680672268818
1314,中石化,20100920,22.45,,,0.7282850779510022,-0.028953229398663634,1066088.0,28.689999999999998,58.300000000000004,-29.610000000000007,40.25,34.78,32.65,35.55,0.355,20.06,53.39,0.2713,1.3578,1.0904,1.1422,82.41,80.46,88.31,84.25,5.565,10.606,30.488,57.431,95.373,4.060000000000002,1.9500000000000028,13.882,10.349,21.4,5.126,-5.927999999999999,29.348999999999997,7.785999999999998,60.87800000000001,-0.20100000000000007,4.780000000000001,2.5600000000000023,10.969999999999999,4.66,0.0490654205607477
